year,United States,China,Japan and Korea,European Union,India,Indonesia,Mexico,Brazil,Middle East,Rest of world
1990,227.02,78.55,106.53,43.77,2.47,1.86,4.60,7.24,12.10,91.55
1991,224.22,80.99,114.06,44.33,2.76,1.97,5.19,7.73,13.38,94.24
1992,230.77,86.98,118.35,45.92,3.14,2.08,5.47,7.83,14.49,96.36
1993,237.33,90.20,122.80,46.84,3.59,2.27,5.26,8.46,15.11,99.90
1994,244.60,97.76,126.95,47.93,4.09,2.44,5.32,9.40,15.24,102.03
1995,251.28,102.23,131.95,49.28,4.72,2.68,5.11,10.53,15.64,104.28
1996,258.77,111.16,135.70,51.08,5.41,2.95,5.11,11.04,16.14,107.13
1997,266.75,117.25,140.08,53.57,6.20,3.13,5.44,11.79,16.91,111.13
1998,276.48,124.17,142.34,56.36,7.07,2.98,6.22,12.13,19.01,113.53
1999,283.10,130.97,146.22,59.15,8.13,3.05,6.70,12.28,18.02,115.57
2000,291.31,138.14,150.02,64.76,8.48,2.82,8.12,12.86,18.00,121.28
2001,299.09,149.38,151.09,68.30,8.85,2.93,8.24,12.84,19.00,124.77
2002,307.35,159.64,155.75,71.21,9.26,3.21,8.31,13.06,19.19,128.46
2003,314.21,172.90,159.41,74.20,9.66,3.60,8.44,13.31,20.72,135.08
2004,322.48,183.38,164.15,77.02,10.14,3.79,8.79,14.07,23.48,144.15
2005,328.44,200.24,169.43,79.21,10.73,4.03,9.40,14.86,24.01,152.37
2006,336.38,223.32,174.55,81.34,11.39,4.30,9.99,16.04,26.38,161.48
2007,340.37,252.47,179.06,83.43,12.17,4.82,10.52,18.16,29.97,174.33
2008,345.62,274.79,182.63,86.19,13.08,5.20,11.11,19.97,33.54,183.06
2009,345.92,308.58,183.94,88.11,14.25,5.60,11.12,21.94,40.03,189.35
2010,349.03,342.92,189.87,88.22,15.48,6.06,11.31,25.11,42.09,198.96
2011,353.28,378.51,194.68,88.46,16.67,6.67,11.78,27.25,41.05,207.71
2012,357.83,419.33,198.26,88.11,18.05,7.67,12.56,29.34,42.41,218.41
2013,355.65,457.03,202.11,88.88,19.50,8.74,13.63,31.12,43.60,228.40
2014,359.64,492.13,203.19,90.48,21.52,9.80,14.30,31.34,44.62,235.30
2015,367.76,531.23,204.91,93.30,23.74,10.91,15.12,29.79,45.54,241.15
2016,373.59,569.38,206.96,96.52,26.56,12.14,15.84,27.40,47.03,246.30
