year,resin_production_Mt
1950,2
1951,2
1952,2
1953,3
1954,3
1955,4
1956,5
1957,5
1958,6
1959,7
1960,8
1961,9
1962,11
1963,13
1964,15
1965,17
1966,20
1967,23
1968,27
1969,32
1970,35
1971,38
1972,44
1973,51
1974,52
1975,46
1976,54
1977,59
1978,64
1979,71
1980,70
1981,72
1982,73
1983,80
1984,86
1985,90
1986,96
1987,104
1988,110
1989,114
1990,120
1991,124
1992,132
1993,137
1994,151
1995,156
1996,168
1997,180
1998,188
1999,202
2000,213
2001,218
2002,231
2003,241
2004,256
2005,263
2006,280
2007,295
2008,281
2009,288
2010,313
2011,325
2012,338
2013,352
2014,367
2015,381
