"",,,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total population (1000 inhab)","Belize","Americas | Central America and Caribbean | Central America",1962,97.38,"E",,1967,112.7,"E",,1972,127.2,"E",,1977,137.0,"E",,1982,151.5,"E",,1987,174.3,"E",,1992,194.3,"E",,1997,221.6,"E",,2002,262.2,"E",,2007,298.4,"E",,2012,336.7,"E",,2017,374.7,"E",
"Total population (1000 inhab)","Costa Rica","Americas | Central America and Caribbean | Central America",1962,1433.0,"E",,1967,1695.0,"E",,1972,1947.0,"E",,1977,2208.0,"E",,1982,2521.0,"E",,1987,2872.0,"E",,1992,3257.0,"E",,1997,3683.0,"E",,2002,4063.0,"E",,2007,4369.0,"E",,2012,4654.0,"E",,2017,4906.0,"E",
"Total population (1000 inhab)","El Salvador","Americas | Central America and Caribbean | Central America",1962,2928.0,"E",,1967,3384.0,"E",,1972,3862.0,"E",,1977,4330.0,"E",,1982,4726.0,"E",,1987,5054.0,"E",,1992,5400.0,"E",,1997,5728.0,"E",,2002,5940.0,"E",,2007,6083.0,"E",,2012,6221.0,"E",,2017,6378.0,"E",
"Total population (1000 inhab)","Guatemala","Americas | Central America and Caribbean | Central America",1962,4464.0,"E",,1967,5161.0,"E",,1972,5942.0,"E",,1977,6766.0,"E",,1982,7655.0,"E",,1987,8639.0,"E",,1992,9709.0,"E",,1997,10888.0,"E",,2002,12209.0,"E",,2007,13700.0,"E",,2012,15271.0,"E",,2017,16914.0,"E",
"Total population (1000 inhab)","Honduras","Americas | Central America and Caribbean | Central America",1962,2156.0,"E",,1967,2486.0,"E",,1972,2882.0,"E",,1977,3353.0,"E",,1982,3911.0,"E",,1987,4542.0,"E",,1992,5248.0,"E",,1997,6029.0,"E",,2002,6863.0,"E",,2007,7708.0,"E",,2012,8506.0,"E",,2017,9265.0,"E",
"Total population (1000 inhab)","Nicaragua","Americas | Central America and Caribbean | Central America",1962,1887.0,"E",,1967,2190.0,"E",,1972,2550.0,"E",,1977,2974.0,"E",,1982,3436.0,"E",,1987,3883.0,"E",,1992,4331.0,"E",,1997,4787.0,"E",,2002,5172.0,"E",,2007,5522.0,"E",,2012,5877.0,"E",,2017,6218.0,"E",
"Total population (1000 inhab)","Panama","Americas | Central America and Caribbean | Central America",1962,1202.0,"E",,1967,1394.0,"E",,1972,1608.0,"E",,1977,1838.0,"E",,1982,2074.0,"E",,1987,2318.0,"E",,1992,2576.0,"E",,1997,2854.0,"E",,2002,3149.0,"E",,2007,3454.0,"E",,2012,3773.0,"E",,2017,4099.0,"E",
"Total population (1000 inhab)","Cuba","Americas | Central America and Caribbean | Greater Antilles",1962,7450.0,"E",,1967,8264.0,"E",,1972,9025.0,"E",,1977,9635.0,"E",,1982,9926.0,"E",,1987,10270.0,"E",,1992,10733.0,"E",,1997,11014.0,"E",,2002,11218.0,"E",,2007,11304.0,"E",,2012,11382.0,"E",,2017,11485.0,"E",
"Total population (1000 inhab)","Dominican Republic","Americas | Central America and Caribbean | Greater Antilles",1962,3521.0,"E",,1967,4125.0,"E",,1972,4760.0,"E",,1977,5412.0,"E",,1982,6079.0,"E",,1987,6765.0,"E",,1992,7469.0,"E",,1997,8163.0,"E",,2002,8832.0,"E",,2007,9504.0,"E",,2012,10155.0,"E",,2017,10767.0,"E",
"Total population (1000 inhab)","Haiti","Americas | Central America and Caribbean | Greater Antilles",1962,4023.0,"E",,1967,4446.0,"E",,1972,4877.0,"E",,1977,5341.0,"E",,1982,5955.0,"E",,1987,6671.0,"E",,1992,7387.0,"E",,1997,8112.0,"E",,2002,8835.0,"E",,2007,9557.0,"E",,2012,10289.0,"E",,2017,10981.0,"E",
"Total population (1000 inhab)","Jamaica","Americas | Central America and Caribbean | Greater Antilles",1962,1676.0,"E",,1967,1803.0,"E",,1972,1935.0,"E",,1977,2081.0,"E",,1982,2235.0,"E",,1987,2379.0,"E",,1992,2465.0,"E",,1997,2587.0,"E",,2002,2695.0,"E",,2007,2775.0,"E",,2012,2841.0,"E",,2017,2890.0,"E",
