Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Algeria,4,Agricultural water withdrawal,4250,1980,2.22,,
Algeria,4,Agricultural water withdrawal,4250,1990,2.7,,
Algeria,4,Agricultural water withdrawal,4250,2001,3.502,L,[1]
Algeria,4,Agricultural water withdrawal,4250,2012,4.99,I,[2]
Algeria,4,Agricultural water withdrawal,4250,2017,6.671,,
Angola,7,Agricultural water withdrawal,4250,1987,0.365,,
Angola,7,Agricultural water withdrawal,4250,2000,0.21,L,
Angola,7,Agricultural water withdrawal,4250,2005,0.1467,L,[3]
Benin,53,Agricultural water withdrawal,4250,1985,0.064,,
Benin,53,Agricultural water withdrawal,4250,1990,0.0823,I,
Benin,53,Agricultural water withdrawal,4250,1994,0.097,,
Benin,53,Agricultural water withdrawal,4250,2001,0.059,I,
Botswana,20,Agricultural water withdrawal,4250,1992,0.054,,
Botswana,20,Agricultural water withdrawal,4250,1995,0.0638,I,
Botswana,20,Agricultural water withdrawal,4250,2000,0.08,,[4]
Botswana,20,Agricultural water withdrawal,4250,2012,0.0743,,
Botswana,20,Agricultural water withdrawal,4250,2017,0.069,,
Burkina Faso,233,Agricultural water withdrawal,4250,1985,0.23,,
Burkina Faso,233,Agricultural water withdrawal,4250,1992,0.303,,
Burkina Faso,233,Agricultural water withdrawal,4250,2001,0.4207,L,[5]
Burkina Faso,233,Agricultural water withdrawal,4250,2005,0.4207,L,
Burundi,29,Agricultural water withdrawal,4250,1987,0.064,,
Burundi,29,Agricultural water withdrawal,4250,2000,0.222,I,
Cabo Verde,35,Agricultural water withdrawal,4250,1990,0.022,,
Cabo Verde,35,Agricultural water withdrawal,4250,2000,0.02,L,
Cabo Verde,35,Agricultural water withdrawal,4250,2004,0.025,L,[6]
Cameroon,32,Agricultural water withdrawal,4250,1987,0.14,,
Cameroon,32,Agricultural water withdrawal,4250,1992,0.14,,
Cameroon,32,Agricultural water withdrawal,4250,2000,0.737,L,[7]
Central African Republic,37,Agricultural water withdrawal,4250,1987,4.00E-04,L,[8]
Central African Republic,37,Agricultural water withdrawal,4250,2000,4.00E-04,L,"[9,10]"
Central African Republic,37,Agricultural water withdrawal,4250,2005,4.00E-04,L,"[11,12]"
