species,source,year,produced mass (tonnes)
Anchoveta(=Peruvian anchovy),captured,1970,13059900.0
Anchoveta(=Peruvian anchovy),captured,1994,12520611.0
Anchoveta(=Peruvian anchovy),captured,2000,11276357.0
Anchoveta(=Peruvian anchovy),captured,1968,11271600.0
Anchoveta(=Peruvian anchovy),captured,1971,11243700.0
Anchoveta(=Peruvian anchovy),captured,2004,10679338.0
Anchoveta(=Peruvian anchovy),captured,1967,10530000.0
Marine fishes nei,captured,1996,10489709.0
Marine fishes nei,captured,2018,10353236.379999999
Anchoveta(=Peruvian anchovy),captured,2005,10244166.0
Marine fishes nei,captured,1998,10145193.0
Marine fishes nei,captured,1999,10125200.0
Marine fishes nei,captured,2000,10073056.0
Marine fishes nei,captured,2001,9942495.0
Marine fishes nei,captured,2016,9921201.370000001
Marine fishes nei,captured,1997,9915988.0
Marine fishes nei,captured,2002,9891268.0
Marine fishes nei,captured,1995,9811827.0
Anchoveta(=Peruvian anchovy),captured,1964,9797400.0
Marine fishes nei,captured,1993,9758941.0
Marine fishes nei,captured,1994,9715875.0
Anchoveta(=Peruvian anchovy),captured,1969,9708800.0
Anchoveta(=Peruvian anchovy),captured,2002,9702614.0
Anchoveta(=Peruvian anchovy),captured,1966,9620600.0
Marine fishes nei,captured,2005,9547954.0
Marine fishes nei,captured,2017,9493809.66
Marine fishes nei,captured,2004,9293857.0
Marine fishes nei,captured,1992,9273610.0
Marine fishes nei,captured,2003,9225756.0
Marine fishes nei,captured,2009,9028266.0
Marine fishes nei,captured,2010,8985226.0
Marine fishes nei,captured,2015,8958589.0
Marine fishes nei,captured,1989,8950531.0
Marine fishes nei,captured,1990,8870366.0
Anchoveta(=Peruvian anchovy),captured,1996,8863714.0
Marine fishes nei,captured,1991,8806571.0
Anchoveta(=Peruvian anchovy),captured,1999,8723265.0
Marine fishes nei,captured,1987,8716953.0
Anchoveta(=Peruvian anchovy),captured,1995,8644576.0
Marine fishes nei,captured,2012,8638861.0
Marine fishes nei,captured,1988,8599409.0
Marine fishes nei,captured,2007,8589833.0
Marine fishes nei,captured,2011,8588363.0
Marine fishes nei,captured,2014,8504209.0
Anchoveta(=Peruvian anchovy),captured,1993,8482463.0
Marine fishes nei,captured,2006,8480017.0
Marine fishes nei,captured,2013,8433090.0
Anchoveta(=Peruvian anchovy),captured,2011,8319597.0
Marine fishes nei,captured,2008,8308724.0
Marine fishes nei,captured,1986,8174245.0
Anchoveta(=Peruvian anchovy),captured,1997,7685098.0
Anchoveta(=Peruvian anchovy),captured,1965,7680900.0
Anchoveta(=Peruvian anchovy),captured,2007,7611858.0
Anchoveta(=Peruvian anchovy),captured,2008,7419295.0
Marine fishes nei,captured,1985,7404913.0
Marine fishes nei,captured,1981,7371661.0
Anchoveta(=Peruvian anchovy),captured,2001,7213077.0
Marine fishes nei,captured,1984,7187735.0
Anchoveta(=Peruvian anchovy),captured,1963,7174200.0
Marine fishes nei,captured,1982,7169356.0
Anchoveta(=Peruvian anchovy),captured,1962,7126500.0
Marine fishes nei,captured,1983,7110521.0
Marine fishes nei,captured,1978,7093168.0
Anchoveta(=Peruvian anchovy),captured,2018,7044950.0
Anchoveta(=Peruvian anchovy),captured,2006,7007157.0
Anchoveta(=Peruvian anchovy),captured,2009,6910467.0
Marine fishes nei,captured,1980,6830803.0
Marine fishes nei,captured,1977,6791587.0
Alaska pollock(=Walleye poll.),captured,1986,6758944.0
Alaska pollock(=Walleye poll.),captured,1987,6723969.0
Marine fishes nei,captured,1979,6711509.0
Alaska pollock(=Walleye poll.),captured,1988,6658607.0
Marine fishes nei,captured,1976,6597409.0
South American pilchard,captured,1985,6509301.0
Marine fishes nei,captured,1973,6369952.0
Marine fishes nei,captured,1975,6330897.0
Alaska pollock(=Walleye poll.),captured,1989,6320979.0
Marine fishes nei,captured,1974,6274514.0
Freshwater fishes nei,captured,2017,6234328.74
Anchoveta(=Peruvian anchovy),captured,2003,6203751.0
Freshwater fishes nei,captured,2018,6174876.54
Anchoveta(=Peruvian anchovy),captured,1992,6157269.0
Alaska pollock(=Walleye poll.),captured,1985,6132334.0
Marine fishes nei,captured,1972,6071021.0
Alaska pollock(=Walleye poll.),captured,1984,5986318.0
Freshwater fishes nei,captured,2016,5963538.0
Freshwater fishes nei,captured,2015,5838811.0
Alaska pollock(=Walleye poll.),captured,1990,5736171.0
South American pilchard,captured,1984,5734667.0
Freshwater fishes nei,captured,2014,5734589.0
Grass carp(=White amur),cultured,2018,5703950.47
Freshwater fishes nei,captured,2007,5695535.0
Freshwater fishes nei,captured,2013,5692839.0
Anchoveta(=Peruvian anchovy),captured,2013,5674036.0
Freshwater fishes nei,captured,2006,5607112.0
Freshwater fishes nei,captured,2012,5590593.0
Freshwater fishes nei,captured,2010,5542221.0
Freshwater fishes nei,captured,2009,5541671.0
Marine fishes nei,captured,1971,5539493.0
Grass carp(=White amur),cultured,2017,5519605.190000001
Freshwater fishes nei,captured,2008,5495586.0
Freshwater fishes nei,captured,2011,5493197.0
Marine fishes nei,captured,1969,5481159.0
Grass carp(=White amur),cultured,2016,5444454.759999999
Japanese pilchard,captured,1988,5428922.0
Anchoveta(=Peruvian anchovy),captured,1989,5407527.0
South American pilchard,captured,1988,5382681.0
Japanese pilchard,captured,1987,5321064.0
Grass carp(=White amur),cultured,2015,5314978.769999999
Anchoveta(=Peruvian anchovy),captured,1961,5270000.0
Marine fishes nei,captured,1968,5254063.0
Japanese pilchard,captured,1986,5191036.0
Cupped oysters nei,cultured,2018,5171065.5
Freshwater fishes nei,captured,2005,5156494.0
Japanese pilchard,captured,1984,5156086.0
Japanese pilchard,captured,1989,5142930.0
Alaska pollock(=Walleye poll.),captured,1976,5070449.0
Grass carp(=White amur),cultured,2014,5039833.4
Alaska pollock(=Walleye poll.),captured,1975,5023929.0
Alaska pollock(=Walleye poll.),captured,1992,4992406.0
Marine fishes nei,captured,1967,4972837.0
Whiteleg shrimp,cultured,2018,4966240.55
South American pilchard,captured,1986,4960771.0
Chilean jack mackerel,captured,1995,4955186.0
South American pilchard,captured,1987,4949842.0
Anchoveta(=Peruvian anchovy),captured,1986,4945315.0
Marine fishes nei,captured,1970,4920270.0
Cupped oysters nei,cultured,2017,4911842.24
Alaska pollock(=Walleye poll.),captured,1974,4907372.0
Alaska pollock(=Walleye poll.),captured,1991,4893484.0
Alaska pollock(=Walleye poll.),captured,1983,4858086.0
Anchoveta(=Peruvian anchovy),captured,1972,4815300.0
Silver carp,cultured,2018,4788492.79
Alaska pollock(=Walleye poll.),captured,1995,4774848.0
Grass carp(=White amur),cultured,2013,4767531.510000001
Whiteleg shrimp,cultured,2017,4733283.37
Japanese pilchard,captured,1990,4732154.0
Freshwater fishes nei,captured,2004,4725052.0
Japanese pilchard,captured,1985,4722862.0
Silver carp,cultured,2015,4721721.359999999
Silver carp,cultured,2016,4717041.9
Silver carp,cultured,2017,4704506.070000001
Anchoveta(=Peruvian anchovy),captured,2012,4692855.0
Cupped oysters nei,cultured,2016,4690753.57
Freshwater fishes nei,captured,2003,4652261.0
Alaska pollock(=Walleye poll.),captured,1993,4619008.0
Alaska pollock(=Walleye poll.),captured,1973,4617100.0
