Year,Measurement type,Value (Spline fit)
1,CH4 concentration (ppb),647.6
2,CH4 concentration (ppb),647.1
3,CH4 concentration (ppb),646.5
4,CH4 concentration (ppb),646.0
5,CH4 concentration (ppb),645.5
6,CH4 concentration (ppb),645.0
7,CH4 concentration (ppb),644.5
8,CH4 concentration (ppb),644.0
9,CH4 concentration (ppb),643.4
10,CH4 concentration (ppb),642.9
11,CH4 concentration (ppb),642.4
12,CH4 concentration (ppb),641.9
13,CH4 concentration (ppb),641.4
14,CH4 concentration (ppb),641.0
15,CH4 concentration (ppb),640.5
16,CH4 concentration (ppb),640.0
17,CH4 concentration (ppb),639.5
18,CH4 concentration (ppb),639.0
19,CH4 concentration (ppb),638.6
20,CH4 concentration (ppb),638.1
21,CH4 concentration (ppb),637.7
22,CH4 concentration (ppb),637.2
23,CH4 concentration (ppb),636.8
24,CH4 concentration (ppb),636.4
25,CH4 concentration (ppb),636.0
26,CH4 concentration (ppb),635.6
27,CH4 concentration (ppb),635.2
28,CH4 concentration (ppb),634.8
29,CH4 concentration (ppb),634.4
30,CH4 concentration (ppb),634.1
31,CH4 concentration (ppb),633.7
32,CH4 concentration (ppb),633.4
33,CH4 concentration (ppb),633.1
34,CH4 concentration (ppb),632.8
35,CH4 concentration (ppb),632.5
36,CH4 concentration (ppb),632.2
37,CH4 concentration (ppb),631.9
38,CH4 concentration (ppb),631.6
39,CH4 concentration (ppb),631.4
40,CH4 concentration (ppb),631.1
41,CH4 concentration (ppb),630.9
42,CH4 concentration (ppb),630.7
43,CH4 concentration (ppb),630.5
44,CH4 concentration (ppb),630.2
45,CH4 concentration (ppb),630.0
46,CH4 concentration (ppb),629.9
47,CH4 concentration (ppb),629.7
48,CH4 concentration (ppb),629.5
49,CH4 concentration (ppb),629.4
50,CH4 concentration (ppb),629.2
51,CH4 concentration (ppb),629.1
52,CH4 concentration (ppb),628.9
53,CH4 concentration (ppb),628.8
54,CH4 concentration (ppb),628.7
55,CH4 concentration (ppb),628.6
56,CH4 concentration (ppb),628.5
57,CH4 concentration (ppb),628.4
58,CH4 concentration (ppb),628.3
59,CH4 concentration (ppb),628.2
60,CH4 concentration (ppb),628.2
61,CH4 concentration (ppb),628.1
62,CH4 concentration (ppb),628.1
63,CH4 concentration (ppb),628.0
64,CH4 concentration (ppb),628.0
65,CH4 concentration (ppb),627.9
66,CH4 concentration (ppb),627.9
67,CH4 concentration (ppb),627.9
68,CH4 concentration (ppb),627.9
69,CH4 concentration (ppb),627.9
70,CH4 concentration (ppb),627.9
71,CH4 concentration (ppb),627.9
72,CH4 concentration (ppb),627.9
73,CH4 concentration (ppb),627.9
74,CH4 concentration (ppb),628.0
75,CH4 concentration (ppb),628.0
76,CH4 concentration (ppb),628.0
77,CH4 concentration (ppb),628.1
78,CH4 concentration (ppb),628.1
79,CH4 concentration (ppb),628.2
80,CH4 concentration (ppb),628.3
81,CH4 concentration (ppb),628.4
82,CH4 concentration (ppb),628.4
83,CH4 concentration (ppb),628.5
84,CH4 concentration (ppb),628.6
85,CH4 concentration (ppb),628.7
