country,year,population
Afghanistan,1800,3280000
Albania,1800,400000
Algeria,1800,2500000
Andorra,1800,2650
Angola,1800,1570000
Antigua and Barbuda,1800,37000
Argentina,1800,534000
Armenia,1800,413000
Australia,1800,200000
Austria,1800,3000000
Azerbaijan,1800,880000
Bahamas,1800,27400
Bahrain,1800,64500
Bangladesh,1800,19200000
Barbados,1800,81700
Belarus,1800,2360000
Belgium,1800,3250000
Belize,1800,25500
Benin,1800,637000
Bhutan,1800,392000
Bolivia,1800,887000
Bosnia and Herzegovina,1800,852000
Botswana,1800,121000
Brazil,1800,2500000
Brunei,1800,2260
Bulgaria,1800,2250000
Burkina Faso,1800,1670000
Burundi,1800,899000
Cambodia,1800,2090000
Cameroon,1800,1860000
Canada,1800,500000
Cape Verde,1800,55700
Central African Republic,1800,479000
Chad,1800,1430000
Chile,1800,771000
China,1800,330000000
Colombia,1800,1210000
Comoros,1800,56300
"Congo, Dem. Rep.",1800,5160000
"Congo, Rep.",1800,314000
Costa Rica,1800,53000
Cote d'Ivoire,1800,1090000
Croatia,1800,1230000
Cuba,1800,272000
Cyprus,1800,184000
Czech Republic,1800,5520000
Denmark,1800,1000000
Djibouti,1800,22800
Dominica,1800,20000
Dominican Republic,1800,150000
Ecuador,1800,500000
Egypt,1800,3500000
El Salvador,1800,248000
Equatorial Guinea,1800,80400
Eritrea,1800,205000
Estonia,1800,334000
Ethiopia,1800,12000000
Fiji,1800,131000
Finland,1800,800000
France,1800,29000000
Gabon,1800,158000
Gambia,1800,103000
Georgia,1800,1070000
Germany,1800,18000000
Ghana,1800,2020000
Greece,1800,2250000
Grenada,1800,29400
Guatemala,1800,463000
Guinea,1800,984000
Guinea-Bissau,1800,218000
Guyana,1800,166000
Haiti,1800,500000
Holy See,1800,905
Honduras,1800,130000
Hungary,1800,3250000
Iceland,1800,61400
India,1800,201000000
Indonesia,1800,16100000
Iran,1800,6000000
Iraq,1800,1000000
Ireland,1800,5250000
Israel,1800,210000
Italy,1800,19000000
Jamaica,1800,300000
Japan,1800,28000000
Jordan,1800,200000
Kazakhstan,1800,2040000
Kenya,1800,2570000
Kiribati,1800,17900
Kuwait,1800,81300
Kyrgyz Republic,1800,530000
Lao,1800,470000
Latvia,1800,591000
Lebanon,1800,300000
Lesotho,1800,276000
Liberia,1800,314000
Libya,1800,230000
Liechtenstein,1800,5800
Lithuania,1800,779000
Luxembourg,1800,127000
Madagascar,1800,1500000
Malawi,1800,737000
Malaysia,1800,287000
Maldives,1800,42400
Mali,1800,1400000
Malta,1800,134000
Marshall Islands,1800,5830
Mauritania,1800,383000
Mauritius,1800,59000
Mexico,1800,5100000
"Micronesia, Fed. Sts.",1800,16400
Moldova,1800,713000
Monaco,1800,7790
Mongolia,1800,600000
Montenegro,1800,127000
Morocco,1800,2500000
Mozambique,1800,2000000
Myanmar,1800,6000000
Namibia,1800,229000
Nauru,1800,1830
Nepal,1800,4000000
Netherlands,1800,2000000
New Zealand,1800,200000
Nicaragua,1800,186000
Niger,1800,853000
Nigeria,1800,12100000
North Korea,1800,4340000
North Macedonia,1800,392000
Norway,1800,900000
Oman,1800,300000
Pakistan,1800,13100000
Palau,1800,3880
Palestine,1800,166000
Panama,1800,75600
Papua New Guinea,1800,755000
Paraguay,1800,300000
Peru,1800,1270000
Philippines,1800,2500000
Poland,1800,9000000
Portugal,1800,2750000
Qatar,1800,14100
Romania,1800,5500000
Russia,1800,31300000
Rwanda,1800,928000
Samoa,1800,47300
San Marino,1800,5490
Sao Tome and Principe,1800,22700
Saudi Arabia,1800,2000000
Senegal,1800,1010000
Serbia,1800,2150000
Seychelles,1800,12500
Sierra Leone,1800,794000
Singapore,1800,30000
Slovak Republic,1800,2140000
Slovenia,1800,470000
Solomon Islands,1800,57000
Somalia,1800,989000
South Africa,1800,1450000
South Korea,1800,9400000
South Sudan,1800,1030000
Spain,1800,11500000
Sri Lanka,1800,1750000
St. Kitts and Nevis,1800,17200
St. Lucia,1800,24000
St. Vincent and the Grenadines,1800,25800
Sudan,1800,3990000
Suriname,1800,80700
Swaziland,1800,86000
Sweden,1800,2500000
Switzerland,1800,1750000
Syria,1800,1250000
Tajikistan,1800,467000
Tanzania,1800,3000000
Thailand,1800,3000000
Timor-Leste,1800,137000
Togo,1800,446000
Tonga,1800,18700
Trinidad and Tobago,1800,20000
Tunisia,1800,800000
Turkey,1800,9760000
Turkmenistan,1800,367000
Tuvalu,1800,2500
Uganda,1800,2500000
Ukraine,1800,11200000
United Arab Emirates,1800,40200
United Kingdom,1800,10800000
United States,1800,6000000
Uruguay,1800,55000
Uzbekistan,1800,1920000
Vanuatu,1800,27800
Venezuela,1800,1000000
Vietnam,1800,4000000
Yemen,1800,2590000
Zambia,1800,747000
Zimbabwe,1800,1090000
Afghanistan,1801,3280000
Albania,1801,402000
Algeria,1801,2510000
Andorra,1801,2650
Angola,1801,1570000
Antigua and Barbuda,1801,37000
Argentina,1801,520000
Armenia,1801,413000
Australia,1801,205000
Austria,1801,3020000
Azerbaijan,1801,880000
Bahamas,1801,27400
Bahrain,1801,64500
Bangladesh,1801,19200000
Barbados,1801,81700
Belarus,1801,2360000
Belgium,1801,3260000
Belize,1801,25500
Benin,1801,637000
Bhutan,1801,392000
Bolivia,1801,897000
Bosnia and Herzegovina,1801,852000
Botswana,1801,121000
Brazil,1801,2570000
Brunei,1801,2260
Bulgaria,1801,2250000
Burkina Faso,1801,1670000
Burundi,1801,899000
Cambodia,1801,2090000
Cameroon,1801,1860000
Canada,1801,512000
Cape Verde,1801,55700
Central African Republic,1801,479000
Chad,1801,1440000
Chile,1801,771000
China,1801,332000000
Colombia,1801,1210000
Comoros,1801,56300
"Congo, Dem. Rep.",1801,5160000
"Congo, Rep.",1801,314000
Costa Rica,1801,53500
Cote d'Ivoire,1801,1090000
Croatia,1801,1230000
Cuba,1801,293000
Cyprus,1801,184000
Czech Republic,1801,5520000
Denmark,1801,1010000
