year,Reported value,Relative humidity anomaly (%rh)
1973,anomaly,0.10418
1974,anomaly,0.16296
1975,anomaly,0.21460
1976,anomaly,0.15178
1977,anomaly,0.32034
1978,anomaly,0.21826
1979,anomaly,0.13853
1980,anomaly,0.10809
1981,anomaly,0.32121
1982,anomaly,-0.02079
1983,anomaly,-0.06688
1984,anomaly,-0.15700
1985,anomaly,-0.05406
1986,anomaly,-0.21047
1987,anomaly,-0.18569
1988,anomaly,0.05983
1989,anomaly,-0.07002
1990,anomaly,0.07376
1991,anomaly,0.12601
1992,anomaly,0.28544
1993,anomaly,0.18778
1994,anomaly,-0.07335
1995,anomaly,0.16764
1996,anomaly,0.21355
1997,anomaly,0.21854
1998,anomaly,0.36719
1999,anomaly,0.08970
2000,anomaly,0.32139
2001,anomaly,0.02539
2002,anomaly,-0.24028
2003,anomaly,-0.12273
2004,anomaly,-0.06726
2005,anomaly,-0.21068
2006,anomaly,-0.17216
2007,anomaly,-0.15899
2008,anomaly,-0.26917
2009,anomaly,-0.34175
2010,anomaly,-0.04347
2011,anomaly,-0.16102
2012,anomaly,-0.45004
2013,anomaly,-0.38028
2014,anomaly,-0.58572
2015,anomaly,-0.54932
2016,anomaly,-0.28893
2017,anomaly,-0.36088
2018,anomaly,-0.42285
2019,anomaly,-0.61777
1973,low. bound within gridbox sampling uncertainty,0.01107
1974,low. bound within gridbox sampling uncertainty,0.07073
1975,low. bound within gridbox sampling uncertainty,0.12289
1976,low. bound within gridbox sampling uncertainty,0.06077
1977,low. bound within gridbox sampling uncertainty,0.23101
1978,low. bound within gridbox sampling uncertainty,0.12923
1979,low. bound within gridbox sampling uncertainty,0.04989
1980,low. bound within gridbox sampling uncertainty,0.01924
1981,low. bound within gridbox sampling uncertainty,0.23189
1982,low. bound within gridbox sampling uncertainty,-0.11001
1983,low. bound within gridbox sampling uncertainty,-0.15507
1984,low. bound within gridbox sampling uncertainty,-0.24511
1985,low. bound within gridbox sampling uncertainty,-0.14295
1986,low. bound within gridbox sampling uncertainty,-0.29915
1987,low. bound within gridbox sampling uncertainty,-0.27317
1988,low. bound within gridbox sampling uncertainty,-0.02827
1989,low. bound within gridbox sampling uncertainty,-0.15958
1990,low. bound within gridbox sampling uncertainty,-0.01678
1991,low. bound within gridbox sampling uncertainty,0.03372
