year,Reported value,Specific humidity anomaly (g/kg)
1973,anomaly,-0.06912
1974,anomaly,-0.23812
1975,anomaly,-0.22192
1976,anomaly,-0.26952
1977,anomaly,-0.06215
1978,anomaly,-0.14841
1979,anomaly,-0.08629
1980,anomaly,-0.06274
1981,anomaly,-0.03908
1982,anomaly,-0.16164
1983,anomaly,-0.05629
1984,anomaly,-0.20025
1985,anomaly,-0.21696
1986,anomaly,-0.19769
1987,anomaly,-0.03917
1988,anomaly,0.02295
1989,anomaly,-0.11063
1990,anomaly,0.03283
1991,anomaly,-0.00044
1992,anomaly,-0.11750
1993,anomaly,-0.09731
1994,anomaly,-0.04301
1995,anomaly,0.05457
1996,anomaly,-0.01255
1997,anomaly,0.06431
1998,anomaly,0.29898
1999,anomaly,0.04836
2000,anomaly,0.03948
2001,anomaly,0.07392
2002,anomaly,0.06549
2003,anomaly,0.10626
2004,anomaly,0.05678
2005,anomaly,0.09250
2006,anomaly,0.08649
2007,anomaly,0.08956
2008,anomaly,0.00233
2009,anomaly,0.04995
2010,anomaly,0.19371
2011,anomaly,0.03512
2012,anomaly,0.03242
2013,anomaly,0.04909
2014,anomaly,0.07247
2015,anomaly,0.17056
2016,anomaly,0.29126
2017,anomaly,0.18697
2018,anomaly,0.14670
2019,anomaly,0.20225
1973,low. bound within gridbox sampling uncertainty,-0.07365
1974,low. bound within gridbox sampling uncertainty,-0.24261
1975,low. bound within gridbox sampling uncertainty,-0.22635
1976,low. bound within gridbox sampling uncertainty,-0.27394
1977,low. bound within gridbox sampling uncertainty,-0.06649
1978,low. bound within gridbox sampling uncertainty,-0.15273
1979,low. bound within gridbox sampling uncertainty,-0.09057
1980,low. bound within gridbox sampling uncertainty,-0.06705
1981,low. bound within gridbox sampling uncertainty,-0.04343
1982,low. bound within gridbox sampling uncertainty,-0.16598
1983,low. bound within gridbox sampling uncertainty,-0.06058
1984,low. bound within gridbox sampling uncertainty,-0.20454
1985,low. bound within gridbox sampling uncertainty,-0.22131
1986,low. bound within gridbox sampling uncertainty,-0.20201
1987,low. bound within gridbox sampling uncertainty,-0.04344
