Region,Year,Phosphate rock production mass (Mt)
Total EU 28,2008,0.78
Total E. Europe & C. Asia,2008,12.229
Total North America,2008,31.833
Total Latin America,2008,7.62
Total Africa,2008,40.56
Total West Asia,2008,12.404
Total South Asia,2008,1.613
Total East Asia,2008,62.817
Total Oceania,2008,3.759
Total World,2008,173.613
Total EU 28,2009,0.658
Total E. Europe & C. Asia,2009,11.443
Total North America,2009,27.513
Total Latin America,2009,7.77
Total Africa,2009,34.167
Total West Asia,2009,10.017
Total South Asia,2009,1.734
Total East Asia,2009,65.147
Total Oceania,2009,2.784
Total World,2009,161.233
Total EU 28,2010,0.817
Total E. Europe & C. Asia,2010,13.256
Total North America,2010,26.152
Total Latin America,2010,8.117
Total Africa,2010,43.241
Total West Asia,2010,13.642
Total South Asia,2010,2.047
Total East Asia,2010,73.364
Total Oceania,2010,3.121
Total World,2010,183.759
Total EU 28,2011,0.87
Total E. Europe & C. Asia,2011,12.673
Total North America,2011,28.518
Total Latin America,2011,10.649
Total Africa,2011,41.274
Total West Asia,2011,15.622
Total South Asia,2011,2.059
Total East Asia,2011,78.395
Total Oceania,2011,3.606
Total World,2011,193.665
Total EU 28,2012,0.858
Total E. Europe & C. Asia,2012,12.815
Total North America,2012,30.118
Total Latin America,2012,11.436
Total Africa,2012,41.214
Total West Asia,2012,14.669
Total South Asia,2012,1.302
Total East Asia,2012,80.892
Total Oceania,2012,3.373
Total World,2012,196.675
Total EU 28,2013,0.877
Total E. Europe & C. Asia,2013,13.299
Total North America,2013,30.864
Total Latin America,2013,11.553
Total Africa,2013,39.594
Total West Asia,2013,13.238
Total South Asia,2013,1.363
Total East Asia,2013,79.656
Total Oceania,2013,2.829
Total World,2013,193.271
Total EU 28,2014,0.865
Total E. Europe & C. Asia,2014,12.873
Total North America,2014,26.944
Total Latin America,2014,11.299
Total Africa,2014,42.397
Total West Asia,2014,15.406
Total South Asia,2014,1.647
Total East Asia,2014,82.471
Total Oceania,2014,3.098
Total World,2014,197.0
Total EU 28,2015,0.875
Total E. Europe & C. Asia,2015,14.264
Total North America,2015,27.045
Total Latin America,2015,10.997
Total Africa,2015,39.588
Total West Asia,2015,16.908
Total South Asia,2015,1.506
Total East Asia,2015,85.894
Total Oceania,2015,3.508
Total World,2015,200.584
Total EU 28,2016,0.94
Total E. Europe & C. Asia,2016,14.75
Total North America,2016,27.459
Total Latin America,2016,10.61
Total Africa,2016,40.731
Total West Asia,2016,16.032
Total South Asia,2016,0.954
Total East Asia,2016,85.4
Total Oceania,2016,3.108
Total World,2016,199.983
Total EU 28,2017,0.979
Total E. Europe & C. Asia,2017,16.187
Total North America,2017,27.803
Total Latin America,2017,9.755
Total Africa,2017,48.206
Total West Asia,2017,16.887
Total South Asia,2017,1.367
Total East Asia,2017,84.6
Total Oceania,2017,3.154
Total World,2017,208.937
Total EU 28,2018,0.989
Total E. Europe & C. Asia,2018,17.296
Total North America,2018,25.821
Total Latin America,2018,9.81
Total Africa,2018,49.083
Total West Asia,2018,16.251
Total South Asia,2018,1.215
Total East Asia,2018,84.9
Total Oceania,2018,2.644
Total World,2018,208.009
Total EU 28,2019,0.995
Total E. Europe & C. Asia,2019,17.128
Total North America,2019,23.686
Total Latin America,2019,7.514
Total Africa,2019,50.779
Total West Asia,2019,21.678
Total South Asia,2019,1.002
Total East Asia,2019,83.0
Total Oceania,2019,2.172
Total World,2019,207.952
