ISO3,country,wastewater_type,nitrogen_input_kg
ABW,aruba,direct,565
ABW,aruba,septic,2270
ABW,aruba,sewer,60500
ABW,aruba,total,63300
AFG,afghanistan,direct,8710000
AFG,afghanistan,septic,555000
AFG,afghanistan,sewer,711000
AFG,afghanistan,total,9970000
AGO,angola,direct,3180000
AGO,angola,septic,1060000
AGO,angola,sewer,3220000
AGO,angola,total,7470000
AIA,anguilla,direct,777
AIA,anguilla,septic,2440
AIA,anguilla,sewer,3010
AIA,anguilla,total,6220
ALA,aland islands,direct,2620
ALA,aland islands,septic,135
ALA,aland islands,sewer,37500
ALA,aland islands,total,41200
ALB,albania,direct,156000
ALB,albania,septic,21000
ALB,albania,sewer,4730000
ALB,albania,total,4910000
AND,andorra,direct,5710
AND,andorra,septic,108000
AND,andorra,sewer,107000
AND,andorra,total,123000
ARE,united arab emirates,direct,472000
ARE,united arab emirates,septic,117000
ARE,united arab emirates,sewer,398000
ARE,united arab emirates,total,987000
ARG,argentina,direct,5700000
ARG,argentina,septic,1680000
ARG,argentina,sewer,32800000
ARG,argentina,total,40200000
ASM,american samoa,direct,5700000
ASM,american samoa,septic,2030
ASM,american samoa,sewer,11700
ASM,american samoa,total,17200
ATG,antigua and barbuda,direct,4870
ATG,antigua and barbuda,septic,3800
ATG,antigua and barbuda,sewer,38300
ATG,antigua and barbuda,total,46900
AUS,australia,direct,683000
AUS,australia,septic,522000
AUS,australia,sewer,1880000
AUS,australia,total,3080000
AUT,austria,direct,529000
AUT,austria,septic,241000
AUT,austria,sewer,12500000
AUT,austria,total,13300000
BDI,burundi,direct,2950000
BDI,burundi,septic,153000
BDI,burundi,sewer,350000
BDI,burundi,total,3460000
BEL,belgium,direct,390000
BEL,belgium,septic,129000
BEL,belgium,sewer,520000
BEL,belgium,total,1040000
BEN,benin,direct,4700000
BEN,benin,septic,64200
BEN,benin,sewer,224000
BEN,benin,total,4990000
BES,caribbean netherlands,direct,5230
BES,caribbean netherlands,septic,1010
BES,caribbean netherlands,sewer,4290
BES,caribbean netherlands,total,10500
BFA,burkina faso,direct,12800000
BFA,burkina faso,septic,111000
BFA,burkina faso,sewer,495000
BFA,burkina faso,total,13400000
BGD,bangladesh,direct,83800000
BGD,bangladesh,septic,5240000
BGD,bangladesh,sewer,17100000
BGD,bangladesh,total,106000000
BGR,bulgaria,direct,3240000
BGR,bulgaria,septic,412000
BGR,bulgaria,sewer,5860000
BGR,bulgaria,total,9510000
BHR,bahrain,direct,34500
BHR,bahrain,septic,11500
BHR,bahrain,sewer,62500
BHR,bahrain,total,109000
BIH,bosnia and herzegovina,direct,342000
BIH,bosnia and herzegovina,septic,416000
BIH,bosnia and herzegovina,sewer,3530000
BIH,bosnia and herzegovina,total,4290000
BLM,saint barthelemy,direct,1750
BLM,saint barthelemy,septic,1110
BLM,saint barthelemy,sewer,2230
BLM,saint barthelemy,total,5080
BLR,belarus,direct,767000
BLR,belarus,septic,123000
BLR,belarus,sewer,11700000
BLR,belarus,total,12600000
BLZ,belize,direct,83300
BLZ,belize,septic,50700
BLZ,belize,sewer,64000
BLZ,belize,total,198000
BMU,bermuda,direct,38500
BMU,bermuda,septic,1490
BMU,bermuda,sewer,10000
BMU,bermuda,total,50100
BOL,bolivia,direct,2750000
BOL,bolivia,septic,182000
BOL,bolivia,sewer,4800000
BOL,bolivia,total,7730000
BRA,brazil,direct,64000000
BRA,brazil,septic,7470000
BRA,brazil,sewer,171000000
BRA,brazil,total,244000000
BRB,barbados,direct,189000
BRB,barbados,septic,3090
BRB,barbados,sewer,12200
BRB,barbados,total,204000
BRN,brunei,direct,37000
BRN,brunei,septic,93700
BRN,brunei,sewer,47200
BRN,brunei,total,178000
BTN,bhutan,direct,445000
BTN,bhutan,septic,102000
BTN,bhutan,sewer,42300
BTN,bhutan,total,589000
BWA,botswana,direct,1140000
BWA,botswana,septic,11500
BWA,botswana,sewer,32900
BWA,botswana,total,1180000
CAF,central african republic,direct,1680000
CAF,central african republic,septic,4460
CAF,central african republic,sewer,25800
CAF,central african republic,total,1710000
CAN,canada,direct,2110000
CAN,canada,septic,910000
CAN,canada,sewer,27800000
CAN,canada,total,30800000
CCK,keeling islands,direct,68.3
CCK,keeling islands,septic,14
CCK,keeling islands,sewer,2.88
CCK,keeling islands,total,85.2
CHE,switzerland,direct,554000
CHE,switzerland,septic,48800
CHE,switzerland,sewer,11400000
CHE,switzerland,total,12100000
CHL,chile,direct,1180000
CHL,chile,septic,516000
CHL,chile,sewer,20100000
CHL,chile,total,21800000
CHN,china,direct,543000000
CHN,china,septic,14300000
CHN,china,sewer,1340000000
CHN,china,total,1890000000
CIV,cote d’ivorie,direct,8140000
CIV,cote d’ivorie,septic,402000
CIV,cote d’ivorie,sewer,1700000
CIV,cote d’ivorie,total,10200000
