Region,Period,Estimate type,Measure,Category,Emissions (Tg CH4 yr-1)
Africa,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,47.32
Europe and Russia,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,45.02
Asia,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,156.98
South America,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,43.2
North America,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,43.2
Oceania,2008-2017,Top-Down,Sample Mean,Total Anthropogenic,7.29
Africa,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,1.72
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,2.34
Asia,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,3.46
South America,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,1.75
North America,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,1.86
Oceania,2008-2017,Top-Down,Std of Sample Mean,Total Anthropogenic,0.57
Africa,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,44.16
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,48.14
Asia,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,165.42
South America,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,36.36
North America,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,43.62
Oceania,2008-2017,Bottom-up,Sample Mean,Total Anthropogenic,6.32
Africa,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,1.39
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,1.45
Asia,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,8.33
South America,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,4.21
North America,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,2.56
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Total Anthropogenic,0.12
Africa,2008-2017,Top-Down,Sample Mean,Wetlands,32.6
Europe and Russia,2008-2017,Top-Down,Sample Mean,Wetlands,14.64
Asia,2008-2017,Top-Down,Sample Mean,Wetlands,42.42
South America,2008-2017,Top-Down,Sample Mean,Wetlands,60.46
North America,2008-2017,Top-Down,Sample Mean,Wetlands,28.0
Oceania,2008-2017,Top-Down,Sample Mean,Wetlands,2.13
Africa,2008-2017,Top-Down,Std of Sample Mean,Wetlands,0.93
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Wetlands,0.91
Asia,2008-2017,Top-Down,Std of Sample Mean,Wetlands,1.27
South America,2008-2017,Top-Down,Std of Sample Mean,Wetlands,2.0
North America,2008-2017,Top-Down,Std of Sample Mean,Wetlands,1.82
Oceania,2008-2017,Top-Down,Std of Sample Mean,Wetlands,0.21
Africa,2008-2017,Bottom-up,Sample Mean,Wetlands,29.75
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Wetlands,13.56
Asia,2008-2017,Bottom-up,Sample Mean,Wetlands,33.6
South America,2008-2017,Bottom-up,Sample Mean,Wetlands,45.76
North America,2008-2017,Bottom-up,Sample Mean,Wetlands,21.31
Oceania,2008-2017,Bottom-up,Sample Mean,Wetlands,4.19
Africa,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,2.09
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,1.94
Asia,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,3.29
South America,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,3.38
North America,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,1.86
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Wetlands,0.91
Africa,2008-2017,Top-Down,Sample Mean,Other Natural Sources,7.96
Europe and Russia,2008-2017,Top-Down,Sample Mean,Other Natural Sources,3.39
Asia,2008-2017,Top-Down,Sample Mean,Other Natural Sources,8.18
South America,2008-2017,Top-Down,Sample Mean,Other Natural Sources,6.48
North America,2008-2017,Top-Down,Sample Mean,Other Natural Sources,3.51
Oceania,2008-2017,Top-Down,Sample Mean,Other Natural Sources,1.86
Africa,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.85
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.31
Asia,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.64
South America,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.46
North America,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.23
Oceania,2008-2017,Top-Down,Std of Sample Mean,Other Natural Sources,0.11
Africa,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
Asia,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
South America,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
North America,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
Oceania,2008-2017,Bottom-up,Sample Mean,Other Natural Sources,
Africa,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
Asia,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
South America,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
North America,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Other Natural Sources,
Africa,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,24.63
Europe and Russia,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,21.92
Asia,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,96.52
South America,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,32.76
North America,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,26.64
Oceania,2008-2017,Top-Down,Sample Mean,Agriculture and Waste,4.98
Africa,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,1.5
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,1.34
