Country Group,year,Watts,Percentage,Per Capita
Africa,1986,0.0,0.0,0.0
Asia,1986,697152.8212,1.4239482200356406,0.00023860208500038675
Europe,1986,46455728.9036,94.88673138964768,0.14103435380715437
North America,1986,1457683.1716,2.977346278256339,0.0036185523925369133
Oceania,1986,0.0,0.0,0.0
South America,1986,0.0,0.0,0.0
Africa,1987,0.0,0.0,0.0
Asia,1987,1045729.2318,1.5123739688140578,0.00035062487801230724
Europe,1987,66197829.2494,95.73785517735051,0.20037542641531136
North America,1987,1235861.8194,1.7873510540529773,0.0030289765752561804
Oceania,1987,0.0,0.0,0.0
South America,1987,0.0,0.0,0.0
Africa,1988,0.0,0.0,0.0
Asia,1988,2059769.699,1.7610403684487748,0.000676728610356551
Europe,1988,111829650.27340001,95.61094554239578,0.337457339481395
North America,1988,301043.2637,0.25738282308097477,0.0007282130229801646
Oceania,1988,0.0,0.0,0.0
South America,1988,0.0,0.0,0.0
Africa,1989,0.0,0.0,0.0
Asia,1989,2091458.4636,0.2276647119693969,0.0006738087181593687
Europe,1989,170865818.7232,18.599517074833148,0.4614041988977011
North America,1989,736637021.8916,80.18627112788788,1.758629221218039
Oceania,1989,0.0,0.0,0.0
South America,1989,0.0,0.0,0.0
Africa,1990,0.0,0.0,0.0
Asia,1990,12168485.606399998,0.970971983411787,0.003848685640401995
Europe,1990,246285078.47120002,19.65206837259482,0.6630976545738472
North America,1990,970151528.2289999,77.41225852122881,2.284316562073082
Oceania,1990,0.0,0.0,0.0
South America,1990,0.0,0.0,0.0
Africa,1991,0.0,0.0,0.0
Asia,1991,17080244.1194,1.1948570161818286,0.005309588120930047
Europe,1991,382388322.42820007,26.75016626023401,0.8264603386952595
North America,1991,1029979915.7937999,72.05275992014467,2.3895449934432387
Oceania,1991,0.0,0.0,0.0
South America,1991,0.0,0.0,0.0
Africa,1992,0.0,0.0,0.0
Asia,1992,35966747.820999995,2.2552506606777443,0.010774887783941117
Europe,1992,539342773.492,33.81882488522926,0.7710812058564928
North America,1992,1019174047.0652,63.906054404156485,2.329013656487332
Oceania,1992,348576.4106,0.021857054861194,0.01260719775037072
South America,1992,0.0,0.0,0.0
Africa,1993,1045729.2318,0.05458966766469169,0.0015507033827729484
Asia,1993,42748143.44539999,2.231559444838457,0.012607461064227995
Europe,1993,814293508.42036,42.50814709431868,1.1361643138874067
North America,1993,1056934378.9625599,55.17460422488063,2.3805310895098324
Oceania,1993,348576.4106,0.018196555888230565,0.01245227058907584
South America,1993,0.0,0.0,0.0
Africa,1994,5165268.629799999,0.2055926238915469,0.007440498739286382
Asia,1994,83816782.367,3.3361502465836903,0.024347408730603676
Europe,1994,1208026408.5753598,48.0829433800245,1.6834446434399488
North America,1994,1211195285.0353599,48.209073824129746,2.6905884241944196
Oceania,1994,1742882.053,0.06937174425788394,0.06146214525513983
South America,1994,0.0,0.0,0.0
Africa,1995,5513845.0404,0.2015381764269093,0.007745589484020234
Asia,1995,205121373.2558,7.497451816157379,0.058707822139787334
Europe,1995,1406163578.1133199,51.39709970346528,1.9589252771059757
North America,1995,1113910777.71336,40.71488139361003,2.441496440945378
Oceania,1995,2756922.5202,0.10076908821345465,0.09584961652817857
South America,1995,0.0,0.0,0.0
Africa,1996,5862421.450999999,0.18256819168667585,0.008030912338934383
Asia,1996,353646612.936,11.013302806612447,0.0997627879504919
Europe,1996,1689305858.6907802,52.608554059905465,2.3532197454842523
North America,1996,1149795134.7463996,35.807050092753215,2.4872804524334255
Oceania,1996,5862421.450999999,0.18256819168667585,0.20080912005891619
South America,1996,4151228.1626,0.12927801681597048,0.012664098484113546
Africa,1997,5799043.9218,0.1399574774002752,0.007750950211716022
Asia,1997,426150506.3408,10.284962601524049,0.11844502321391844
Europe,1997,2517732556.12274,60.76441256097773,3.5075830020503567
North America,1997,1175653166.6599998,28.373892959290764,2.510057425236508
Oceania,1997,8872854.088,0.21414258837200578,0.29968771196000943
South America,1997,6844773.1536,0.16519571102983302,0.020548271737309633
Africa,1998,6147620.3324,0.11194912662367473,0.008019761469632474
Asia,1998,516314548.25718,9.402168581533605,0.14155625469021904
Europe,1998,3849389510.90854,70.09798433865065,5.368841430749149
North America,1998,1091519496.647,19.87674054923957,2.3010118719698966
Oceania,1998,12295240.6648,0.22389825324734947,0.4098686800720048
South America,1998,13309281.132,0.24236408856671848,0.0393343277249581
Africa,1999,10932623.787,0.15029012528531277,0.01392224488738168
Asia,1999,721179242.5197201,9.914007910922333,0.19510773100647053
Europe,1999,4867714299.082459,66.91617731620121,6.791663537707888
North America,1999,1634221279.1866,22.46554217706917,3.4024231782878176
Oceania,1999,24970746.5048,0.3432713586226854,0.8216223514345881
South America,1999,13024082.250599999,0.1790412796877204,0.037913827661432586
Africa,2000,79126845.20619999,0.7404705561386896,0.09836826879141315
Asia,2000,852687615.60972,7.979467288222303,0.22772081604920144
Europe,2000,7594104694.590358,71.06577940678656,10.598106064157651
North America,2000,2073690573.2887797,19.40563670978236,4.265001353915851
Oceania,2000,63092330.3186,0.5904192540136689,2.0489844868342426
South America,2000,13062108.76812,0.12223546785757626,0.03747621180717499
Africa,2001,157873425.2372,1.1911080508574983,0.19158349997536542
Asia,2001,1167138395.6119802,8.805712154465635,0.30774794651040976
Europe,2001,9242836259.087301,69.73445128219316,12.904825760246766
North America,2001,2521357750.7929797,19.022894521666593,5.1264613746014485
Oceania,2001,122952406.64799997,0.9276393491222588,3.939645828062417
South America,2001,31853546.17592,0.24032553446847799,0.09012433843345405
Africa,2002,147606265.5068,0.8229652898752549,0.1748551707511464
Asia,2002,1395262643.09092,7.779159790954368,0.3633507821094545
Europe,2002,12388972861.610338,69.07358984596841,17.292021926831985
North America,2002,3766219179.3393803,20.998212020451057,7.573760797590414
Oceania,2002,179263341.3422,0.9994664329807467,5.668226817877696
South America,2002,48391912.42066,0.26980470033673287,0.1350884151275738
Africa,2003,208195183.42200002,0.9534576262822989,0.2407337153194363
Asia,2003,1899148857.87198,8.697405637444799,0.4884755197193299
Europe,2003,15185002486.2032,69.54174533538315,21.174006782657536
North America,2003,4194017501.43938,19.20706284257993,8.346170611093516
Oceania,2003,289413487.0918,1.3254076865808575,9.024149140712792
South America,2003,49868608.85101999,0.2283799492359899,0.1374203517062148
Africa,2004,264354012.04612,0.9327376120610866,0.29832755388222815
Asia,2004,2451040382.14558,8.648166658839692,0.6229408173137536
Europe,2004,20014687098.889194,70.61913419158091,27.87044614143786
North America,2004,5176305826.5101795,18.263899603969936,10.191203373983212
Oceania,2004,360659336.54197997,1.2725380096558274,11.094479406360895
South America,2004,64759159.336559996,0.22849399247297314,0.17624417411430437
Africa,2005,277599915.64892,0.7965527149460929,0.30569883551274496
Asia,2005,3468772590.4214807,9.953390000036089,0.8712678495206158
Europe,2005,23922672304.41959,68.64436369984634,33.25919294908741
North America,2005,6587184692.795979,18.901446128441556,12.829761978840306
Oceania,2005,507790270.57978,1.4570671525890593,15.401585398234152
South America,2005,75311517.94836,0.21610090892227166,0.20252272438361027
Africa,2006,287993830.43772006,0.6508610039854188,0.3094149358624106
Asia,2006,5518170556.7679,12.470968642911343,1.369879169063608
Europe,2006,27737175654.37999,62.685530334767805,38.07133495806784
North America,2006,9784327530.819178,22.112408555253072,18.84551496153436
Oceania,2006,784306430.47938,1.7725187723575964,23.423319510195316
South America,2006,125427299.16325998,0.28346349550787675,0.33344135251823687
Africa,2007,391330891.79832,0.6912564666053796,0.4101265829692162
Asia,2007,7109732421.049981,12.55880538666388,1.744791973225388
Europe,2007,35080381386.37339,61.96684440851931,48.0503144691421
North America,2007,12579118124.71618,22.2200621779288,23.96045319425172
Oceania,2007,1186658674.6055799,2.096142930870958,34.80039516131206
South America,2007,253513285.67645997,0.44781207353429353,0.6665508541827752
Africa,2008,425396313.7433199,0.5832705854647614,0.4348157268337188
Asia,2008,11132684464.54918,15.26427751169957,2.7013355076022387
Europe,2008,39980066480.0608,54.81758075791818,54.63997058912231
North America,2008,19677306328.822376,26.980003380346428,37.06754512352336
Oceania,2008,1384047989.29898,1.8976997565541756,39.82069768101332
South America,2008,322845133.7448,0.44266032424390195,0.8398043169084538
Africa,2009,554458314.2061999,0.6116893246106561,0.5526186467312316
Asia,2009,17171102145.261124,18.943497833723917,4.120456994683374
Europe,2009,44018957972.15379,48.56258077868413,60.06830915327033
North America,2009,26660945986.6525,29.41288033060627,49.68884256064116
Oceania,2009,1739912815.75698,1.9195060618317465,49.1181666080507
South America,2009,476060310.5858,0.5251991040536028,1.2254183155870966
Africa,2010,775921583.36622,0.6960697135748556,0.7539067522925259
Asia,2010,23960198139.45892,21.49439919402046,5.686922355984848
Europe,2010,49279071074.40162,44.2076488440765,67.1524286313505
North America,2010,34365720522.731895,30.829065402813143,63.3931074657712
Oceania,2010,2202128305.08904,1.9755022304295686,61.1736292318751
South America,2010,864976518.5216,0.7759598010977533,2.2035597206921147
Africa,2011,793961997.053,0.5594679483257455,0.7518672076957387
Asia,2011,34844306427.856316,24.553155819024724,8.18255514213937
Europe,2011,59334771678.62578,41.81044319329224,80.72648219565146
North America,2011,43219019474.097244,30.454425077740265,78.94562542190333
Oceania,2011,2630338581.12884,1.8534767845922104,71.96942599126737
South America,2011,1060306063.516,0.7471481760518637,2.673590941452652
Africa,2012,759316670.7158201,0.45479901340669565,0.6942304804794319
Asia,2012,44538653711.593796,26.676795792458417,10.349234173394134
Europe,2012,66515509114.514984,39.84001548788229,90.33517960899418
North America,2012,50095246895.43919,30.004963334905348,90.60469795647884
Oceania,2012,2900979644.0716,1.7375658021479845,78.08617921648408
South America,2012,2071462853.1373997,1.240719844893404,5.1706684500881135
Africa,2013,1133846179.52322,0.5498613694138579,1.0101475510160043
Asia,2013,61146386662.04322,29.653083911997953,14.061618748256445
Europe,2013,76649607722.3596,37.17140739934781,103.81005536884193
North America,2013,61284676430.7576,29.720147860331036,109.7856878024252
Oceania,2013,3204304498.822799,1.5539349971462397,84.87549330709611
South America,2013,2710149903.6503997,1.3142935649037266,6.698310694584801
Africa,2014,1781311017.8304198,0.77789769579807,1.5465185687263807
Asia,2014,68400420210.45221,29.87043180035837,15.571065361752373
Europe,2014,81970151298.69962,35.79632707663853,110.73321449768878
North America,2014,67842856397.31519,29.626943941608168,120.37284272579637
Oceania,2014,3984386816.981,1.7399798760986456,103.91432117938085
South America,2014,4933338561.6926,2.154386663147996,12.076775312712915
Africa,2015,2673466989.7494397,1.0315508843936292,2.2622623493035765
Asia,2015,76076047420.85252,29.353762099567565,17.150622987008433
Europe,2015,95754456518.68297,36.94662948343944,129.46684656247106
North America,2015,71760880603.4709,27.68876523824734,126.14702663974339
Oceania,2015,4333067800.50418,1.6719039131156646,111.1983935253979
South America,2015,8495691242.854341,3.2780422757054324,20.6050060217853
Africa,2016,3236858366.6963797,1.0915788643509488,2.6698381420811788
Asia,2016,97159419092.61797,32.765464638591055,21.693500684036596
Europe,2016,94871544159.39783,31.993915303261204,128.0075885249721
North America,2016,84091352836.75316,28.358467696862366,146.4585142541833
Oceania,2016,4501392180.306459,1.5180227268306885,113.55681585031431
South America,2016,12595583606.80234,4.247659703252133,30.274643082948774
Africa,2017,3560124961.010359,1.0207981074638968,2.862844764483282
Asia,2017,119304481626.91241,34.20829054892241,26.387732847382097
Europe,2017,112820979403.01122,32.34926962342714,151.97917329949178
North America,2017,92561727925.56854,26.54031465884087,159.80768175379188
Oceania,2017,4538702531.7465,1.3013866101580764,112.49169781511637
South America,2017,15888965222.91574,4.555858518097917,37.85574621159557
Africa,2018,4794567123.756279,1.2361604577644585,3.758566993397243
Asia,2018,143934814746.87347,37.110029308827784,31.544846896975315
Europe,2018,116666040228.67537,30.079450755850356,156.90979327966366
North America,2018,98853338835.43448,25.486886601479043,169.27521291043269
Oceania,2018,5260753215.29272,1.3563550024318458,128.22348677227063
South America,2018,18258711248.35648,4.707556755879667,43.13787907395025
Africa,2019,5204391578.57516,1.2245333754845906,3.979778053508204
Asia,2019,155637351927.47137,36.6196757161395,33.80863732135443
Europe,2019,131306591712.53307,30.894928167020325,176.4133746500568
North America,2019,105181103456.8326,24.747901788060876,178.71864165883517
Oceania,2019,5959360550.787859,1.402168876190487,142.91375214724235
South America,2019,21612428272.268276,5.0851553625610935,50.62110640075016
