region,year,population_MHd
Africa,1950,227.549
Africa,1951,232.48
Africa,1952,237.586
Africa,1953,242.84
Africa,1954,248.245
Africa,1955,253.848
Africa,1956,259.631
Africa,1957,265.515
Africa,1958,271.430
Africa,1959,277.65
Africa,1960,284.288
Africa,1961,291.178
Africa,1962,298.334
Africa,1963,305.755
Africa,1964,313.466
Africa,1965,321.447
Africa,1966,329.658
Africa,1967,338.16
Africa,1968,346.980
Africa,1969,356.070
Africa,1970,365.450
Africa,1971,375.086
Africa,1972,384.930
Africa,1973,395.212
Africa,1974,406.069
Africa,1975,417.557
Africa,1976,429.573
Africa,1977,441.701
Africa,1978,454.46
Africa,1979,467.976
Africa,1980,481.543
Africa,1981,495.655
Africa,1982,510.540
Africa,1983,525.335
Africa,1984,540.183
Africa,1985,555.65
Africa,1986,571.646
Africa,1987,588.080
Africa,1988,604.511
Africa,1989,621.168
Africa,1990,638.157
Africa,1991,655.040
Africa,1992,671.932
Africa,1993,689.140
Africa,1994,706.49
Africa,1995,724.332
Africa,1996,742.765
Africa,1997,761.224
Africa,1998,779.908
Africa,1999,799.099
Africa,2000,818.952
Africa,2001,839.464
Africa,2002,860.611
Africa,2003,882.349
Africa,2004,904.781
Africa,2005,927.898
Africa,2006,951.74
Africa,2007,976.461
Africa,2008,1001.981
Africa,2009,1028.200
Africa,2010,1055.233
Africa,2011,1082.676
Africa,2012,1110.797
Africa,2013,1140.181
Africa,2014,1170.299
Africa,2015,1201.108
Africa,2016,1232.112
Africa,2017,1263.334
Africa,2018,1295.265
Africa,2019,1327.701
Africa,2020,1360.677
Africa,2021,1393.676
Northern America,1950,162.089
Northern America,1951,164.750
Northern America,1952,167.494
Northern America,1953,170.421
Northern America,1954,173.598
Northern America,1955,176.941
Northern America,1956,180.302
Northern America,1957,183.672
Northern America,1958,187.336
Northern America,1959,190.927
Northern America,1960,194.177
Northern America,1961,197.442
Northern America,1962,200.624
Northern America,1963,203.707
Northern America,1964,206.692
Northern America,1965,209.483
Northern America,1966,211.980
Northern America,1967,214.286
Northern America,1968,216.574
Northern America,1969,218.994
Northern America,1970,221.866
Northern America,1971,224.901
Northern America,1972,227.566
Northern America,1973,229.92
Northern America,1974,232.198
Northern America,1975,234.519
Northern America,1976,236.821
Northern America,1977,239.262
Northern America,1978,241.953
Northern America,1979,244.792
Northern America,1980,247.761
Northern America,1981,250.581
Northern America,1982,253.2
Northern America,1983,255.864
Northern America,1984,258.48
Northern America,1985,261.105
Northern America,1986,263.745
Northern America,1987,266.407
Northern America,1988,269.221
Northern America,1989,272.317
Northern America,1990,275.860
Northern America,1991,279.696
Northern America,1992,283.643
Northern America,1993,287.569
Northern America,1994,291.376
Northern America,1995,295.072
Northern America,1996,298.700
Northern America,1997,302.401
Northern America,1998,306.103
Northern America,1999,309.705
Northern America,2000,313.206
Northern America,2001,316.598
Northern America,2002,319.798
Northern America,2003,322.855
Northern America,2004,325.985
Northern America,2005,329.185
Northern America,2006,332.411
Northern America,2007,335.732
Northern America,2008,339.039
Northern America,2009,342.232
Northern America,2010,345.272
Northern America,2011,348.326
Northern America,2012,351.469
Northern America,2013,354.564
Northern America,2014,357.564
Northern America,2015,360.465
Northern America,2016,363.449
Northern America,2017,366.471
Northern America,2018,369.301
Northern America,2019,371.968
Northern America,2020,373.957
Northern America,2021,375.279
Central America,1950,37.649
Central America,1951,38.652
Central America,1952,39.671
Central America,1953,40.727
Central America,1954,41.828
Central America,1955,42.981
Central America,1956,44.185
Central America,1957,45.441
Central America,1958,46.736
Central America,1959,48.103
Central America,1960,49.579
Central America,1961,51.154
Central America,1962,52.811
Central America,1963,54.531
Central America,1964,56.317
Central America,1965,58.17
Central America,1966,60.067
Central America,1967,62.009
Central America,1968,63.996
Central America,1969,66.02
Central America,1970,68.082
Central America,1971,70.185
Central America,1972,72.3
Central America,1973,74.523
Central America,1974,76.761
Central America,1975,79.037
Central America,1976,81.324
Central America,1977,83.671
Central America,1978,86.091
Central America,1979,88.501
Central America,1980,90.800
Central America,1981,92.875
Central America,1982,94.850
Central America,1983,96.882
Central America,1984,98.931
Central America,1985,100.964
Central America,1986,102.973
Central America,1987,104.970
Central America,1988,107.00
Central America,1989,109.043
Central America,1990,111.244
Central America,1991,113.594
Central America,1992,115.961
Central America,1993,118.34
Central America,1994,120.73
Central America,1995,123.108
Central America,1996,125.443
Central America,1997,127.756
Central America,1998,130.051
Central America,1999,132.327
Central America,2000,134.569
Central America,2001,136.785
Central America,2002,138.997
Central America,2003,141.186
Central America,2004,143.372
Central America,2005,145.534
Central America,2006,147.644
Central America,2007,149.744
Central America,2008,151.824
Central America,2009,153.885
Central America,2010,156.064
Central America,2011,158.384
Central America,2012,160.697
Central America,2013,162.937
Central America,2014,165.101
Central America,2015,167.187
Central America,2016,169.250
Central America,2017,171.257
Central America,2018,173.094
Central America,2019,174.801
Central America,2020,176.344
Central America,2021,177.662
Caribbean,1950,17.166
Caribbean,1951,17.520
Caribbean,1952,17.875
Caribbean,1953,18.234
Caribbean,1954,18.598
Caribbean,1955,18.969
Caribbean,1956,19.346
Caribbean,1957,19.730
Caribbean,1958,20.123
Caribbean,1959,20.527
Caribbean,1960,20.951
Caribbean,1961,21.396
Caribbean,1962,21.846
Caribbean,1963,22.300
Caribbean,1964,22.759
Caribbean,1965,23.219
Caribbean,1966,23.678
Caribbean,1967,24.135
Caribbean,1968,24.589
Caribbean,1969,25.039
Caribbean,1970,25.496
Caribbean,1971,25.963
Caribbean,1972,26.425
Caribbean,1973,26.874
Caribbean,1974,27.313
Caribbean,1975,27.744
Caribbean,1976,28.164
Caribbean,1977,28.573
Caribbean,1978,28.97
Caribbean,1979,29.362
Caribbean,1980,29.744
Caribbean,1981,30.133
Caribbean,1982,30.550
Caribbean,1983,30.989
Caribbean,1984,31.434
Caribbean,1985,31.880
Caribbean,1986,32.327
Caribbean,1987,32.776
Caribbean,1988,33.234
Caribbean,1989,33.701
Caribbean,1990,34.174
Caribbean,1991,34.644
Caribbean,1992,35.099
Caribbean,1993,35.539
Caribbean,1994,35.964
Caribbean,1995,36.377
Caribbean,1996,36.782
Caribbean,1997,37.178
Caribbean,1998,37.565
Caribbean,1999,37.945
Caribbean,2000,38.309
Caribbean,2001,38.653
Caribbean,2002,38.986
Caribbean,2003,39.311
Caribbean,2004,39.62
