region,category,year,population_MHd
Africa,rural,1950,196.011
Africa,urban,1950,32.659
Africa,rural,1951,199.067
Africa,urban,1951,34.210
Africa,rural,1952,202.256
Africa,urban,1952,35.857
Africa,rural,1953,205.574
Africa,urban,1953,37.604
Africa,rural,1954,209.014
Africa,urban,1954,39.457
Africa,rural,1955,212.576
Africa,urban,1955,41.419
Africa,rural,1956,216.256
Africa,urban,1956,43.494
Africa,rural,1957,220.06
Africa,urban,1957,45.681
Africa,rural,1958,223.979
Africa,urban,1958,47.986
Africa,rural,1959,228.000
Africa,urban,1959,50.431
Africa,rural,1960,232.134
Africa,urban,1960,53.008
Africa,rural,1961,236.70
Africa,urban,1961,55.401
Africa,rural,1962,241.403
Africa,urban,1962,57.906
Africa,rural,1963,246.212
Africa,urban,1963,60.560
Africa,rural,1964,251.13
Africa,urban,1964,63.366
Africa,rural,1965,256.122
Africa,urban,1965,66.349
Africa,rural,1966,261.308
Africa,urban,1966,69.412
Africa,rural,1967,266.744
Africa,urban,1967,72.504
Africa,rural,1968,272.305
Africa,urban,1968,75.745
Africa,rural,1969,277.980
Africa,urban,1969,79.140
Africa,rural,1970,283.822
Africa,urban,1970,82.64
Africa,rural,1971,289.696
Africa,urban,1971,86.371
Africa,rural,1972,295.65
Africa,urban,1972,90.316
Africa,rural,1973,301.765
Africa,urban,1973,94.434
Africa,rural,1974,308.132
Africa,urban,1974,98.696
Africa,rural,1975,314.699
Africa,urban,1975,103.199
Africa,rural,1976,321.47
Africa,urban,1976,107.958
Africa,rural,1977,328.531
Africa,urban,1977,112.873
Africa,rural,1978,335.781
Africa,urban,1978,118.054
Africa,rural,1979,343.45
Africa,urban,1979,123.261
Africa,rural,1980,351.396
Africa,urban,1980,128.616
Africa,rural,1981,359.345
Africa,urban,1981,134.402
Africa,rural,1982,367.455
Africa,urban,1982,140.455
Africa,rural,1983,375.657
Africa,urban,1983,146.828
Africa,rural,1984,383.9
Africa,urban,1984,153.583
Africa,rural,1985,392.074
Africa,urban,1985,160.722
Africa,rural,1986,400.324
Africa,urban,1986,168.182
Africa,rural,1987,408.75
Africa,urban,1987,175.824
Africa,rural,1988,417.293
Africa,urban,1988,183.664
Africa,rural,1989,425.918
Africa,urban,1989,191.71
Africa,rural,1990,434.456
Africa,urban,1990,200.111
Africa,rural,1991,443.449
Africa,urban,1991,208.314
Africa,rural,1992,452.539
Africa,urban,1992,216.682
Africa,rural,1993,461.738
Africa,urban,1993,225.179
Africa,rural,1994,471.281
Africa,urban,1994,233.54
Africa,rural,1995,481.098
Africa,urban,1995,241.824
Africa,rural,1996,491.04
Africa,urban,1996,250.183
Africa,rural,1997,500.956
Africa,urban,1997,258.797
Africa,rural,1998,511.006
Africa,urban,1998,267.586
Africa,rural,1999,521.202
Africa,urban,1999,276.634
Africa,rural,2000,531.568
Africa,urban,2000,285.998
Africa,rural,2001,541.692
Africa,urban,2001,296.129
Africa,rural,2002,551.921
Africa,urban,2002,306.70
Africa,rural,2003,562.343
Africa,urban,2003,317.674
Africa,rural,2004,572.973
Africa,urban,2004,329.075
Africa,rural,2005,583.724
Africa,urban,2005,341.034
Africa,rural,2006,594.753
Africa,urban,2006,353.404
Africa,rural,2007,606.409
Africa,urban,2007,365.857
Africa,rural,2008,617.657
Africa,urban,2008,379.488
Africa,rural,2009,629.150
Africa,urban,2009,393.709
Africa,rural,2010,640.859
Africa,urban,2010,408.587
Africa,rural,2011,652.804
Africa,urban,2011,424.13
Africa,rural,2012,665.140
Africa,urban,2012,440.145
Africa,rural,2013,677.664
Africa,urban,2013,456.734
Africa,rural,2014,690.252
Africa,urban,2014,473.878
Africa,rural,2015,702.839
Africa,urban,2015,491.531
Africa,rural,2016,715.397
Africa,urban,2016,509.684
Africa,rural,2017,727.897
Africa,urban,2017,528.371
Africa,rural,2018,740.318
Africa,urban,2018,547.602
Africa,rural,2019,752.651
Africa,urban,2019,567.388
Africa,rural,2020,764.884
Africa,urban,2020,587.738
Africa,rural,2021,777.000
Africa,urban,2021,608.654
Northern America,rural,1950,62.302
Northern America,urban,1950,110.300
Northern America,rural,1951,62.109
Northern America,urban,1951,112.960
Northern America,rural,1952,61.967
Northern America,urban,1952,115.907
Northern America,rural,1953,61.891
Northern America,urban,1953,119.050
Northern America,rural,1954,61.849
Northern America,urban,1954,122.353
Northern America,rural,1955,61.818
Northern America,urban,1955,125.775
Northern America,rural,1956,61.784
Northern America,urban,1956,129.28
Northern America,rural,1957,61.782
Northern America,urban,1957,132.775
Northern America,rural,1958,61.744
Northern America,urban,1958,136.292
Northern America,rural,1959,61.662
Northern America,urban,1959,139.801
Northern America,rural,1960,61.608
Northern America,urban,1960,143.199
Northern America,rural,1961,61.746
Northern America,urban,1961,146.296
Northern America,rural,1962,61.785
Northern America,urban,1962,149.367
Northern America,rural,1963,61.764
Northern America,urban,1963,152.357
Northern America,rural,1964,61.682
Northern America,urban,1964,155.259
Northern America,rural,1965,61.546
Northern America,urban,1965,158.066
Northern America,rural,1966,61.354
Northern America,urban,1966,160.768
Northern America,rural,1967,61.154
Northern America,urban,1967,163.327
