Area,Element,Year,Unit,Value
Africa,rural,1950,1000 persons,196011057.000
Africa,urban,1950,1000 persons,32658962.000
Africa,rural,1951,1000 persons,199067336.000
Africa,urban,1951,1000 persons,34209713.000
Africa,rural,1952,1000 persons,202256422.000
Africa,urban,1952,1000 persons,35856699.000
Africa,rural,1953,1000 persons,205573743.000
Africa,urban,1953,1000 persons,37604048.000
Africa,rural,1954,1000 persons,209014346.000
Africa,urban,1954,1000 persons,39457151.000
Africa,rural,1955,1000 persons,212575808.000
Africa,urban,1955,1000 persons,41419217.000
Africa,rural,1956,1000 persons,216256247.000
Africa,urban,1956,1000 persons,43493948.000
Africa,rural,1957,1000 persons,220058430.00
Africa,urban,1957,1000 persons,45680851.000
Africa,rural,1958,1000 persons,223978778.000
Africa,urban,1958,1000 persons,47986483.000
Africa,rural,1959,1000 persons,228000498.000
Africa,urban,1959,1000 persons,50431047.000
Africa,rural,1960,1000 persons,232133581.000
Africa,urban,1960,1000 persons,53008425.000
Africa,rural,1961,1000 persons,236698670.00
Africa,urban,1961,1000 persons,55401409.000
Africa,rural,1962,1000 persons,241403047.000
Africa,urban,1962,1000 persons,57906184.000
Africa,rural,1963,1000 persons,246212023.000
Africa,urban,1963,1000 persons,60560089.000
Africa,rural,1964,1000 persons,251125180.00
Africa,urban,1964,1000 persons,63366211.000
Africa,rural,1965,1000 persons,256122057.000
Africa,urban,1965,1000 persons,66348577.000
Africa,rural,1966,1000 persons,261308402.000
Africa,urban,1966,1000 persons,69412005.000
Africa,rural,1967,1000 persons,266744159.000
Africa,urban,1967,1000 persons,72503719.000
Africa,rural,1968,1000 persons,272305004.000
Africa,urban,1968,1000 persons,75744877.000
Africa,rural,1969,1000 persons,277979972.000
Africa,urban,1969,1000 persons,79139822.000
Africa,rural,1970,1000 persons,283821559.000
Africa,urban,1970,1000 persons,82637370.00
Africa,rural,1971,1000 persons,289695853.000
Africa,urban,1971,1000 persons,86371404.000
Africa,rural,1972,1000 persons,295648760.00
Africa,urban,1972,1000 persons,90316401.000
Africa,rural,1973,1000 persons,301765084.000
Africa,urban,1973,1000 persons,94433791.000
Africa,rural,1974,1000 persons,308132005.000
Africa,urban,1974,1000 persons,98696201.000
Africa,rural,1975,1000 persons,314699085.000
Africa,urban,1975,1000 persons,103198989.000
Africa,rural,1976,1000 persons,321466490.00
Africa,urban,1976,1000 persons,107958271.000
Africa,rural,1977,1000 persons,328531101.000
Africa,urban,1977,1000 persons,112873078.000
Africa,rural,1978,1000 persons,335780696.000
Africa,urban,1978,1000 persons,118054096.000
Africa,rural,1979,1000 persons,343446120.00
Africa,urban,1979,1000 persons,123261211.000
Africa,rural,1980,1000 persons,351396255.000
Africa,urban,1980,1000 persons,128615954.000
Africa,rural,1981,1000 persons,359345496.000
Africa,urban,1981,1000 persons,134402203.000
Africa,rural,1982,1000 persons,367455147.000
Africa,urban,1982,1000 persons,140455318.000
Africa,rural,1983,1000 persons,375657465.000
Africa,urban,1983,1000 persons,146828085.000
Africa,rural,1984,1000 persons,383870500.0
Africa,urban,1984,1000 persons,153583203.000
Africa,rural,1985,1000 persons,392074281.000
Africa,urban,1985,1000 persons,160721947.000
Africa,rural,1986,1000 persons,400323945.000
Africa,urban,1986,1000 persons,168181666.000
Africa,rural,1987,1000 persons,408745260.00
Africa,urban,1987,1000 persons,175823926.000
Africa,rural,1988,1000 persons,417292645.000
Africa,urban,1988,1000 persons,183664056.000
Africa,rural,1989,1000 persons,425918352.000
Africa,urban,1989,1000 persons,191713660.00
Africa,rural,1990,1000 persons,434455748.000
Africa,urban,1990,1000 persons,200111296.000
Africa,rural,1991,1000 persons,443448765.000
Africa,urban,1991,1000 persons,208314341.000
Africa,rural,1992,1000 persons,452539494.000
Africa,urban,1992,1000 persons,216681848.000
Africa,rural,1993,1000 persons,461737856.000
Africa,urban,1993,1000 persons,225179006.000
Africa,rural,1994,1000 persons,471280709.000
Africa,urban,1994,1000 persons,233540090.00
Africa,rural,1995,1000 persons,481097777.000
Africa,urban,1995,1000 persons,241824184.000
Africa,rural,1996,1000 persons,491037150.00
Africa,urban,1996,1000 persons,250183369.000
Africa,rural,1997,1000 persons,500955548.000
Africa,urban,1997,1000 persons,258797241.000
