area,year,Unit,Value
Africa,1950,1000 persons,227549261.000
Africa,1951,1000 persons,232483990.00
Africa,1952,1000 persons,237586063.000
Africa,1953,1000 persons,242837450.00
Africa,1954,1000 persons,248244771.000
Africa,1955,1000 persons,253847728.000
Africa,1956,1000 persons,259631386.000
Africa,1957,1000 persons,265515234.000
Africa,1958,1000 persons,271429556.000
Africa,1959,1000 persons,277648190.00
Africa,1960,1000 persons,284287859.000
Africa,1961,1000 persons,291177556.000
Africa,1962,1000 persons,298334054.000
Africa,1963,1000 persons,305755228.000
Africa,1964,1000 persons,313465706.000
Africa,1965,1000 persons,321446988.000
Africa,1966,1000 persons,329658039.000
Africa,1967,1000 persons,338159590.00
Africa,1968,1000 persons,346980007.000
Africa,1969,1000 persons,356070247.000
Africa,1970,1000 persons,365450108.000
Africa,1971,1000 persons,375085857.000
Africa,1972,1000 persons,384930392.000
Africa,1973,1000 persons,395212024.000
Africa,1974,1000 persons,406068835.000
Africa,1975,1000 persons,417556631.000
Africa,1976,1000 persons,429572939.000
Africa,1977,1000 persons,441701411.000
Africa,1978,1000 persons,454462680.00
Africa,1979,1000 persons,467975883.000
Africa,1980,1000 persons,481542776.000
Africa,1981,1000 persons,495655338.000
Africa,1982,1000 persons,510540221.000
Africa,1983,1000 persons,525335031.000
Africa,1984,1000 persons,540182785.000
Africa,1985,1000 persons,555652630.00
Africa,1986,1000 persons,571646426.000
Africa,1987,1000 persons,588079702.000
Africa,1988,1000 persons,604511233.000
Africa,1989,1000 persons,621167638.000
Africa,1990,1000 persons,638157238.000
Africa,1991,1000 persons,655040491.000
Africa,1992,1000 persons,671931547.000
Africa,1993,1000 persons,689139957.000
Africa,1994,1000 persons,706488290.00
Africa,1995,1000 persons,724331672.000
Africa,1996,1000 persons,742764743.000
Africa,1997,1000 persons,761224445.000
Africa,1998,1000 persons,779908033.000
Africa,1999,1000 persons,799099336.000
Africa,2000,1000 persons,818952056.000
Africa,2001,1000 persons,839463866.000
