Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1961","kcal/capita/day","2196"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1962","kcal/capita/day","2243"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1963","kcal/capita/day","2254"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1964","kcal/capita/day","2287"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1965","kcal/capita/day","2310"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1966","kcal/capita/day","2327"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1967","kcal/capita/day","2330"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1968","kcal/capita/day","2334"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1969","kcal/capita/day","2343"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1970","kcal/capita/day","2389"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1971","kcal/capita/day","2365"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1972","kcal/capita/day","2352"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1973","kcal/capita/day","2389"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1974","kcal/capita/day","2381"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1975","kcal/capita/day","2396"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1976","kcal/capita/day","2389"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1977","kcal/capita/day","2418"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1978","kcal/capita/day","2477"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1979","kcal/capita/day","2476"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1980","kcal/capita/day","2490"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1981","kcal/capita/day","2501"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1982","kcal/capita/day","2531"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1983","kcal/capita/day","2575"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1984","kcal/capita/day","2584"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1985","kcal/capita/day","2587"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1986","kcal/capita/day","2589"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1987","kcal/capita/day","2607"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1988","kcal/capita/day","2624"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1989","kcal/capita/day","2635"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1990","kcal/capita/day","2621"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1991","kcal/capita/day","2601"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1992","kcal/capita/day","2610"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1993","kcal/capita/day","2616"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1994","kcal/capita/day","2639"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1995","kcal/capita/day","2663"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1996","kcal/capita/day","2673"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1997","kcal/capita/day","2687"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1998","kcal/capita/day","2701"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","1999","kcal/capita/day","2715"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2000","kcal/capita/day","2727"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2001","kcal/capita/day","2725"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2002","kcal/capita/day","2728"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2003","kcal/capita/day","2735"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2004","kcal/capita/day","2747"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2005","kcal/capita/day","2761"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2006","kcal/capita/day","2779"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2007","kcal/capita/day","2807"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2008","kcal/capita/day","2825"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2009","kcal/capita/day","2825"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2010","kcal/capita/day","2850"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2011","kcal/capita/day","2869"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2012","kcal/capita/day","2874"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Grand Total","2013","kcal/capita/day","2884"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1961","kcal/capita/day","338"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1962","kcal/capita/day","343"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1963","kcal/capita/day","351"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1964","kcal/capita/day","351"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1965","kcal/capita/day","355"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1966","kcal/capita/day","359"
