Year,Reported value,Temperature anomaly (K)
1880,global mean,0.04
1881,global mean,0.13
1882,global mean,0.1
1883,global mean,0.04
1884,global mean,-0.08
1885,global mean,-0.12
1886,global mean,-0.11
1887,global mean,-0.15
1888,global mean,0.03
1889,global mean,0.1
1890,global mean,-0.15
1891,global mean,-0.02
1892,global mean,-0.07
1893,global mean,-0.11
1894,global mean,-0.1
1895,global mean,-0.02
1896,global mean,0.09
1897,global mean,0.09
1898,global mean,-0.06
1899,global mean,0.03
1900,global mean,0.13
1901,global mean,0.05
1902,global mean,-0.07
1903,global mean,-0.16
1904,global mean,-0.26
1905,global mean,-0.06
1906,global mean,-0.02
1907,global mean,-0.18
1908,global mean,-0.22
1909,global mean,-0.28
1910,global mean,-0.23
1911,global mean,-0.23
1912,global mean,-0.15
1913,global mean,-0.14
1914,global mean,0.05
1915,global mean,0.07
1916,global mean,-0.15
1917,global mean,-0.25
1918,global mean,-0.09
1919,global mean,-0.07
1920,global mean,-0.07
1921,global mean,0.02
1922,global mean,-0.08
1923,global mean,-0.06
1924,global mean,-0.07
1925,global mean,-0.02
1926,global mean,0.1
1927,global mean,-0.01
1928,global mean,0.0
1929,global mean,-0.16
1930,global mean,0.04
1931,global mean,0.11
1932,global mean,0.04
1933,global mean,-0.09
1934,global mean,0.08
1935,global mean,0.0
1936,global mean,0.05
1937,global mean,0.17
1938,global mean,0.2
1939,global mean,0.18
1940,global mean,0.33
1941,global mean,0.38
1942,global mean,0.27
1943,global mean,0.29
1944,global mean,0.4
1945,global mean,0.29
1946,global mean,0.13
1947,global mean,0.17
1948,global mean,0.09
1949,global mean,0.09
1950,global mean,0.03
1951,global mean,0.13
1952,global mean,0.21
1953,global mean,0.28
1954,global mean,0.07
1955,global mean,0.06
1956,global mean,0.01
1957,global mean,0.25
1958,global mean,0.26
1959,global mean,0.23
1960,global mean,0.17
1961,global mean,0.26
1962,global mean,0.23
1963,global mean,0.25
1964,global mean,0.0
1965,global mean,0.09
1966,global mean,0.14
1967,global mean,0.18
1968,global mean,0.12
1969,global mean,0.25
1970,global mean,0.23
1971,global mean,0.12
1972,global mean,0.21
1973,global mean,0.36
1974,global mean,0.13
1975,global mean,0.19
1976,global mean,0.1
1977,global mean,0.38
1978,global mean,0.27
1979,global mean,0.36
1980,global mean,0.46
1981,global mean,0.52
1982,global mean,0.34
1983,global mean,0.51
1984,global mean,0.36
1985,global mean,0.32
1986,global mean,0.38
1987,global mean,0.52
1988,global mean,0.59
1989,global mean,0.47
1990,global mean,0.65
1991,global mean,0.61
1992,global mean,0.42
1993,global mean,0.43
1994,global mean,0.52
1995,global mean,0.65
1996,global mean,0.53
1997,global mean,0.66
1998,global mean,0.81
1999,global mean,0.58
2000,global mean,0.59
2001,global mean,0.74
2002,global mean,0.83
2003,global mean,0.82
2004,global mean,0.74
2005,global mean,0.88
2006,global mean,0.84
2007,global mean,0.87
2008,global mean,0.75
2009,global mean,0.86
2010,global mean,0.92
2011,global mean,0.81
2012,global mean,0.85
2013,global mean,0.88
2014,global mean,0.95
2015,global mean,1.1
2016,global mean,1.22
2017,global mean,1.13
2018,global mean,1.05
2019,global mean,1.19
2020,global mean,1.22
1880,"low. bound, 95% CI bias unc.",-0.098
1881,"low. bound, 95% CI bias unc.",-0.004
1882,"low. bound, 95% CI bias unc.",-0.037
1883,"low. bound, 95% CI bias unc.",-0.096
1884,"low. bound, 95% CI bias unc.",-0.211
1885,"low. bound, 95% CI bias unc.",-0.277
1886,"low. bound, 95% CI bias unc.",-0.26
1887,"low. bound, 95% CI bias unc.",-0.286
1888,"low. bound, 95% CI bias unc.",-0.095
1889,"low. bound, 95% CI bias unc.",-0.025
1890,"low. bound, 95% CI bias unc.",-0.273
1891,"low. bound, 95% CI bias unc.",-0.142
