Year,Reported value,Temperature anomaly (K)
1880,global mean,0.042
1881,global mean,0.132
1882,global mean,0.102
1883,global mean,0.042
1884,global mean,-0.068
1885,global mean,-0.128
1886,global mean,-0.108
1887,global mean,-0.148
1888,global mean,0.032
1889,global mean,0.102
1890,global mean,-0.148
1891,global mean,-0.018
1892,global mean,-0.068
1893,global mean,-0.108
1894,global mean,-0.098
1895,global mean,-0.028
1896,global mean,0.092
1897,global mean,0.092
1898,global mean,-0.068
1899,global mean,0.022
1900,global mean,0.122
1901,global mean,0.052
1902,global mean,-0.068
1903,global mean,-0.158
1904,global mean,-0.258
1905,global mean,-0.058
1906,global mean,-0.018
1907,global mean,-0.178
1908,global mean,-0.218
1909,global mean,-0.278
1910,global mean,-0.228
1911,global mean,-0.238
1912,global mean,-0.158
1913,global mean,-0.138
1914,global mean,0.052
1915,global mean,0.062
1916,global mean,-0.148
1917,global mean,-0.258
1918,global mean,-0.088
1919,global mean,-0.068
1920,global mean,-0.068
1921,global mean,0.012
1922,global mean,-0.078
1923,global mean,-0.058
1924,global mean,-0.068
1925,global mean,-0.018
1926,global mean,0.102
1927,global mean,-0.018
1928,global mean,0.002
1929,global mean,-0.158
1930,global mean,0.042
1931,global mean,0.102
1932,global mean,0.042
1933,global mean,-0.088
1934,global mean,0.072
1935,global mean,0.002
1936,global mean,0.052
1937,global mean,0.172
1938,global mean,0.202
1939,global mean,0.182
1940,global mean,0.332
1941,global mean,0.392
1942,global mean,0.272
1943,global mean,0.292
1944,global mean,0.402
1945,global mean,0.292
1946,global mean,0.132
1947,global mean,0.172
1948,global mean,0.092
1949,global mean,0.092
1950,global mean,0.032
1951,global mean,0.132
1952,global mean,0.212
1953,global mean,0.282
1954,global mean,0.072
1955,global mean,0.062
1956,global mean,0.012
1957,global mean,0.252
1958,global mean,0.262
1959,global mean,0.232
1960,global mean,0.182
1961,global mean,0.262
1962,global mean,0.232
1963,global mean,0.252
1964,global mean,0.002
1965,global mean,0.092
1966,global mean,0.142
1967,global mean,0.182
1968,global mean,0.122
1969,global mean,0.252
1970,global mean,0.232
1971,global mean,0.122
1972,global mean,0.212
1973,global mean,0.362
1974,global mean,0.132
1975,global mean,0.192
1976,global mean,0.102
1977,global mean,0.382
1978,global mean,0.272
1979,global mean,0.362
1980,global mean,0.462
1981,global mean,0.522
1982,global mean,0.342
1983,global mean,0.512
1984,global mean,0.362
1985,global mean,0.322
1986,global mean,0.382
1987,global mean,0.522
1988,global mean,0.592
1989,global mean,0.472
1990,global mean,0.652
1991,global mean,0.612
1992,global mean,0.422
1993,global mean,0.432
1994,global mean,0.522
