Year,°C,ci95,°C_lower,°C_upper
1880,-0.16,0.13879495,-0.29879495,-0.02120505
1881,-0.07,0.13432044,-0.20432044,0.06432044
1882,-0.1,0.13739599,-0.23739599,0.03739599
1883,-0.16,0.13624989,-0.29624989,-0.02375011
1884,-0.28,0.14124899,-0.41124899,-0.12875101
1885,-0.32,0.1470674,-0.4770674,-0.1829326
1886,-0.31,0.15095925,-0.46095925,-0.15904075
1887,-0.35,0.13604557,-0.48604557,-0.21395443
1888,-0.17,0.12532844,-0.29532844,-0.04467156
1889,-0.1,0.12589752,-0.22589752,0.02589752
1890,-0.35,0.12324412,-0.47324412,-0.22675588
1891,-0.22,0.12283178,-0.34283178,-0.09716822
1892,-0.27,0.12509884,-0.39509884,-0.14490116
1893,-0.31,0.12285569,-0.43285569,-0.18714431
1894,-0.3,0.12530265,-0.42530265,-0.17469735
1895,-0.22,0.12578155,-0.35578155,-0.10421845
1896,-0.11,0.12007053,-0.23007053,0.01007053
1897,-0.11,0.12214474,-0.23214474,0.01214474
1898,-0.26,0.12434061,-0.39434061,-0.14565939
1899,-0.17,0.1213646,-0.3013646,-0.0586354
1900,-0.07,0.11362714,-0.19362714,0.03362714
1901,-0.15,0.1100203,-0.2600203,-0.0399797
1902,-0.27,0.11217524,-0.38217524,-0.15782476
1903,-0.36,0.11763054,-0.47763054,-0.24236946
1904,-0.46,0.11473563,-0.57473563,-0.34526437
1905,-0.26,0.11525092,-0.37525092,-0.14474908
1906,-0.22,0.11313539,-0.33313539,-0.10686461
1907,-0.38,0.11591962,-0.49591962,-0.26408038
1908,-0.42,0.11368338,-0.53368338,-0.30631662
1909,-0.48,0.11878183,-0.59878183,-0.36121817
1910,-0.43,0.10614587,-0.53614587,-0.32385413
1911,-0.43,0.11262465,-0.55262465,-0.32737535
1912,-0.35,0.11022043,-0.47022043,-0.24977957
1913,-0.34,0.11426535,-0.45426535,-0.22573465
1914,-0.15,0.11352648,-0.26352648,-0.03647352
1915,-0.13,0.11895246,-0.25895246,-0.02104754
1916,-0.35,0.12377983,-0.47377983,-0.22622017
1917,-0.45,0.13349598,-0.59349598,-0.32650402
1918,-0.29,0.12190447,-0.41190447,-0.16809553
1919,-0.27,0.12179135,-0.39179135,-0.14820865
1920,-0.27,0.11242815,-0.38242815,-0.15757185
1921,-0.18,0.11304157,-0.30304157,-0.07695843
1922,-0.28,0.10994227,-0.38994227,-0.17005773
1923,-0.26,0.10560463,-0.36560463,-0.15439537
1924,-0.27,0.11087709,-0.38087709,-0.15912291
1925,-0.22,0.11221429,-0.33221429,-0.10778571
1926,-0.1,0.10933274,-0.20933274,0.00933274
1927,-0.21,0.11192694,-0.33192694,-0.10807306
1928,-0.2,0.11552058,-0.31552058,-0.08447942
1929,-0.36,0.12229191,-0.48229191,-0.23770809
1930,-0.16,0.11452796,-0.27452796,-0.04547204
1931,-0.09,0.10782236,-0.20782236,0.00782236
1932,-0.16,0.11426012,-0.27426012,-0.04573988
1933,-0.29,0.11008562,-0.40008562,-0.17991438
1934,-0.12,0.10965157,-0.23965157,-0.02034843
1935,-0.2,0.11027672,-0.31027672,-0.08972328
1936,-0.15,0.11255605,-0.26255605,-0.03744395
1937,-0.03,0.10728709,-0.13728709,0.07728709
1938,0,0.11421168,-0.11421168,0.11421168
1939,-0.02,0.10726645,-0.12726645,0.08726645
1940,0.13,0.10683768,0.02316232,0.23683768
