year,subcategory,volume_km3,category
1980,power,6.5,
1981,power,6.9,
1982,power,7.1,
1983,power,7.5,
1984,power,7.9,
1985,power,8.5,
1986,power,8.9,
1987,power,9.3,
1988,power,9.8,
1989,power,10.1,
1990,power,10.3,
1991,power,10.5,
1992,power,10.6,
1993,power,10.8,
1994,power,10.9,
1995,power,11.1,
1996,power,11.3,
1997,power,11.5,
1998,power,11.7,
1999,power,11.9,
2000,power,12.3,
2001,power,12.5,
2002,power,12.9,
2003,power,13.4,
2004,power,13.8,
2005,power,14.2,
2006,power,14.8,
2007,power,15.2,
2008,power,15.6,
2009,power,16.0,
2010,power,16.5,
2011,power,17.0,
2012,power,17.6,
2013,power,17.9,
2014,power,18.4,
2015,power,18.8,
2016,power,19.2,
1980,reservoir,321.0,fragmentation
1981,reservoir,322.0,fragmentation
1982,reservoir,317.0,fragmentation
1983,reservoir,327.0,fragmentation
1984,reservoir,326.0,fragmentation
1985,reservoir,320.0,fragmentation
1986,reservoir,335.0,fragmentation
1987,reservoir,337.0,fragmentation
1988,reservoir,347.0,fragmentation
1989,reservoir,340.0,fragmentation
1990,reservoir,346.0,fragmentation
1991,reservoir,346.0,fragmentation
1992,reservoir,340.0,fragmentation
1993,reservoir,342.0,fragmentation
1994,reservoir,352.0,fragmentation
1995,reservoir,352.0,fragmentation
1996,reservoir,344.0,fragmentation
1997,reservoir,345.0,fragmentation
1998,reservoir,357.0,fragmentation
1999,reservoir,359.0,fragmentation
2000,reservoir,358.0,fragmentation
2001,reservoir,360.0,fragmentation
2002,reservoir,364.0,fragmentation
2003,reservoir,362.0,fragmentation
2004,reservoir,355.0,fragmentation
2005,reservoir,365.0,fragmentation
2006,reservoir,365.0,fragmentation
2007,reservoir,373.0,fragmentation
2008,reservoir,361.0,fragmentation
2009,reservoir,355.0,fragmentation
2010,reservoir,358.0,fragmentation
2011,reservoir,356.0,fragmentation
2012,reservoir,358.0,fragmentation
2013,reservoir,346.0,fragmentation
2014,reservoir,347.0,fragmentation
2015,reservoir,355.0,fragmentation
2016,reservoir,356.0,fragmentation
1980,perennials,85.0,agriculture
1981,perennials,87.0,agriculture
1982,perennials,89.0,agriculture
1983,perennials,91.0,agriculture
1984,perennials,93.0,agriculture
1985,perennials,95.0,agriculture
1986,perennials,93.0,agriculture
1987,perennials,97.0,agriculture
1988,perennials,99.0,agriculture
1989,perennials,102.0,agriculture
1990,perennials,104.0,agriculture
1991,perennials,102.0,agriculture
1992,perennials,104.0,agriculture
1993,perennials,106.0,agriculture
1994,perennials,111.0,agriculture
1995,perennials,112.0,agriculture
1996,perennials,106.0,agriculture
1997,perennials,110.0,agriculture
1998,perennials,114.0,agriculture
1999,perennials,119.0,agriculture
2000,perennials,121.0,agriculture
2001,perennials,123.0,agriculture
2002,perennials,122.0,agriculture
2003,perennials,124.0,agriculture
2004,perennials,127.0,agriculture
2005,perennials,130.0,agriculture
2006,perennials,129.0,agriculture
2007,perennials,131.0,agriculture
2008,perennials,133.0,agriculture
2009,perennials,132.0,agriculture
2010,perennials,130.0,agriculture
2011,perennials,131.0,agriculture
2012,perennials,136.0,agriculture
2013,perennials,136.0,agriculture
2014,perennials,136.0,agriculture
2015,perennials,137.0,agriculture
2016,perennials,139.0,agriculture
1980,wheat,145.0,agriculture
1981,wheat,148.0,agriculture
1982,wheat,150.0,agriculture
1983,wheat,153.0,agriculture
1984,wheat,155.0,agriculture
1985,wheat,157.0,agriculture
1986,wheat,160.0,agriculture
1987,wheat,168.0,agriculture
1988,wheat,170.0,agriculture
1989,wheat,173.0,agriculture
1990,wheat,156.0,agriculture
1991,wheat,171.0,agriculture
