,year,subcategory,volume_km3,category
0,1980,power,6.5,
1,1981,power,6.9,
2,1982,power,7.1,
3,1983,power,7.5,
4,1984,power,7.9,
5,1985,power,8.5,
6,1986,power,8.9,
7,1987,power,9.3,
8,1988,power,9.8,
9,1989,power,10.1,
10,1990,power,10.3,
11,1991,power,10.5,
12,1992,power,10.6,
13,1993,power,10.8,
14,1994,power,10.9,
15,1995,power,11.1,
16,1996,power,11.3,
17,1997,power,11.5,
18,1998,power,11.7,
19,1999,power,11.9,
20,2000,power,12.3,
21,2001,power,12.5,
22,2002,power,12.9,
23,2003,power,13.4,
24,2004,power,13.8,
25,2005,power,14.2,
26,2006,power,14.8,
27,2007,power,15.2,
28,2008,power,15.6,
29,2009,power,16.0,
30,2010,power,16.5,
31,2011,power,17.0,
32,2012,power,17.6,
33,2013,power,17.9,
34,2014,power,18.4,
35,2015,power,18.8,
36,2016,power,19.2,
37,1980,reservoir,321.0,fragmentation
38,1981,reservoir,322.0,fragmentation
39,1982,reservoir,317.0,fragmentation
40,1983,reservoir,327.0,fragmentation
41,1984,reservoir,326.0,fragmentation
42,1985,reservoir,320.0,fragmentation
43,1986,reservoir,335.0,fragmentation
44,1987,reservoir,337.0,fragmentation
45,1988,reservoir,347.0,fragmentation
46,1989,reservoir,340.0,fragmentation
47,1990,reservoir,346.0,fragmentation
48,1991,reservoir,346.0,fragmentation
49,1992,reservoir,340.0,fragmentation
50,1993,reservoir,342.0,fragmentation
51,1994,reservoir,352.0,fragmentation
52,1995,reservoir,352.0,fragmentation
53,1996,reservoir,344.0,fragmentation
54,1997,reservoir,345.0,fragmentation
55,1998,reservoir,357.0,fragmentation
56,1999,reservoir,359.0,fragmentation
57,2000,reservoir,358.0,fragmentation
58,2001,reservoir,360.0,fragmentation
59,2002,reservoir,364.0,fragmentation
60,2003,reservoir,362.0,fragmentation
61,2004,reservoir,355.0,fragmentation
62,2005,reservoir,365.0,fragmentation
63,2006,reservoir,365.0,fragmentation
64,2007,reservoir,373.0,fragmentation
65,2008,reservoir,361.0,fragmentation
66,2009,reservoir,355.0,fragmentation
67,2010,reservoir,358.0,fragmentation
68,2011,reservoir,356.0,fragmentation
69,2012,reservoir,358.0,fragmentation
70,2013,reservoir,346.0,fragmentation
71,2014,reservoir,347.0,fragmentation
72,2015,reservoir,355.0,fragmentation
73,2016,reservoir,356.0,fragmentation
74,1980,perennials,85.0,agriculture
75,1981,perennials,87.0,agriculture
76,1982,perennials,89.0,agriculture
77,1983,perennials,91.0,agriculture
78,1984,perennials,93.0,agriculture
79,1985,perennials,95.0,agriculture
80,1986,perennials,93.0,agriculture
81,1987,perennials,97.0,agriculture
82,1988,perennials,99.0,agriculture
83,1989,perennials,102.0,agriculture
84,1990,perennials,104.0,agriculture
85,1991,perennials,102.0,agriculture
86,1992,perennials,104.0,agriculture
87,1993,perennials,106.0,agriculture
88,1994,perennials,111.0,agriculture
89,1995,perennials,112.0,agriculture
90,1996,perennials,106.0,agriculture
91,1997,perennials,110.0,agriculture
92,1998,perennials,114.0,agriculture
93,1999,perennials,119.0,agriculture
94,2000,perennials,121.0,agriculture
95,2001,perennials,123.0,agriculture
96,2002,perennials,122.0,agriculture
97,2003,perennials,124.0,agriculture
98,2004,perennials,127.0,agriculture
99,2005,perennials,130.0,agriculture
100,2006,perennials,129.0,agriculture
101,2007,perennials,131.0,agriculture
102,2008,perennials,133.0,agriculture
103,2009,perennials,132.0,agriculture
104,2010,perennials,130.0,agriculture
105,2011,perennials,131.0,agriculture
106,2012,perennials,136.0,agriculture
107,2013,perennials,136.0,agriculture
108,2014,perennials,136.0,agriculture
109,2015,perennials,137.0,agriculture
110,2016,perennials,139.0,agriculture
111,1980,wheat,145.0,agriculture
112,1981,wheat,148.0,agriculture
113,1982,wheat,150.0,agriculture
114,1983,wheat,153.0,agriculture
115,1984,wheat,155.0,agriculture
116,1985,wheat,157.0,agriculture
117,1986,wheat,160.0,agriculture
118,1987,wheat,168.0,agriculture
119,1988,wheat,170.0,agriculture
120,1989,wheat,173.0,agriculture
121,1990,wheat,156.0,agriculture
122,1991,wheat,171.0,agriculture
123,1992,wheat,174.0,agriculture
124,1993,wheat,177.0,agriculture
125,1994,wheat,185.0,agriculture
126,1995,wheat,183.0,agriculture
127,1996,wheat,185.0,agriculture
128,1997,wheat,182.0,agriculture
129,1998,wheat,187.0,agriculture
130,1999,wheat,212.0,agriculture
131,2000,wheat,216.0,agriculture
132,2001,wheat,215.0,agriculture
133,2002,wheat,226.0,agriculture
134,2003,wheat,195.0,agriculture
135,2004,wheat,220.0,agriculture
136,2005,wheat,211.0,agriculture
137,2006,wheat,229.0,agriculture
138,2007,wheat,215.0,agriculture
139,2008,wheat,224.0,agriculture
140,2009,wheat,238.0,agriculture
141,2010,wheat,227.0,agriculture
142,2011,wheat,228.0,agriculture
143,2012,wheat,224.0,agriculture
144,2013,wheat,224.0,agriculture
145,2014,wheat,227.0,agriculture
146,2015,wheat,220.0,agriculture
147,2016,wheat,236.0,agriculture
148,1980,maize,66.0,agriculture
149,1981,maize,67.0,agriculture
150,1982,maize,68.0,agriculture
151,1983,maize,68.0,agriculture
152,1984,maize,69.0,agriculture
153,1985,maize,69.0,agriculture
154,1986,maize,77.0,agriculture
155,1987,maize,74.0,agriculture
156,1988,maize,78.0,agriculture
157,1989,maize,73.0,agriculture
158,1990,maize,73.0,agriculture
159,1991,maize,80.0,agriculture
160,1992,maize,79.0,agriculture
161,1993,maize,70.0,agriculture
162,1994,maize,83.0,agriculture
163,1995,maize,78.0,agriculture
164,1996,maize,68.0,agriculture
165,1997,maize,87.0,agriculture
166,1998,maize,73.0,agriculture
167,1999,maize,87.0,agriculture
168,2000,maize,89.0,agriculture
