region,category,year,population_MHd
Africa,rural,1950,196.011
Africa,rural,1951,199.067
Africa,rural,1952,202.256
Africa,rural,1953,205.574
Africa,rural,1954,209.014
Africa,rural,1955,212.576
Africa,rural,1956,216.256
Africa,rural,1957,220.06
Africa,rural,1958,223.979
Africa,rural,1959,228.0
Africa,rural,1960,232.134
Africa,rural,1961,236.7
Africa,rural,1962,241.403
Africa,rural,1963,246.212
Africa,rural,1964,251.13
Africa,rural,1965,256.122
Africa,rural,1966,261.308
Africa,rural,1967,266.744
Africa,rural,1968,272.305
Africa,rural,1969,277.98
Africa,rural,1970,283.822
Africa,rural,1971,289.696
Africa,rural,1972,295.65
Africa,rural,1973,301.765
Africa,rural,1974,308.132
Africa,rural,1975,314.699
Africa,rural,1976,321.47
Africa,rural,1977,328.531
Africa,rural,1978,335.781
Africa,rural,1979,343.45
Africa,rural,1980,351.396
Africa,rural,1981,359.345
Africa,rural,1982,367.455
Africa,rural,1983,375.657
Africa,rural,1984,383.9
Africa,rural,1985,392.074
Africa,rural,1986,400.324
Africa,rural,1987,408.75
Africa,rural,1988,417.293
Africa,rural,1989,425.918
Africa,rural,1990,434.456
Africa,rural,1991,443.449
Africa,rural,1992,452.539
Africa,rural,1993,461.738
Africa,rural,1994,471.281
Africa,rural,1995,481.098
Africa,rural,1996,491.04
Africa,rural,1997,500.956
Africa,rural,1998,511.006
Africa,rural,1999,521.202
Africa,rural,2000,531.568
Africa,rural,2001,541.692
Africa,rural,2002,551.921
Africa,rural,2003,562.343
Africa,rural,2004,572.973
Africa,rural,2005,583.724
Africa,rural,2006,594.753
Africa,rural,2007,606.409
Africa,rural,2008,617.657
Africa,rural,2009,629.15
Africa,rural,2010,640.859
Africa,rural,2011,652.804
Africa,rural,2012,665.14
Africa,rural,2013,677.664
Africa,rural,2014,690.252
Africa,rural,2015,702.839
Africa,rural,2016,715.397
Africa,rural,2017,727.897
Africa,rural,2018,740.318
Africa,rural,2019,752.651
Africa,rural,2020,764.884
Africa,rural,2021,777.0
Africa,urban,1950,32.659
Africa,urban,1951,34.21
Africa,urban,1952,35.857
Africa,urban,1953,37.604
Africa,urban,1954,39.457
Africa,urban,1955,41.419
Africa,urban,1956,43.494
Africa,urban,1957,45.681
Africa,urban,1958,47.986
Africa,urban,1959,50.431
Africa,urban,1960,53.008
Africa,urban,1961,55.401
Africa,urban,1962,57.906
Africa,urban,1963,60.56
Africa,urban,1964,63.366
Africa,urban,1965,66.349
Africa,urban,1966,69.412
Africa,urban,1967,72.504
Africa,urban,1968,75.745
Africa,urban,1969,79.14
Africa,urban,1970,82.64
Africa,urban,1971,86.371
Africa,urban,1972,90.316
Africa,urban,1973,94.434
Africa,urban,1974,98.696
Africa,urban,1975,103.199
Africa,urban,1976,107.958
Africa,urban,1977,112.873
Africa,urban,1978,118.054
Africa,urban,1979,123.261
Africa,urban,1980,128.616
Africa,urban,1981,134.402
Africa,urban,1982,140.455
Africa,urban,1983,146.828
Africa,urban,1984,153.583
Africa,urban,1985,160.722
Africa,urban,1986,168.182
Africa,urban,1987,175.824
Africa,urban,1988,183.664
Africa,urban,1989,191.71
Africa,urban,1990,200.111
Africa,urban,1991,208.314
Africa,urban,1992,216.682
Africa,urban,1993,225.179
Africa,urban,1994,233.54
Africa,urban,1995,241.824
Africa,urban,1996,250.183
Africa,urban,1997,258.797
Africa,urban,1998,267.586
Africa,urban,1999,276.634
Africa,urban,2000,285.998
Africa,urban,2001,296.129
Africa,urban,2002,306.7
Africa,urban,2003,317.674
Africa,urban,2004,329.075
Africa,urban,2005,341.034
Africa,urban,2006,353.404
Africa,urban,2007,365.857
Africa,urban,2008,379.488
Africa,urban,2009,393.709
Africa,urban,2010,408.587
Africa,urban,2011,424.13
Africa,urban,2012,440.145
Africa,urban,2013,456.734
Africa,urban,2014,473.878
Africa,urban,2015,491.531
Africa,urban,2016,509.684
Africa,urban,2017,528.371
Africa,urban,2018,547.602
Africa,urban,2019,567.388
Africa,urban,2020,587.738
Africa,urban,2021,608.654
Asia,rural,1950,1141.497
Asia,rural,1951,1161.072
Asia,rural,1952,1179.404
Asia,rural,1953,1196.554
Asia,rural,1954,1213.158
Asia,rural,1955,1229.743
Asia,rural,1956,1246.684
Asia,rural,1957,1264.2
Asia,rural,1958,1282.307
Asia,rural,1959,1301.017
Asia,rural,1960,1320.348
Asia,rural,1961,1340.235
Asia,rural,1962,1360.589
Asia,rural,1963,1382.054
Asia,rural,1964,1405.036
Asia,rural,1965,1435.301
Asia,rural,1966,1467.45
Asia,rural,1967,1500.949
Asia,rural,1968,1535.578
Asia,rural,1969,1570.674
Asia,rural,1970,1605.645
Asia,rural,1971,1640.389
Asia,rural,1972,1674.198
Asia,rural,1973,1706.524
Asia,rural,1974,1737.115
Asia,rural,1975,1768.717
Asia,rural,1976,1798.444
Asia,rural,1977,1827.476
Asia,rural,1978,1852.898
Asia,rural,1979,1874.913
Asia,rural,1980,1896.65
Asia,rural,1981,1918.28
Asia,rural,1982,1940.92
Asia,rural,1983,1965.438
Asia,rural,1984,1990.506
Asia,rural,1985,2016.328
Asia,rural,1986,2042.94
Asia,rural,1987,2070.176
Asia,rural,1988,2097.312
Asia,rural,1989,2123.308
Asia,rural,1990,2147.226
Asia,rural,1991,2168.794
Asia,rural,1992,2223.998
Asia,rural,1993,2242.199
Asia,rural,1994,2258.712
Asia,rural,1995,2273.785
Asia,rural,1996,2287.548
Asia,rural,1997,2300.026
Asia,rural,1998,2311.25
Asia,rural,1999,2321.509
Asia,rural,2000,2330.65
Asia,rural,2001,2334.925
Asia,rural,2002,2335.683
Asia,rural,2003,2335.646
Asia,rural,2004,2334.694
Asia,rural,2005,2332.854
Asia,rural,2006,2330.903
Asia,rural,2007,2328.55
Asia,rural,2008,2325.437
Asia,rural,2009,2321.732
Asia,rural,2010,2317.41
Asia,rural,2011,2314.89
Asia,rural,2012,2312.473
Asia,rural,2013,2309.339
Asia,rural,2014,2305.288
Asia,rural,2015,2300.024
Asia,rural,2016,2293.797
Asia,rural,2017,2286.705
Asia,rural,2018,2279.003
Asia,rural,2019,2270.756
Asia,rural,2020,2261.99
Asia,rural,2021,2252.72
Asia,urban,1950,237.306
Asia,urban,1951,247.648
Asia,urban,1952,257.276
Asia,urban,1953,267.048
Asia,urban,1954,277.081
Asia,urban,1955,287.442
Asia,urban,1956,298.18
Asia,urban,1957,309.34
Asia,urban,1958,321.025
Asia,urban,1959,333.232
Asia,urban,1960,345.932
Asia,urban,1961,359.255
Asia,urban,1962,373.528
Asia,urban,1963,388.542
Asia,urban,1964,404.43
Asia,urban,1965,415.749
Asia,urban,1966,428.067
Asia,urban,1967,441.65
Asia,urban,1968,456.06
Asia,urban,1969,471.037
Asia,urban,1970,486.45
Asia,urban,1971,502.245
Asia,urban,1972,519.162
Asia,urban,1973,537.44
Asia,urban,1974,557.032
Asia,urban,1975,575.011
Asia,urban,1976,594.081
Asia,urban,1977,613.184
