year,population_MHd
1950,2499.322
1951,2543.127
1952,2590.266
1953,2640.283
1954,2691.979
1955,2746.0769999999998
1956,2801.001
1957,2857.87
1958,2916.106
1959,2970.294
1960,3019.2290000000003
1961,3068.371
1962,3126.6870000000004
1963,3195.779
1964,3267.2099999999996
1965,3337.114
1966,3406.418
1967,3475.447
1968,3546.811
1969,3620.655
1970,3695.3889999999997
1971,3770.164
1972,3844.7719999999995
1973,3920.247
1974,3995.517
1975,4069.438
1976,4142.503
1977,4215.773
1978,4289.655
1979,4365.585
1980,4444.008
1981,4524.6269999999995
1982,4607.969
1983,4691.884
1984,4775.834
1985,4861.729
1986,4950.063
1987,5040.987
1988,5132.295
1989,5223.704000000001
1990,5316.175
1991,5406.246
1992,5492.686
1993,5577.4310000000005
1994,5660.735
1995,5743.219
1996,5825.147
1997,5906.481
1998,5987.312
1999,6067.759
2000,6148.899
2001,6230.748
2002,6312.406999999999
2003,6393.902
2004,6475.747
2005,6558.179
2006,6641.42
2007,6725.952
2008,6811.596
2009,6898.304999999999
2010,6985.6
2011,7073.124999999999
2012,7161.693
2013,7250.591
2014,7339.006
2015,7426.594
2016,7513.476000000001
2017,7599.82
2018,7683.791
2019,7764.951
2020,7840.951999999999
2021,7909.286999999999
