region,year,population_MHd
Africa,1950,227.549
Africa,1951,232.48
Africa,1952,237.586
Africa,1953,242.84
Africa,1954,248.245
Africa,1955,253.848
Africa,1956,259.631
Africa,1957,265.515
Africa,1958,271.43
Africa,1959,277.65
Africa,1960,284.288
Africa,1961,291.178
Africa,1962,298.334
Africa,1963,305.755
Africa,1964,313.466
Africa,1965,321.447
Africa,1966,329.658
Africa,1967,338.16
Africa,1968,346.98
Africa,1969,356.07
Africa,1970,365.45
Africa,1971,375.086
Africa,1972,384.93
Africa,1973,395.212
Africa,1974,406.069
Africa,1975,417.557
Africa,1976,429.573
Africa,1977,441.701
Africa,1978,454.46
Africa,1979,467.976
Africa,1980,481.543
Africa,1981,495.655
Africa,1982,510.54
Africa,1983,525.335
Africa,1984,540.183
Africa,1985,555.65
Africa,1986,571.646
Africa,1987,588.08
Africa,1988,604.511
Africa,1989,621.168
Africa,1990,638.157
Africa,1991,655.04
Africa,1992,671.932
Africa,1993,689.14
Africa,1994,706.49
Africa,1995,724.332
Africa,1996,742.765
Africa,1997,761.224
Africa,1998,779.908
Africa,1999,799.099
Africa,2000,818.952
Africa,2001,839.464
Africa,2002,860.611
Africa,2003,882.349
Africa,2004,904.781
Africa,2005,927.898
Africa,2006,951.74
Africa,2007,976.461
Africa,2008,1001.981
Africa,2009,1028.2
Africa,2010,1055.233
Africa,2011,1082.676
Africa,2012,1110.797
Africa,2013,1140.181
Africa,2014,1170.299
Africa,2015,1201.108
Africa,2016,1232.112
Africa,2017,1263.334
Africa,2018,1295.265
Africa,2019,1327.701
Africa,2020,1360.677
Africa,2021,1393.676
Asia,1950,1353.592
Asia,1951,1379.533
Asia,1952,1408.214
Asia,1953,1438.892
Asia,1954,1470.508
Asia,1955,1503.896
Asia,1956,1537.64
Asia,1957,1572.904
Asia,1958,1608.799
Asia,1959,1640.084
Asia,1960,1665.796
Asia,1961,1691.044
Asia,1962,1725.211
Asia,1963,1770.124
Asia,1964,1817.1
Asia,1965,1862.643
Asia,1966,1907.919
Asia,1967,1952.947
Asia,1968,2000.327
Asia,1969,2050.105
Asia,1970,2100.299
Asia,1971,2149.857
Asia,1972,2199.064
Asia,1973,2249.111
Asia,1974,2298.47
Asia,1975,2345.88
Asia,1976,2392.154
Asia,1977,2438.288
Asia,1978,2484.125
Asia,1979,2531.22
Asia,1980,2580.63
Asia,1981,2632.066
Asia,1982,2685.805
Asia,1983,2739.977
Asia,1984,2794.109
Asia,1985,2849.608
Asia,1986,2906.775
Asia,1987,2965.751
Asia,1988,3024.984
Asia,1989,3084.208
Asia,1990,3143.998
Asia,1991,3201.473
Asia,1992,3325.188
Asia,1993,3379.061
Asia,1994,3432.02
Asia,1995,3484.179
Asia,1996,3535.424
Asia,1997,3586.096
Asia,1998,3636.357
Asia,1999,3686.164
Asia,2000,3736.038
Asia,2001,3786.18
Asia,2002,3835.669
Asia,2003,3884.311
Asia,2004,3932.421
Asia,2005,3980.37
Asia,2006,4028.347
Asia,2007,4076.072
Asia,2008,4123.883
Asia,2009,4172.45
Asia,2010,4221.171
Asia,2011,4269.624
Asia,2012,4318.322
Asia,2013,4366.45
Asia,2014,4413.67
Asia,2015,4459.437
Asia,2016,4504.153
Asia,2017,4548.3
Asia,2018,4590.021
Asia,2019,4628.967
Asia,2020,4664.324
Asia,2021,4694.576
Central America,1950,37.649
Central America,1951,38.652
Central America,1952,39.671
Central America,1953,40.727
Central America,1954,41.828
Central America,1955,42.981
Central America,1956,44.185
Central America,1957,45.441
Central America,1958,46.736
Central America,1959,48.103
Central America,1960,49.579
Central America,1961,51.154
Central America,1962,52.811
Central America,1963,54.531
Central America,1964,56.317
Central America,1965,58.17
Central America,1966,60.067
Central America,1967,62.009
Central America,1968,63.996
Central America,1969,66.02
Central America,1970,68.082
Central America,1971,70.185
Central America,1972,72.3
Central America,1973,74.523
Central America,1974,76.761
Central America,1975,79.037
Central America,1976,81.324
Central America,1977,83.671
Central America,1978,86.091
Central America,1979,88.501
Central America,1980,90.8
Central America,1981,92.875
Central America,1982,94.85
Central America,1983,96.882
Central America,1984,98.931
Central America,1985,100.964
Central America,1986,102.973
Central America,1987,104.97
Central America,1988,107.0
Central America,1989,109.043
Central America,1990,111.244
Central America,1991,113.594
Central America,1992,115.961
Central America,1993,118.34
Central America,1994,120.73
Central America,1995,123.108
Central America,1996,125.443
Central America,1997,127.756
Central America,1998,130.051
Central America,1999,132.327
Central America,2000,134.569
Central America,2001,136.785
Central America,2002,138.997
Central America,2003,141.186
Central America,2004,143.372
Central America,2005,145.534
Central America,2006,147.644
Central America,2007,149.744
Central America,2008,151.824
Central America,2009,153.885
Central America,2010,156.064
Central America,2011,158.384
Central America,2012,160.697
Central America,2013,162.937
Central America,2014,165.101
Central America,2015,167.187
Central America,2016,169.25
Central America,2017,171.257
Central America,2018,173.094
Central America,2019,174.801
Central America,2020,176.344
Central America,2021,177.662
Europe,1950,575.178
Europe,1951,580.67
Europe,1952,586.398
Europe,1953,592.551
Europe,1954,598.899
Europe,1955,605.312
Europe,1956,611.813
Europe,1957,618.44
Europe,1958,625.332
Europe,1959,632.348
Europe,1960,639.359
Europe,1961,646.566
Europe,1962,653.695
Europe,1963,660.544
Europe,1964,667.337
Europe,1965,673.836
Europe,1966,680.005
Europe,1967,686.021
Europe,1968,691.676
Europe,1969,696.938
Europe,1970,701.769
Europe,1971,706.687
Europe,1972,711.96
Europe,1973,717.042
Europe,1974,722.038
Europe,1975,726.912
Europe,1976,731.537
Europe,1977,736.09
Europe,1978,740.473
Europe,1979,744.657
Europe,1980,748.821
Europe,1981,752.843
Europe,1982,756.705
Europe,1983,760.626
Europe,1984,764.579
Europe,1985,768.496
Europe,1986,772.648
Europe,1987,777.094
Europe,1988,781.451
Europe,1989,785.38
Europe,1990,788.852
Europe,1991,791.983
Europe,1992,725.259
Europe,1993,726.442
Europe,1994,727.063
Europe,1995,727.3
Europe,1996,727.454
Europe,1997,727.566
Europe,1998,727.446
Europe,1999,727.1
Europe,2000,726.968
Europe,2001,726.878
Europe,2002,726.939
Europe,2003,727.425
Europe,2004,728.163
Europe,2005,728.95
Europe,2006,729.858
Europe,2007,731.393
Europe,2008,733.256
Europe,2009,734.903
Europe,2010,736.277
Europe,2011,737.59
Europe,2012,738.908
Europe,2013,740.014
Europe,2014,741.014
