year,month,date (decimal),Reported value,Concentration (ppb)
2001,1,2001.042,monthly mean,316.3
2001,2,2001.125,monthly mean,316.3
2001,3,2001.208,monthly mean,316.2
2001,4,2001.292,monthly mean,316.1
2001,5,2001.375,monthly mean,316.1
2001,6,2001.458,monthly mean,316.2
2001,7,2001.542,monthly mean,316.2
2001,8,2001.625,monthly mean,316.3
2001,9,2001.708,monthly mean,316.4
2001,10,2001.792,monthly mean,316.6
2001,11,2001.875,monthly mean,316.8
2001,12,2001.958,monthly mean,316.9
2002,1,2002.042,monthly mean,316.9
2002,2,2002.125,monthly mean,317.0
2002,3,2002.208,monthly mean,317.0
2002,4,2002.292,monthly mean,316.9
2002,5,2002.375,monthly mean,316.8
2002,6,2002.458,monthly mean,316.8
2002,7,2002.542,monthly mean,316.8
2002,8,2002.625,monthly mean,316.8
2002,9,2002.708,monthly mean,316.9
2002,10,2002.792,monthly mean,317.0
2002,11,2002.875,monthly mean,317.1
2002,12,2002.958,monthly mean,317.2
2003,1,2003.042,monthly mean,317.3
2003,2,2003.125,monthly mean,317.3
2003,3,2003.208,monthly mean,317.4
2003,4,2003.292,monthly mean,317.5
2003,5,2003.375,monthly mean,317.5
2003,6,2003.458,monthly mean,317.5
2003,7,2003.542,monthly mean,317.6
2003,8,2003.625,monthly mean,317.6
2003,9,2003.708,monthly mean,317.8
2003,10,2003.792,monthly mean,317.9
2003,11,2003.875,monthly mean,318.0
2003,12,2003.958,monthly mean,318.1
2004,1,2004.042,monthly mean,318.2
2004,2,2004.125,monthly mean,318.2
2004,3,2004.208,monthly mean,318.2
2004,4,2004.292,monthly mean,318.1
2004,5,2004.375,monthly mean,318.1
2004,6,2004.458,monthly mean,318.1
2004,7,2004.542,monthly mean,318.1
2004,8,2004.625,monthly mean,318.2
2004,9,2004.708,monthly mean,318.2
2004,10,2004.792,monthly mean,318.3
2004,11,2004.875,monthly mean,318.6
2004,12,2004.958,monthly mean,318.8
2005,1,2005.042,monthly mean,318.9
2005,2,2005.125,monthly mean,318.9
2005,3,2005.208,monthly mean,318.9
2005,4,2005.292,monthly mean,318.8
2005,5,2005.375,monthly mean,318.7
2005,6,2005.458,monthly mean,318.6
2005,7,2005.542,monthly mean,318.6
2005,8,2005.625,monthly mean,318.8
2005,9,2005.708,monthly mean,318.9
2005,10,2005.792,monthly mean,319.1
2005,11,2005.875,monthly mean,319.4
2005,12,2005.958,monthly mean,319.6
2006,1,2006.042,monthly mean,319.7
2006,2,2006.125,monthly mean,319.8
2006,3,2006.208,monthly mean,319.8
2006,4,2006.292,monthly mean,319.7
2006,5,2006.375,monthly mean,319.7
2006,6,2006.458,monthly mean,319.7
2006,7,2006.542,monthly mean,319.6
2006,8,2006.625,monthly mean,319.7
2006,9,2006.708,monthly mean,319.8
2006,10,2006.792,monthly mean,320.0
2006,11,2006.875,monthly mean,320.2
2006,12,2006.958,monthly mean,320.3
2007,1,2007.042,monthly mean,320.4
2007,2,2007.125,monthly mean,320.4
2007,3,2007.208,monthly mean,320.3
2007,4,2007.292,monthly mean,320.2
2007,5,2007.375,monthly mean,320.2
2007,6,2007.458,monthly mean,320.3
2007,7,2007.542,monthly mean,320.2
2007,8,2007.625,monthly mean,320.2
2007,9,2007.708,monthly mean,320.5
2007,10,2007.792,monthly mean,320.7
2007,11,2007.875,monthly mean,321.0
