,type,year,g_capita_day
0,Animal Products,1961,19.66
1007,Cephalopods,1961,0.08
954,Crustaceans,1961,0.11
53,Bovine Meat,1961,3.62
901,"Marine Fish, Other",1961,0.29
848,Pelagic Fish,1961,0.93
795,Demersal Fish,1961,0.74
689,Milk - Excluding Butter,1961,6.77
636,Eggs,1961,1.38
1060,"Molluscs, Other",1961,0.05
583,"Fish, Liver Oil",1961,0.0
530,"Fish, Body Oil",1961,0.0
477,"Fats, Animals, Raw",1961,0.02
424,Cream,1961,0.03
371,"Butter, Ghee",1961,0.04
318,"Offals, Edible",1961,0.75
265,"Meat, Other",1961,0.41
212,Poultry Meat,1961,1.05
159,Pigmeat,1961,2.18
106,Mutton & Goat Meat,1961,0.69
1113,"Meat, Aquatic Mammals",1961,0.0
742,Freshwater Fish,1961,0.48
1166,"Aquatic Animals, Others",1961,0.0
1219,Aquatic Plants,1961,0.01
372,"Butter, Ghee",1962,0.04
849,Pelagic Fish,1962,0.93
54,Bovine Meat,1962,3.75
425,Cream,1962,0.03
796,Demersal Fish,1962,0.75
478,"Fats, Animals, Raw",1962,0.02
955,Crustaceans,1962,0.12
743,Freshwater Fish,1962,0.5
266,"Meat, Other",1962,0.41
690,Milk - Excluding Butter,1962,6.74
319,"Offals, Edible",1962,0.78
1008,Cephalopods,1962,0.09
531,"Fish, Body Oil",1962,0.0
1167,"Aquatic Animals, Others",1962,0.0
637,Eggs,1962,1.39
107,Mutton & Goat Meat,1962,0.7
1114,"Meat, Aquatic Mammals",1962,0.0
584,"Fish, Liver Oil",1962,0.0
1,Animal Products,1962,20.01
160,Pigmeat,1962,2.26
1220,Aquatic Plants,1962,0.01
1061,"Molluscs, Other",1962,0.05
213,Poultry Meat,1962,1.08
902,"Marine Fish, Other",1962,0.36
479,"Fats, Animals, Raw",1963,0.02
585,"Fish, Liver Oil",1963,0.0
691,Milk - Excluding Butter,1963,6.83
744,Freshwater Fish,1963,0.49
532,"Fish, Body Oil",1963,0.0
426,Cream,1963,0.03
797,Demersal Fish,1963,0.78
373,"Butter, Ghee",1963,0.04
1221,Aquatic Plants,1963,0.01
850,Pelagic Fish,1963,0.96
320,"Offals, Edible",1963,0.81
108,Mutton & Goat Meat,1963,0.68
638,Eggs,1963,1.38
1062,"Molluscs, Other",1963,0.05
956,Crustaceans,1963,0.12
1115,"Meat, Aquatic Mammals",1963,0.0
161,Pigmeat,1963,2.4
2,Animal Products,1963,20.48
55,Bovine Meat,1963,3.86
1168,"Aquatic Animals, Others",1963,0.0
267,"Meat, Other",1963,0.4
903,"Marine Fish, Other",1963,0.4
1009,Cephalopods,1963,0.11
214,Poultry Meat,1963,1.11
3,Animal Products,1964,20.46
1010,Cephalopods,1964,0.07
321,"Offals, Edible",1964,0.8
215,Poultry Meat,1964,1.13
692,Milk - Excluding Butter,1964,6.78
109,Mutton & Goat Meat,1964,0.67
1063,"Molluscs, Other",1964,0.05
586,"Fish, Liver Oil",1964,0.0
1116,"Meat, Aquatic Mammals",1964,0.0
639,Eggs,1964,1.41
480,"Fats, Animals, Raw",1964,0.02
957,Crustaceans,1964,0.12
162,Pigmeat,1964,2.42
1222,Aquatic Plants,1964,0.01
851,Pelagic Fish,1964,0.94
56,Bovine Meat,1964,3.84
1169,"Aquatic Animals, Others",1964,0.0
374,"Butter, Ghee",1964,0.04
904,"Marine Fish, Other",1964,0.42
798,Demersal Fish,1964,0.79
427,Cream,1964,0.03
745,Freshwater Fish,1964,0.51
268,"Meat, Other",1964,0.4
533,"Fish, Body Oil",1964,0.0
269,"Meat, Other",1965,0.39
4,Animal Products,1965,20.71
110,Mutton & Goat Meat,1965,0.66
375,"Butter, Ghee",1965,0.04
1223,Aquatic Plants,1965,0.01
