country,sector,year,withdrawal_billion_m3,metadata_note
Algeria,agricultural,1980,2.22,
Algeria,agricultural,1990,2.7,
Algeria,agricultural,2001,3.502,[1]
Algeria,agricultural,2012,4.99,[2]
Algeria,agricultural,2017,6.671,
Angola,agricultural,1987,0.365,
Angola,agricultural,2000,0.21,
Angola,agricultural,2005,0.1467,[3]
Benin,agricultural,1985,0.064,
Benin,agricultural,1990,0.0823,
Benin,agricultural,1994,0.097,
Benin,agricultural,2001,0.059,
Botswana,agricultural,1992,0.054,
Botswana,agricultural,1995,0.0638,
Botswana,agricultural,2000,0.08,[4]
Botswana,agricultural,2012,0.0743,
Botswana,agricultural,2017,0.069,
Burkina Faso,agricultural,1985,0.23,
Burkina Faso,agricultural,1992,0.303,
Burkina Faso,agricultural,2001,0.4207,[5]
Burkina Faso,agricultural,2005,0.4207,
Burundi,agricultural,1987,0.064,
Burundi,agricultural,2000,0.222,
Cabo Verde,agricultural,1990,0.022,
Cabo Verde,agricultural,2000,0.02,
Cabo Verde,agricultural,2004,0.025,[6]
Cameroon,agricultural,1987,0.14,
Cameroon,agricultural,1992,0.14,
Cameroon,agricultural,2000,0.737,[7]
Central African Republic,agricultural,1987,4.00E-04,[8]
Central African Republic,agricultural,2000,4.00E-04,"[9,10]"
Central African Republic,agricultural,2005,4.00E-04,"[11,12]"
Chad,agricultural,1987,0.148,
Chad,agricultural,2002,0.6722,[13]
Chad,agricultural,2005,0.6722,"[14,15]"
Comoros,agricultural,1999,0.0047,
Congo,agricultural,1987,0.0044,
Congo,agricultural,2002,0.004,
Côte d'Ivoire,agricultural,1987,0.475,
Côte d'Ivoire,agricultural,1994,0.8,
Côte d'Ivoire,agricultural,2000,0.6,
Côte d'Ivoire,agricultural,2005,0.5953,"[16,17]"
Côte d'Ivoire,agricultural,2008,0.5953,[18]
Côte d'Ivoire,agricultural,2014,0.6,
Democratic Republic of the Congo,agricultural,1995,0.083,
Democratic Republic of the Congo,agricultural,2000,0.0719,[19]
Democratic Republic of the Congo,agricultural,2005,0.0719,"[20,21]"
Djibouti,agricultural,1985,0.007,
Djibouti,agricultural,2000,0.003,[22]
Egypt,agricultural,1995,50.71,
Egypt,agricultural,2000,59,
Egypt,agricultural,2012,61.5,
Egypt,agricultural,2017,61.35,
Equatorial Guinea,agricultural,1987,6.00E-04,
Equatorial Guinea,agricultural,2000,0.001,
Eritrea,agricultural,2000,0.29,
Eritrea,agricultural,2004,0.55,
Eswatini,agricultural,1980,0.63,
Eswatini,agricultural,2000,1.006,[23]
Ethiopia,agricultural,2002,5.204,
Ethiopia,agricultural,2005,7,
Ethiopia,agricultural,2016,9.687,[24]
Gabon,agricultural,1987,0.0036,
Gabon,agricultural,2000,0.0403,[25]
Gabon,agricultural,2005,0.0403,"[26,27]"
Gambia,agricultural,1982,0.0182,
Gambia,agricultural,1999,0.0392,[28]
Ghana,agricultural,1970,0.156,
Ghana,agricultural,2000,0.652,
Ghana,agricultural,2016,1.07,
Guinea,agricultural,1987,0.644,
Guinea,agricultural,2001,0.2929,[29]
Guinea-Bissau,agricultural,1991,0.006,
Guinea-Bissau,agricultural,1996,0.144,
Guinea-Bissau,agricultural,2000,0.144,
Kenya,agricultural,1990,1.566,
Kenya,agricultural,2000,1.01,
Kenya,agricultural,2003,1.75,[30]
Kenya,agricultural,2010,1.907,[31]
Kenya,agricultural,2016,3.234,
Lesotho,agricultural,1987,0.028,
Lesotho,agricultural,1999,0.0038,[32]
Liberia,agricultural,1987,0.078,
Liberia,agricultural,2000,0.0123,[33]
Libya,agricultural,1985,1.965,
Libya,agricultural,1990,4.28,
Libya,agricultural,1994,4,
Libya,agricultural,2000,3.584,
Libya,agricultural,2012,4.85,
Madagascar,agricultural,1984,16.14,
Madagascar,agricultural,2000,13,
Madagascar,agricultural,2005,13,
Malawi,agricultural,1994,0.809,
Malawi,agricultural,2002,1.166,[34]
Malawi,agricultural,2005,1.166,"[35,36]"
Mali,agricultural,1987,1.319,
Mali,agricultural,1996,3.725,
Mali,agricultural,2001,4.99,
Mali,agricultural,2006,5.075,
Mauritania,agricultural,1980,0.613,
Mauritania,agricultural,1985,1.5,
Mauritania,agricultural,2000,1.5,
Mauritania,agricultural,2004,1.223,[37]
Mauritius,agricultural,1974,0.2768,
Mauritius,agricultural,1995,0.46,
Mauritius,agricultural,2007,0.423,
Mauritius,agricultural,2012,0.365,
Mauritius,agricultural,2017,0.344,[38]
Morocco,agricultural,1992,10.18,
Morocco,agricultural,1995,9.884,
Morocco,agricultural,2002,11.05,
Morocco,agricultural,2010,9.156,
Mozambique,agricultural,1990,0.54,
Mozambique,agricultural,2001,0.69,[39]
Mozambique,agricultural,2015,1.076,
Namibia,agricultural,1985,0.115,
Namibia,agricultural,1991,0.17,
Namibia,agricultural,1995,0.1915,
Namibia,agricultural,2002,0.201,
Niger,agricultural,1988,0.41,
Niger,agricultural,2005,0.6565,[40]
Niger,agricultural,2016,1.536,
Nigeria,agricultural,1987,3.92,
Nigeria,agricultural,2000,5.51,
Nigeria,agricultural,2004,5.51,
Nigeria,agricultural,2010,5.51,
Rwanda,agricultural,2000,0.102,
Sao Tome and Principe,agricultural,2016,0.0256,
Senegal,agricultural,1987,1.251,
Senegal,agricultural,2002,2.065,
Seychelles,agricultural,1989,9.00E-04,
Seychelles,agricultural,2003,9.00E-04,
Sierra Leone,agricultural,1987,0.329,
Sierra Leone,agricultural,1992,0.0457,[41]
Sierra Leone,agricultural,2000,0.0457,"[42,43]"
Sierra Leone,agricultural,2005,0.0457,"[44,45]"
Somalia,agricultural,1987,0.786,
Somalia,agricultural,2000,3.28,
Somalia,agricultural,2003,3.281,
South Africa,agricultural,1990,9.58,
South Africa,agricultural,1995,8.708,
South Africa,agricultural,2000,7.836,
South Africa,agricultural,2017,11.39,
South Sudan,agricultural,2011,0.24,
Sudan,agricultural,2011,25.91,
Togo,agricultural,1987,0.023,
Togo,agricultural,2002,0.076,
Tunisia,agricultural,1990,2.728,
Tunisia,agricultural,1995,2.446,
Tunisia,agricultural,2000,2.165,
Tunisia,agricultural,2011,2.644,[46]
Tunisia,agricultural,2017,3.773,
