,sector,country,region,water_withdrawal_10^9_m^3/year
2,Agricultural water withdrawal (10^9 m3/year),Costa Rica,Americas | Central America and Caribbean | Central America,2.302
7,Agricultural water withdrawal (10^9 m3/year),Panama,Americas | Central America and Caribbean | Central America,0.4461
8,Agricultural water withdrawal (10^9 m3/year),Cuba,Americas | Central America and Caribbean | Greater Antilles,4.519
9,Agricultural water withdrawal (10^9 m3/year),Dominican Republic,Americas | Central America and Caribbean | Greater Antilles,7.563
11,Agricultural water withdrawal (10^9 m3/year),Jamaica,Americas | Central America and Caribbean | Greater Antilles,0.114
16,Agricultural water withdrawal (10^9 m3/year),Grenada,Americas | Central America and Caribbean | Lesser Antilles and Bahamas,0.0021
19,Agricultural water withdrawal (10^9 m3/year),Saint Vincent and the Grenadines,Americas | Central America and Caribbean | Lesser Antilles and Bahamas,0.0
21,Agricultural water withdrawal (10^9 m3/year),Canada,Americas | Northern America | Northern America,2.639
22,Agricultural water withdrawal (10^9 m3/year),United States of America,Americas | Northern America | Northern America,176.2
23,Agricultural water withdrawal (10^9 m3/year),Mexico,Americas | Northern America | Mexico,66.8
29,Agricultural water withdrawal (10^9 m3/year),Peru,Americas | Southern America | Andean,13.1
31,Agricultural water withdrawal (10^9 m3/year),Brazil,Americas | Southern America | Brazil,39.43
36,Agricultural water withdrawal (10^9 m3/year),Algeria,World | Africa,6.671
39,Agricultural water withdrawal (10^9 m3/year),Botswana,World | Africa,0.069
48,Agricultural water withdrawal (10^9 m3/year),Côte d'Ivoire,World | Africa,0.6
51,Agricultural water withdrawal (10^9 m3/year),Egypt,World | Africa,61.35
55,Agricultural water withdrawal (10^9 m3/year),Ethiopia,World | Africa,9.687
58,Agricultural water withdrawal (10^9 m3/year),Ghana,World | Africa,1.07
61,Agricultural water withdrawal (10^9 m3/year),Kenya,World | Africa,3.234
69,Agricultural water withdrawal (10^9 m3/year),Mauritius,World | Africa,0.344
71,Agricultural water withdrawal (10^9 m3/year),Mozambique,World | Africa,1.076
73,Agricultural water withdrawal (10^9 m3/year),Niger,World | Africa,1.536
76,Agricultural water withdrawal (10^9 m3/year),Sao Tome and Principe,World | Africa,0.0256
81,Agricultural water withdrawal (10^9 m3/year),South Africa,World | Africa,11.39
85,Agricultural water withdrawal (10^9 m3/year),Tunisia,World | Africa,3.773
