,Unnamed: 0,region,water_withdrawal_10^9_m^3/year,year
0,79.0,Central America,0.24,
1,80.0,Central America,0.0062,
2,81.0,Northern America,0.74,
3,82.0,Northern America,0.6599,
4,83.0,Northern America,1.1,
5,84.0,Northern America,0.0,
6,85.0,Northern America,2e-06,
7,86.0,Northern America,28.07,
8,87.0,Northern America,209.7,
9,88.0,Central America,6.814,
10,89.0,South America,3.73,
11,90.0,South America,0.2066,
12,91.0,South America,9.511,
13,92.0,Africa,0.191,
14,93.0,Africa,0.0234,
15,94.0,Africa,0.242,
16,95.0,Africa,5.4,
17,96.0,Africa,0.303,
18,97.0,Africa,0.012,
19,98.0,Africa,0.025,
20,99.0,Africa,0.036000000000000004,
21,100.0,Africa,0.0006,
22,101.0,Africa,4.1,
23,102.0,Africa,0.965,
24,103.0,Africa,0.0814,
25,104.0,Asia,0.1224,
26,105.0,Asia,3.062,
27,106.0,Asia,0.0141,
28,107.0,Asia,133.5,
29,108.0,Asia,9.135,
30,109.0,Asia,2.05,
31,110.0,Asia,0.07200000000000001,
32,111.0,Asia,0.0325,
33,112.0,Asia,6.984,
34,113.0,Asia,0.9,
35,114.0,Asia,0.1662,
36,115.0,Asia,0.135,
37,116.0,Asia,0.032,
38,117.0,Asia,15.85,
39,118.0,Asia,0.1437,
40,119.0,Asia,1.0,
41,120.0,Asia,2.898,
42,121.0,Asia,2.13,
43,122.0,Europe,0.443,
44,123.0,Europe,3.21,
45,124.0,Europe,0.0718,
46,125.0,Europe,3.942,
47,126.0,Europe,0.184,
48,127.0,Europe,0.017,
49,128.0,Europe,0.9672,
50,129.0,Europe,0.0329,
51,130.0,Europe,1.721,
52,131.0,Europe,1.4169999999999998,
53,132.0,Europe,18.15,
54,133.0,Europe,19.75,
55,134.0,Europe,0.2083,
56,135.0,Europe,3.358,
57,136.0,Europe,0.198,
58,137.0,Europe,7.7,
59,138.0,Europe,0.0252,
60,139.0,Europe,0.0697,
61,140.0,Europe,0.0016,
62,141.0,Europe,0.001,
63,142.0,Europe,14.74,
64,143.0,Europe,0.107,
65,144.0,Europe,7.035,
66,145.0,Europe,0.65,
67,146.0,Europe,4.234,
68,147.0,Europe,28.04,
69,148.0,Europe,4.057,
70,149.0,Europe,0.2312,
71,150.0,Europe,0.758,
72,151.0,Europe,5.966,
73,152.0,Europe,1.345,
74,153.0,Europe,3.577,
75,154.0,Europe,1.01,
76,155.0,Oceania,2.662,
77,,world,586.263902,2013-2017
