year,Region,A/C units (million)
1990,United States,227.02
1991,United States,224.22
1992,United States,230.77
1993,United States,237.33
1994,United States,244.6
1995,United States,251.28
1996,United States,258.77
1997,United States,266.75
1998,United States,276.48
1999,United States,283.1
2000,United States,291.31
2001,United States,299.09
2002,United States,307.35
2003,United States,314.21
2004,United States,322.48
2005,United States,328.44
2006,United States,336.38
2007,United States,340.37
2008,United States,345.62
2009,United States,345.92
2010,United States,349.03
2011,United States,353.28
2012,United States,357.83
2013,United States,355.65
2014,United States,359.64
2015,United States,367.76
2016,United States,373.59
1990,China,78.55
1991,China,80.99
1992,China,86.98
1993,China,90.2
1994,China,97.76
1995,China,102.23
1996,China,111.16
1997,China,117.25
1998,China,124.17
1999,China,130.97
2000,China,138.14
2001,China,149.38
2002,China,159.64
2003,China,172.9
2004,China,183.38
2005,China,200.24
2006,China,223.32
2007,China,252.47
2008,China,274.79
2009,China,308.58
2010,China,342.92
2011,China,378.51
2012,China,419.33
2013,China,457.03
2014,China,492.13
2015,China,531.23
2016,China,569.38
1990,Japan and Korea,106.53
1991,Japan and Korea,114.06
1992,Japan and Korea,118.35
1993,Japan and Korea,122.8
1994,Japan and Korea,126.95
1995,Japan and Korea,131.95
1996,Japan and Korea,135.7
1997,Japan and Korea,140.08
1998,Japan and Korea,142.34
1999,Japan and Korea,146.22
2000,Japan and Korea,150.02
2001,Japan and Korea,151.09
2002,Japan and Korea,155.75
2003,Japan and Korea,159.41
2004,Japan and Korea,164.15
2005,Japan and Korea,169.43
2006,Japan and Korea,174.55
2007,Japan and Korea,179.06
2008,Japan and Korea,182.63
2009,Japan and Korea,183.94
2010,Japan and Korea,189.87
2011,Japan and Korea,194.68
2012,Japan and Korea,198.26
2013,Japan and Korea,202.11
2014,Japan and Korea,203.19
2015,Japan and Korea,204.91
2016,Japan and Korea,206.96
1990,European Union,43.77
1991,European Union,44.33
1992,European Union,45.92
1993,European Union,46.84
1994,European Union,47.93
1995,European Union,49.28
1996,European Union,51.08
1997,European Union,53.57
1998,European Union,56.36
1999,European Union,59.15
2000,European Union,64.76
2001,European Union,68.3
2002,European Union,71.21
2003,European Union,74.2
2004,European Union,77.02
2005,European Union,79.21
2006,European Union,81.34
2007,European Union,83.43
2008,European Union,86.19
2009,European Union,88.11
2010,European Union,88.22
2011,European Union,88.46
2012,European Union,88.11
2013,European Union,88.88
2014,European Union,90.48
2015,European Union,93.3
2016,European Union,96.52
1990,India,2.47
1991,India,2.76
1992,India,3.14
1993,India,3.59
1994,India,4.09
1995,India,4.72
1996,India,5.41
1997,India,6.2
1998,India,7.07
1999,India,8.13
2000,India,8.48
2001,India,8.85
2002,India,9.26
2003,India,9.66
2004,India,10.14
2005,India,10.73
2006,India,11.39
2007,India,12.17
2008,India,13.08
2009,India,14.25
2010,India,15.48
2011,India,16.67
2012,India,18.05
2013,India,19.5
2014,India,21.52
2015,India,23.74
2016,India,26.56
1990,Indonesia,1.86
1991,Indonesia,1.97
1992,Indonesia,2.08
1993,Indonesia,2.27
1994,Indonesia,2.44
1995,Indonesia,2.68
1996,Indonesia,2.95
1997,Indonesia,3.13
1998,Indonesia,2.98
1999,Indonesia,3.05
2000,Indonesia,2.82
2001,Indonesia,2.93
2002,Indonesia,3.21
2003,Indonesia,3.6
2004,Indonesia,3.79
2005,Indonesia,4.03
2006,Indonesia,4.3
2007,Indonesia,4.82
2008,Indonesia,5.2
2009,Indonesia,5.6
2010,Indonesia,6.06
2011,Indonesia,6.67
2012,Indonesia,7.67
2013,Indonesia,8.74
2014,Indonesia,9.8
2015,Indonesia,10.91
