year,type,consumption_EJ_yr
1965,hydroelectric,9.83
1966,hydroelectric,10.47
1967,hydroelectric,10.71
1968,hydroelectric,11.28
1969,hydroelectric,11.94
1970,hydroelectric,12.50
1971,hydroelectric,13.06
1972,hydroelectric,13.68
1973,hydroelectric,13.87
1974,hydroelectric,15.24
1975,hydroelectric,15.42
1976,hydroelectric,15.36
1977,hydroelectric,15.88
1978,hydroelectric,17.19
1979,hydroelectric,18.05
1980,hydroelectric,18.43
1981,hydroelectric,18.83
1982,hydroelectric,19.17
1983,hydroelectric,19.99
1984,hydroelectric,20.67
1985,hydroelectric,21.08
1986,hydroelectric,21.36
1987,hydroelectric,21.65
1988,hydroelectric,22.34
1989,hydroelectric,22.22
1990,hydroelectric,22.98
1991,hydroelectric,23.52
1992,hydroelectric,23.51
1993,hydroelectric,24.93
1994,hydroelectric,25.08
1995,hydroelectric,26.44
1996,hydroelectric,26.79
1997,hydroelectric,27.26
1998,hydroelectric,27.48
1999,hydroelectric,27.68
2000,hydroelectric,28.17
2001,hydroelectric,27.27
2002,hydroelectric,27.60
2003,hydroelectric,27.38
2004,hydroelectric,29.22
2005,hydroelectric,30.01
2006,hydroelectric,30.96
2007,hydroelectric,31.28
2008,hydroelectric,32.89
2009,hydroelectric,32.64
2010,hydroelectric,34.26
2011,hydroelectric,34.69
2012,hydroelectric,35.95
2013,hydroelectric,37.17
2014,hydroelectric,37.93
2015,hydroelectric,37.60
2016,hydroelectric,38.67
2017,hydroelectric,38.99
2018,hydroelectric,39.84
2019,hydroelectric,40.15
2020,hydroelectric,41.09
2021,hydroelectric,40.26
