year,type,consumption_EJ_yr
1965,nuclear,0.26
1966,nuclear,0.35
1967,nuclear,0.42
1968,nuclear,0.53
1969,nuclear,0.63
1970,nuclear,0.81
1971,nuclear,1.12
1972,nuclear,1.55
1973,nuclear,2.08
1974,nuclear,2.72
1975,nuclear,3.78
1976,nuclear,4.42
1977,nuclear,5.50
1978,nuclear,6.39
1979,nuclear,6.65
1980,nuclear,7.27
1981,nuclear,8.59
1982,nuclear,9.32
1983,nuclear,10.56
1984,nuclear,12.82
1985,nuclear,15.21
1986,nuclear,16.29
1987,nuclear,17.72
1988,nuclear,19.32
1989,nuclear,19.87
1990,nuclear,20.43
1991,nuclear,21.41
1992,nuclear,21.58
1993,nuclear,22.32
1994,nuclear,22.74
1995,nuclear,23.72
1996,nuclear,24.59
1997,nuclear,24.42
1998,nuclear,24.84
1999,nuclear,25.78
2000,nuclear,26.36
2001,nuclear,26.93
2002,nuclear,27.19
2003,nuclear,26.46
2004,nuclear,27.49
2005,nuclear,27.39
2006,nuclear,27.56
2007,nuclear,26.83
2008,nuclear,26.58
2009,nuclear,26.04
2010,nuclear,26.55
2011,nuclear,25.28
2012,nuclear,23.40
2013,nuclear,23.45
2014,nuclear,23.78
2015,nuclear,23.96
2016,nuclear,24.17
2017,nuclear,24.25
2018,nuclear,24.68
2019,nuclear,25.46
2020,nuclear,24.44
2021,nuclear,25.31
