year,type,consumption_EJ_yr
1965,oil,64.76
1966,oil,69.63
1967,oil,74.64
1968,oil,80.96
1969,oil,87.67
1970,oil,95.42
1971,oil,100.78
1972,oil,108.40
1973,oil,117.13
1974,oil,115.48
1975,oil,114.18
1976,oil,121.51
1977,oil,125.74
1978,oil,131.44
1979,oil,133.43
1980,oil,127.85
1981,oil,123.31
1982,oil,119.47
1983,oil,118.58
1984,oil,121.25
1985,oil,121.18
1986,oil,124.92
1987,oil,127.42
1988,oil,131.59
1989,oil,133.76
1990,oil,135.39
1991,oil,135.40
1992,oil,137.35
1993,oil,136.66
1994,oil,139.66
1995,oil,141.99
1996,oil,145.13
1997,oil,149.09
1998,oil,149.92
1999,oil,152.53
2000,oil,154.37
2001,oil,155.72
2002,oil,156.99
2003,oil,160.49
2004,oil,166.57
2005,oil,168.02
2006,oil,169.82
2007,oil,171.93
2008,oil,170.42
2009,oil,166.94
2010,oil,172.42
2011,oil,173.91
2012,oil,176.44
2013,oil,178.27
2014,oil,179.40
2015,oil,182.87
2016,oil,186.34
2017,oil,189.06
2018,oil,191.70
2019,oil,192.13
2020,oil,174.17
2021,oil,184.21
