Substance category,Region,Year,Consumption (10^6 ODP kg)
A_I_CFC,AFR,1986,26.9612
A_I_CFC,AP,1986,190.33020000000002
A_I_CFC,EE,1986,152.82
A_I_CFC,LAC,1986,36.124199999999995
A_I_CFC,WEO,1986,678.4029
A_I_CFC,AFR,1989,21.4279
A_I_CFC,AP,1989,241.622
A_I_CFC,EE,1989,144.0121
A_I_CFC,LAC,1989,33.2505
A_I_CFC,WEO,1989,601.3607
A_I_CFC,AFR,1990,12.488700000000001
A_I_CFC,AP,1990,162.2719
A_I_CFC,EE,1990,122.2981
A_I_CFC,LAC,1990,32.6469
A_I_CFC,WEO,1990,402.74359999999996
A_I_CFC,AFR,1991,12.0775
A_I_CFC,AP,1991,163.4415
A_I_CFC,EE,1991,56.7783
A_I_CFC,LAC,1991,32.2192
A_I_CFC,WEO,1991,351.36220000000003
A_I_CFC,AFR,1992,10.3407
A_I_CFC,AP,1992,172.62079999999997
A_I_CFC,EE,1992,52.1337
A_I_CFC,LAC,1992,30.510900000000003
A_I_CFC,WEO,1992,301.3705
A_I_CFC,AFR,1993,14.049299999999999
A_I_CFC,AP,1993,164.3078
A_I_CFC,EE,1993,42.9437
A_I_CFC,LAC,1993,28.9482
A_I_CFC,WEO,1993,239.1333
A_I_CFC,AFR,1994,13.005700000000001
A_I_CFC,AP,1994,145.1609
A_I_CFC,EE,1994,34.142300000000006
A_I_CFC,LAC,1994,34.0959
A_I_CFC,WEO,1994,132.542
A_I_CFC,AFR,1995,14.030100000000001
A_I_CFC,AP,1995,159.639
A_I_CFC,EE,1995,30.4175
A_I_CFC,LAC,1995,32.8479
A_I_CFC,WEO,1995,48.655300000000004
A_I_CFC,AFR,1996,15.319700000000001
A_I_CFC,AP,1996,101.7351
A_I_CFC,EE,1996,18.2776
A_I_CFC,LAC,1996,30.9385
A_I_CFC,WEO,1996,11.501299999999999
A_I_CFC,AFR,1997,14.6083
A_I_CFC,AP,1997,105.57910000000001
A_I_CFC,EE,1997,16.2789
A_I_CFC,LAC,1997,28.154799999999998
A_I_CFC,WEO,1997,10.646799999999999
A_I_CFC,AFR,1998,14.238100000000001
A_I_CFC,AP,1998,97.3442
A_I_CFC,EE,1998,15.4557
