"",,,,"2013-2017",,
"Cultivated area (arable land + permanent crops) (1000 ha)","Algeria","World | Africa",2016,8417.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Angola","World | Africa",2016,5190.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Benin","World | Africa",2016,3200.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Botswana","World | Africa",2016,261.6,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Burkina Faso","World | Africa",2016,6100.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Burundi","World | Africa",2016,1550.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cabo Verde","World | Africa",2016,54.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cameroon","World | Africa",2016,7750.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Central African Republic","World | Africa",2016,1880.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Chad","World | Africa",2016,4935.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Comoros","World | Africa",2016,118.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Congo","World | Africa",2016,627.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Côte d'Ivoire","World | Africa",2016,7400.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Democratic Republic of the Congo","World | Africa",2016,8000.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Djibouti","World | Africa",2016,2.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Egypt","World | Africa",2016,3734.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Equatorial Guinea","World | Africa",2016,180.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Eritrea","World | Africa",2016,692.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Eswatini","World | Africa",2016,190.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Ethiopia","World | Africa",2016,16259.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Gabon","World | Africa",2016,495.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Gambia","World | Africa",2016,445.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Ghana","World | Africa",2016,7400.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Guinea","World | Africa",2016,3800.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Guinea-Bissau","World | Africa",2016,550.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Kenya","World | Africa",2016,6330.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Lesotho","World | Africa",2016,357.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Liberia","World | Africa",2016,700.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Libya","World | Africa",2016,2050.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Madagascar","World | Africa",2016,4120.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Malawi","World | Africa",2016,3940.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mali","World | Africa",2016,6561.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mauritania","World | Africa",2016,461.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mauritius","World | Africa",2016,79.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Morocco","World | Africa",2016,9592.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mozambique","World | Africa",2016,5950.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Namibia","World | Africa",2016,809.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Niger","World | Africa",2016,16900.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Nigeria","World | Africa",2016,40500.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Rwanda","World | Africa",2016,1402.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Sao Tome and Principe","World | Africa",2016,47.7,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Senegal","World | Africa",2016,3268.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Seychelles","World | Africa",2016,1.55,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Sierra Leone","World | Africa",2016,1749.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Somalia","World | Africa",2016,1125.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","South Africa","World | Africa",2016,12913.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","South Sudan","World | Africa",,,"",
"Cultivated area (arable land + permanent crops) (1000 ha)","Sudan","World | Africa",2016,19991.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Togo","World | Africa",2016,2820.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Tunisia","World | Africa",2016,5232.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Uganda","World | Africa",2016,9100.0,"E",
