Year,Reported value,Layer,Temperature anomaly (K)
1955,global mean,0-100 m,-0.079
1956,global mean,0-100 m,-0.069
1957,global mean,0-100 m,-0.036
1958,global mean,0-100 m,0.027
1959,global mean,0-100 m,-0.017
1960,global mean,0-100 m,0.007
1961,global mean,0-100 m,-0.001
1962,global mean,0-100 m,-0.016
1963,global mean,0-100 m,0.035
1964,global mean,0-100 m,-0.089
1965,global mean,0-100 m,-0.061
1966,global mean,0-100 m,-0.04
1967,global mean,0-100 m,-0.108
1968,global mean,0-100 m,-0.083
1969,global mean,0-100 m,-0.015
1970,global mean,0-100 m,-0.089
1971,global mean,0-100 m,-0.205
1972,global mean,0-100 m,-0.08
1973,global mean,0-100 m,-0.036
1974,global mean,0-100 m,-0.089
1975,global mean,0-100 m,-0.102
1976,global mean,0-100 m,-0.085
1977,global mean,0-100 m,0.081
1978,global mean,0-100 m,0.074
1979,global mean,0-100 m,0.086
1980,global mean,0-100 m,0.13
1981,global mean,0-100 m,0.081
1982,global mean,0-100 m,0.052
1983,global mean,0-100 m,0.118
1984,global mean,0-100 m,0.018
1985,global mean,0-100 m,0.012
1986,global mean,0-100 m,0.043
1987,global mean,0-100 m,0.186
1988,global mean,0-100 m,0.112
1989,global mean,0-100 m,0.096
1990,global mean,0-100 m,0.187
1991,global mean,0-100 m,0.194
1992,global mean,0-100 m,0.189
1993,global mean,0-100 m,0.182
1994,global mean,0-100 m,0.132
1995,global mean,0-100 m,0.169
1996,global mean,0-100 m,0.147
1997,global mean,0-100 m,0.192
1998,global mean,0-100 m,0.269
1999,global mean,0-100 m,0.097
2000,global mean,0-100 m,0.129
2001,global mean,0-100 m,0.194
2002,global mean,0-100 m,0.26
2003,global mean,0-100 m,0.281
2004,global mean,0-100 m,0.313
2005,global mean,0-100 m,0.301
2006,global mean,0-100 m,0.291
2007,global mean,0-100 m,0.244
2008,global mean,0-100 m,0.203
2009,global mean,0-100 m,0.309
2010,global mean,0-100 m,0.321
2011,global mean,0-100 m,0.251
2012,global mean,0-100 m,0.269
2013,global mean,0-100 m,0.315
2014,global mean,0-100 m,0.353
2015,global mean,0-100 m,0.49
2016,global mean,0-100 m,0.498
2017,global mean,0-100 m,0.459
2018,global mean,0-100 m,0.437
2019,global mean,0-100 m,0.51
1955,95% CI,0-100 m,0.08
1956,95% CI,0-100 m,0.028
1957,95% CI,0-100 m,0.038
1958,95% CI,0-100 m,0.042
1959,95% CI,0-100 m,0.042
1960,95% CI,0-100 m,0.026
1961,95% CI,0-100 m,0.024
1962,95% CI,0-100 m,0.038
1963,95% CI,0-100 m,0.018
1964,95% CI,0-100 m,0.07
1965,95% CI,0-100 m,0.046
1966,95% CI,0-100 m,0.016
1967,95% CI,0-100 m,0.03
1968,95% CI,0-100 m,0.066
1969,95% CI,0-100 m,0.02
1970,95% CI,0-100 m,0.034
1971,95% CI,0-100 m,0.018
1972,95% CI,0-100 m,0.042
1973,95% CI,0-100 m,0.028
1974,95% CI,0-100 m,0.038
1975,95% CI,0-100 m,0.028
1976,95% CI,0-100 m,0.066
1977,95% CI,0-100 m,0.014
1978,95% CI,0-100 m,0.024
1979,95% CI,0-100 m,0.024
1980,95% CI,0-100 m,0.044
1981,95% CI,0-100 m,0.024
1982,95% CI,0-100 m,0.042
1983,95% CI,0-100 m,0.06
1984,95% CI,0-100 m,0.044
1985,95% CI,0-100 m,0.044
1986,95% CI,0-100 m,0.028
1987,95% CI,0-100 m,0.032
1988,95% CI,0-100 m,0.044
1989,95% CI,0-100 m,0.022
1990,95% CI,0-100 m,0.024
