category,year,volume_km3
agriculture,1980,850.8
agriculture,1981,869.9
agriculture,1982,884.0
agriculture,1983,896.1
agriculture,1984,908.1
agriculture,1985,920.1
agriculture,1986,951.3
agriculture,1987,982.3
agriculture,1988,986.5
agriculture,1989,983.7
agriculture,1990,968.8
agriculture,1991,1024.9
agriculture,1992,1027.3
agriculture,1993,1004.2
agriculture,1994,1076.3
agriculture,1995,1064.4
agriculture,1996,1030.6
agriculture,1997,1089.1
agriculture,1998,1067.2
agriculture,1999,1151.3
agriculture,2000,1179.4
agriculture,2001,1204.4
agriculture,2002,1223.5
agriculture,2003,1170.6
agriculture,2004,1223.8
agriculture,2005,1201.0
agriculture,2006,1256.1
agriculture,2007,1227.2
agriculture,2008,1212.4
agriculture,2009,1295.5
agriculture,2010,1214.6
agriculture,2011,1271.6
agriculture,2012,1303.8
agriculture,2013,1267.8
agriculture,2014,1295.9
agriculture,2015,1279.0
agriculture,2016,1284.3
domestic_municipal,1980,32.6
domestic_municipal,1981,32.9
domestic_municipal,1982,33.4
domestic_municipal,1983,34.0
domestic_municipal,1984,34.7
domestic_municipal,1985,35.2
domestic_municipal,1986,35.8
domestic_municipal,1987,36.5
domestic_municipal,1988,37.2
domestic_municipal,1989,37.8
domestic_municipal,1990,38.7
domestic_municipal,1991,39.1
domestic_municipal,1992,39.8
domestic_municipal,1993,40.3
domestic_municipal,1994,40.9
domestic_municipal,1995,41.4
domestic_municipal,1996,42.1
domestic_municipal,1997,42.6
domestic_municipal,1998,43.1
domestic_municipal,1999,43.7
domestic_municipal,2000,44.7
domestic_municipal,2001,45.2
domestic_municipal,2002,45.7
domestic_municipal,2003,46.3
domestic_municipal,2004,47.0
domestic_municipal,2005,47.4
domestic_municipal,2006,48.0
domestic_municipal,2007,48.6
domestic_municipal,2008,49.3
domestic_municipal,2009,49.7
domestic_municipal,2010,50.3
domestic_municipal,2011,50.8
domestic_municipal,2012,51.5
domestic_municipal,2013,51.9
domestic_municipal,2014,52.4
domestic_municipal,2015,53.0
domestic_municipal,2016,53.7
reservoir,1980,321.0
reservoir,1981,322.0
reservoir,1982,317.0
reservoir,1983,327.0
reservoir,1984,326.0
reservoir,1985,320.0
reservoir,1986,335.0
reservoir,1987,337.0
reservoir,1988,347.0
reservoir,1989,340.0
reservoir,1990,346.0
reservoir,1991,346.0
reservoir,1992,340.0
reservoir,1993,342.0
reservoir,1994,352.0
reservoir,1995,352.0
reservoir,1996,344.0
reservoir,1997,345.0
reservoir,1998,357.0
reservoir,1999,359.0
reservoir,2000,358.0
reservoir,2001,360.0
reservoir,2002,364.0
reservoir,2003,362.0
reservoir,2004,355.0
reservoir,2005,365.0
reservoir,2006,365.0
reservoir,2007,373.0
reservoir,2008,361.0
reservoir,2009,355.0
reservoir,2010,358.0
reservoir,2011,356.0
reservoir,2012,358.0
reservoir,2013,346.0
reservoir,2014,347.0
reservoir,2015,355.0
reservoir,2016,356.0
thermal_power,1980,6.5
thermal_power,1981,6.9
thermal_power,1982,7.1
thermal_power,1983,7.5
thermal_power,1984,7.9
thermal_power,1985,8.5
thermal_power,1986,8.9
thermal_power,1987,9.3
thermal_power,1988,9.8
thermal_power,1989,10.1
thermal_power,1990,10.3
thermal_power,1991,10.5
thermal_power,1992,10.6
thermal_power,1993,10.8
thermal_power,1994,10.9
thermal_power,1995,11.1
thermal_power,1996,11.3
thermal_power,1997,11.5
thermal_power,1998,11.7
thermal_power,1999,11.9
thermal_power,2000,12.3
thermal_power,2001,12.5
thermal_power,2002,12.9
thermal_power,2003,13.4
thermal_power,2004,13.8
thermal_power,2005,14.2
thermal_power,2006,14.8
thermal_power,2007,15.2
thermal_power,2008,15.6
thermal_power,2009,16.0
thermal_power,2010,16.5
thermal_power,2011,17.0
thermal_power,2012,17.6
thermal_power,2013,17.9
thermal_power,2014,18.4
thermal_power,2015,18.8
thermal_power,2016,19.2
