Model Year,Regulatory Class,Vehicle Type,Production Share,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
"1975","All","All","1.000000","13.05970","12.01552","14.61167","680.59612","739.73800","608.31160","4060.399","137.3346","-"
"1976","All","All","1.000000","14.22136","13.18117","15.73946","625.02238","674.34147","564.74348","4079.198","135.0839","-"
"1977","All","All","1.000000","15.06743","14.00580","16.60587","589.99880","634.71366","535.34732","3981.818","135.9847","-"
"1978","All","All","1.000000","15.83777","14.68193","17.52390","561.62442","605.82637","507.59981","3715.238","129.0248","-"
"1979","All","All","1.000000","15.91271","14.87711","17.39245","559.69495","598.63764","512.09833","3655.465","123.5922","-"
"1980","All","All","1.000000","19.16493","17.61932","21.46650","465.93524","506.80269","415.98614","3227.876","103.8276","-"
"1981","All","All","1.000000","20.52057","18.83051","23.04893","436.03635","475.18566","388.18720","3201.759","102.1236","-"
"1982","All","All","1.000000","21.07205","19.20172","23.91969","424.63837","465.95156","374.14447","3201.843","102.9528","-"
"1983","All","All","1.000000","20.95239","19.04058","23.88334","425.53494","468.23629","373.34441","3257.340","106.9483","-"
"1984","All","All","1.000000","21.00023","19.05715","23.98980","424.02812","467.23590","371.21860","3261.576","108.5963","-"
"1985","All","All","1.000000","21.31942","19.31764","24.41114","417.30522","460.53346","364.47071","3271.127","114.1306","-"
"1986","All","All","1.000000","21.84433","19.75389","24.99472","407.03768","450.10437","355.74272","3237.974","114.3758","-"
"1987","All","All","1.000000","21.97197","19.75719","25.26006","404.60524","449.95539","351.94510","3220.507","117.6397","-"
"1988","All","All","1.000000","21.86353","19.57179","25.20576","406.51876","454.11969","352.61548","3283.465","123.4690","-"
"1989","All","All","1.000000","21.42049","19.07833","24.78156","414.92705","465.86478","358.65232","3351.457","128.7480","-"
"1990","All","All","1.000000","21.15752","18.72132","24.61039","420.08667","474.75185","361.14877","3426.038","135.3422","-"
"1991","All","All","1.000000","21.25642","18.75908","24.71816","418.15476","473.82065","359.59491","3409.555","137.9169","-"
"1992","All","All","1.000000","20.79365","18.19781","24.36403","427.42784","488.39741","364.79234","3512.305","145.2572","-"
"1993","All","All","1.000000","20.87940","18.22812","24.44455","425.63491","487.54351","363.55755","3518.930","146.8406","-"
"1994","All","All","1.000000","20.37752","17.77373","23.78827","436.12068","500.01065","373.58978","3603.432","152.2823","-"
"1995","All","All","1.000000","20.48563","17.72570","24.06812","433.83372","501.38187","369.25888","3612.509","158.1889","-"
"1996","All","All","1.000000","20.43168","17.60332","24.03690","435.00690","504.89874","369.76297","3658.786","163.9606","-"
"1997","All","All","1.000000","20.15038","17.35297","23.62041","441.06037","512.16145","376.26591","3727.285","169.2409","-"
"1998","All","All","1.000000","20.09648","17.22728","23.59384","442.26071","515.91793","376.70460","3744.005","171.4710","-"
"1999","All","All","1.000000","19.69506","16.87145","23.04703","451.26399","526.78681","385.63273","3835.375","178.9020","-"
"2000","All","All","1.000000","19.76896","16.93153","23.04602","449.58574","524.92714","385.65762","3821.286","180.9861","-"
"2001","All","All","1.000000","19.62363","16.80797","22.78645","452.92118","528.79289","390.05579","3879.288","186.9203","-"
"2002","All","All","1.000000","19.45354","16.63745","22.54129","456.90374","534.23893","394.31726","3950.932","195.4821","-"
"2003","All","All","1.000000","19.58451","16.67734","22.71480","453.84039","532.95120","391.29896","3998.835","198.5784","-"
"2004","All","All","1.000000","19.29860","16.34174","22.43337","460.55651","543.88909","396.19983","4111.072","210.5212","-"
"2005","All","All","1.000000","19.88375","16.78872","23.09573","447.07229","529.49006","384.89749","4059.441","209.0953","-"
"2006","All","All","1.000000","20.13330","16.98233","23.41006","441.57021","523.49373","379.76825","4066.533","213.1841","-"
"2007","All","All","1.000000","20.60390","17.38117","23.95452","431.37448","511.35658","371.03710","4093.315","216.9897","-"
"2008","All","All","1.000000","20.96833","17.67455","24.39839","423.90716","502.90278","364.31396","4085.003","218.5559","48.85985"
"2009","All","All","1.000000","22.40281","18.91546","26.03912","396.92541","470.10420","341.49614","3914.193","207.7209","47.93705"
"2010","All","All","1.000000","22.59206","19.11219","26.18930","393.65429","465.33221","339.58148","4001.323","213.6361","48.54913"
"2011","All","All","1.000000","22.28844","18.83713","25.86317","398.99558","472.11781","343.83319","4125.934","229.9718","49.54439"
"2012","All","All","1.000000","23.56593","19.94669","27.30319","377.31888","445.79746","325.65960","3978.812","221.7796","48.81134"
"2013","All","All","1.000000","24.17888","20.49116","27.97717","367.53789","433.74031","317.59572","4002.973","225.8506","49.08053"
"2014","All","All","1.000000","24.11047","20.44020","27.88816","368.65513","434.90361","318.67820","4059.639","230.2484","49.72043"
"2015","All","All","1.000000","24.64986","20.92874","28.46829","360.49589","424.68316","312.07392","4035.455","228.8536","49.41850"
"2016","All","All","1.000000","24.70826","21.02000","28.47909","359.34510","422.45529","311.72153","4035.013","229.9970","49.51239"
"2017","All","All","1.000000","24.86173","21.12898","28.68465","356.71805","419.80425","309.12665","4093.218","233.6287","49.82204"
"2018","All","All","1.000000","25.10285","21.46826","28.77839","352.77170","412.66011","307.59270","4136.722","240.6380","50.35439"
"2019","All","All","1.000000","24.90754","21.32073","28.52808","355.67906","415.69406","310.40458","4155.617","245.0527","50.76884"
"Prelim. 2020","All","All","1.000000","25.68668","22.30853","28.99946","343.58418","396.04948","304.00509","4177.324","246.8687","50.37178"
