# --------------------------------------------------------------------
# USE OF NOAA ESRL DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# GML should be informed at the outset of the nature of this work.  
# If the GML data are essential to the work, or if an important 
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:  Ed Dlugokencky (303 497 6228; ed.dlugokencky@noaa.gov)
# 
# File Creation: Fri Feb  5 04:07:01 2021
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, and additional information necessary for other
# scientists to repeat the work and to run modified versions.
# Model availability includes collaborative support for new
# users of the models.
# --------------------------------------------------------------------
# 
# 
# See www.esrl.noaa.gov/gmd/ccgg/trends_sf6/ for additional details.
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. Please see Dlugokencky
# et al., 1994, JGR, vol. 99, 17021-17043, for a complete discussion.
#
# SF6 expressed as a mole fraction in dry air, picomol/mol, abbreviated as ppt
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
# 
# year   month       decimal       average   average_unc         trend     trend_unc
  1997       7      1997.542          4.00         0.005          4.01         0.004
  1997       8      1997.625          4.00         0.005          4.03         0.004
  1997       9      1997.708          4.02         0.004          4.04         0.003
  1997      10      1997.792          4.05         0.004          4.06         0.003
  1997      11      1997.875          4.08         0.005          4.08         0.003
  1997      12      1997.958          4.10         0.005          4.09         0.003
  1998       1      1998.042          4.11         0.006          4.11         0.002
  1998       2      1998.125          4.13         0.006          4.13         0.002
  1998       3      1998.208          4.15         0.006          4.15         0.002
  1998       4      1998.292          4.18         0.005          4.17         0.002
  1998       5      1998.375          4.19         0.005          4.18         0.002
  1998       6      1998.458          4.20         0.004          4.20         0.003
  1998       7      1998.542          4.21         0.006          4.22         0.003
  1998       8      1998.625          4.22         0.005          4.24         0.003
  1998       9      1998.708          4.24         0.006          4.25         0.003
  1998      10      1998.792          4.27         0.007          4.27         0.003
  1998      11      1998.875          4.29         0.006          4.28         0.003
  1998      12      1998.958          4.31         0.005          4.30         0.003
  1999       1      1999.042          4.33         0.006          4.31         0.003
  1999       2      1999.125          4.35         0.006          4.33         0.003
  1999       3      1999.208          4.36         0.004          4.34         0.004
  1999       4      1999.292          4.36         0.004          4.35         0.004
  1999       5      1999.375          4.35         0.005          4.37         0.004
  1999       6      1999.458          4.36         0.006          4.38         0.004
  1999       7      1999.542          4.37         0.006          4.39         0.004
  1999       8      1999.625          4.38         0.005          4.41         0.004
  1999       9      1999.708          4.40         0.005          4.42         0.004
  1999      10      1999.792          4.43         0.006          4.44         0.004
  1999      11      1999.875          4.46         0.008          4.45         0.004
  1999      12      1999.958          4.48         0.009          4.47         0.004
  2000       1      2000.042          4.50         0.009          4.49         0.004
  2000       2      2000.125          4.51         0.007          4.51         0.004
  2000       3      2000.208          4.53         0.005          4.52         0.004
  2000       4      2000.292          4.55         0.006          4.54         0.004
  2000       5      2000.375          4.57         0.005          4.56         0.004
  2000       6      2000.458          4.57         0.006          4.57         0.004
  2000       7      2000.542          4.58         0.006          4.59         0.003
  2000       8      2000.625          4.59         0.006          4.61         0.003
  2000       9      2000.708          4.62         0.006          4.63         0.003
  2000      10      2000.792          4.65         0.005          4.64         0.003
  2000      11      2000.875          4.66         0.005          4.66         0.004
  2000      12      2000.958          4.68         0.006          4.68         0.004
  2001       1      2001.042          4.69         0.005          4.69         0.004
  2001       2      2001.125          4.71         0.006          4.71         0.004
  2001       3      2001.208          4.73         0.007          4.72         0.004
  2001       4      2001.292          4.75         0.006          4.74         0.004
  2001       5      2001.375          4.76         0.006          4.76         0.004
  2001       6      2001.458          4.76         0.006          4.77         0.004
  2001       7      2001.542          4.77         0.006          4.79         0.004
  2001       8      2001.625          4.79         0.006          4.80         0.004
  2001       9      2001.708          4.81         0.006          4.82         0.003
  2001      10      2001.792          4.83         0.004          4.84         0.003
  2001      11      2001.875          4.86         0.006          4.85         0.003
  2001      12      2001.958          4.88         0.008          4.87         0.003
  2002       1      2002.042          4.89         0.006          4.88         0.003
  2002       2      2002.125          4.91         0.005          4.90         0.003
  2002       3      2002.208          4.93         0.005          4.92         0.002
  2002       4      2002.292          4.95         0.004          4.93         0.002
  2002       5      2002.375          4.96         0.004          4.95         0.002
  2002       6      2002.458          4.96         0.004          4.97         0.002
  2002       7      2002.542          4.98         0.005          4.99         0.002
  2002       8      2002.625          4.99         0.004          5.01         0.002
  2002       9      2002.708          5.01         0.004          5.03         0.003
  2002      10      2002.792          5.03         0.006          5.05         0.003
  2002      11      2002.875          5.06         0.006          5.07         0.003
  2002      12      2002.958          5.09         0.005          5.09         0.003
  2003       1      2003.042          5.11         0.005          5.11         0.003
  2003       2      2003.125          5.12         0.005          5.13         0.003
  2003       3      2003.208          5.15         0.005          5.15         0.003
  2003       4      2003.292          5.19         0.004          5.17         0.002
  2003       5      2003.375          5.22         0.004          5.20         0.002
  2003       6      2003.458          5.23         0.005          5.22         0.002
  2003       7      2003.542          5.24         0.007          5.24         0.002
  2003       8      2003.625          5.25         0.006          5.26         0.002
  2003       9      2003.708          5.28         0.005          5.28         0.002
  2003      10      2003.792          5.30         0.005          5.30         0.003
  2003      11      2003.875          5.32         0.004          5.32         0.003
  2003      12      2003.958          5.34         0.005          5.34         0.003
  2004       1      2004.042          5.36         0.005          5.36         0.002
  2004       2      2004.125          5.38         0.005          5.38         0.002
  2004       3      2004.208          5.40         0.004          5.40         0.002
  2004       4      2004.292          5.42         0.004          5.41         0.002
  2004       5      2004.375          5.44         0.004          5.43         0.002
  2004       6      2004.458          5.44         0.005          5.45         0.002
  2004       7      2004.542          5.45         0.005          5.47         0.002
  2004       8      2004.625          5.47         0.004          5.48         0.002
  2004       9      2004.708          5.49         0.004          5.50         0.002
  2004      10      2004.792          5.51         0.004          5.52         0.002
  2004      11      2004.875          5.54         0.004          5.53         0.002
  2004      12      2004.958          5.56         0.005          5.55         0.002
  2005       1      2005.042          5.58         0.006          5.57         0.002
  2005       2      2005.125          5.60         0.004          5.59         0.002
  2005       3      2005.208          5.62         0.004          5.61         0.002
  2005       4      2005.292          5.64         0.004          5.62         0.002
  2005       5      2005.375          5.65         0.004          5.64         0.002
  2005       6      2005.458          5.65         0.004          5.66         0.002
  2005       7      2005.542          5.66         0.004          5.68         0.002
  2005       8      2005.625          5.68         0.004          5.70         0.002
  2005       9      2005.708          5.70         0.004          5.72         0.002
  2005      10      2005.792          5.73         0.004          5.74         0.002
  2005      11      2005.875          5.75         0.004          5.76         0.002
  2005      12      2005.958          5.78         0.005          5.78         0.002
  2006       1      2006.042          5.81         0.006          5.80         0.002
  2006       2      2006.125          5.83         0.004          5.82         0.002
  2006       3      2006.208          5.85         0.004          5.84         0.002
  2006       4      2006.292          5.87         0.004          5.86         0.002
  2006       5      2006.375          5.89         0.005          5.88         0.002
  2006       6      2006.458          5.90         0.006          5.90         0.002
  2006       7      2006.542          5.91         0.004          5.92         0.002
  2006       8      2006.625          5.93         0.004          5.94         0.002
  2006       9      2006.708          5.94         0.004          5.96         0.002
  2006      10      2006.792          5.97         0.005          5.99         0.002
  2006      11      2006.875          6.00         0.005          6.01         0.002
  2006      12      2006.958          6.03         0.004          6.03         0.002
  2007       1      2007.042          6.06         0.006          6.05         0.002
