,Unnamed: 0,year,Plastics_net_pg/yr,uncertainty_pg/yr
0,0,1901,0.0,0.0
1,1,1902,0.0,0.0
2,2,1903,0.0,0.0
3,3,1904,0.0,0.0
4,4,1905,0.0,0.0
5,5,1906,0.0,0.0
6,6,1907,0.0,0.0
7,7,1908,0.0,0.0
8,8,1909,0.0,0.0
9,9,1910,0.0,0.0
10,10,1911,0.0,0.0
11,11,1912,0.0,0.0
12,12,1913,0.0,0.0
13,13,1914,0.0,0.0
14,14,1915,0.0,0.0
15,15,1916,0.0,0.0
16,16,1917,0.0,0.0
17,17,1918,0.0,0.0
18,18,1919,0.0,0.0
19,19,1920,0.0,0.0
20,20,1921,0.0,0.0
21,21,1922,0.0,0.0
22,22,1923,0.0,0.0
23,23,1924,0.0,0.0
24,24,1925,0.0,0.0
25,25,1926,0.0,0.0
26,26,1927,0.0,0.0
27,27,1928,0.0,0.0
28,28,1929,0.0,0.0
29,29,1930,0.0,0.0
30,30,1931,0.0,0.0
31,31,1932,0.0,0.0
32,32,1933,0.0,0.0
33,33,1934,0.0,0.0
34,34,1935,0.0,0.0
35,35,1936,0.0,0.0
36,36,1937,0.0,0.0
37,37,1938,0.0,0.0
38,38,1939,0.0,0.0
39,39,1940,0.0,0.0
40,40,1941,0.0,0.0
41,41,1942,0.0,0.0
42,42,1943,0.0,0.0
43,43,1944,0.0,0.0
44,44,1945,0.0,0.0
45,45,1946,0.0,0.0
46,46,1947,0.0,0.0
47,47,1948,0.0,0.0
48,48,1949,0.0,0.0
49,49,1950,0.0013485172119140625,0.00020227758178710938
50,50,1951,0.001811557006835937,0.00027173355102539054
51,51,1952,0.0023680781250000004,0.00035521171875
52,52,1953,0.002499610351562499,0.0003749415527343748
53,53,1954,0.0028435390625000012,0.0004265308593750002
54,54,1955,0.003171481445312501,0.00047572221679687514
55,55,1956,0.002824802734374998,0.00042372041015624966
56,56,1957,0.002995781250000003,0.00044936718750000044
57,57,1958,0.003426029296874997,0.0005139043945312495
58,58,1959,0.004357728515625003,0.0006536592773437504
59,59,1960,0.004880654296875003,0.0007320981445312504
60,60,1961,0.0055201699218749975,0.0008280254882812496
61,61,1962,0.006514890624999999,0.0009772335937499998
62,62,1963,0.0072374648437499986,0.0010856197265624997
63,63,1964,0.008203730468750003,0.0012305595703125006
64,64,1965,0.009411082031249995,0.0014116623046874991
65,65,1966,0.011191851562499994,0.001678777734374999
66,66,1967,0.013598695312500006,0.002039804296875001
67,67,1968,0.015403507812499996,0.0023105261718749993
68,68,1969,0.019217343750000004,0.0028826015625000004
69,69,1970,0.019665546875,0.00294983203125
70,70,1971,0.021608109375000014,0.003241216406250002
71,71,1972,0.024062203124999987,0.003609330468749998
72,72,1973,0.02761565625000001,0.004142348437500001
73,73,1974,0.0261928125,0.003928921875
74,74,1975,0.01959981249999998,0.002939971874999997
75,75,1976,0.02362421875000004,0.0035436328125000058
76,76,1977,0.02578728124999996,0.003868092187499994
77,77,1978,0.026107968750000043,0.003916195312500007
78,78,1979,0.03107971874999998,0.004661957812499997
79,79,1980,0.03082643749999997,0.004623965624999995
80,80,1981,0.030555093750000036,0.004583264062500005
81,81,1982,0.029866218750000006,0.004479932812500001
82,82,1983,0.03161012499999999,0.004741518749999998
83,83,1984,0.034302093749999985,0.005145314062499997
84,84,1985,0.03621806250000004,0.005432709375000005
85,85,1986,0.03973987499999998,0.005960981249999997
86,86,1987,0.04468443749999995,0.006702665624999993
87,87,1988,0.04918687500000008,0.007378031250000012
88,88,1989,0.0493725625,0.0074058843749999995
89,89,1990,0.05241081250000002,0.007861621875000002
90,90,1991,0.05450474999999999,0.008175712499999998
91,91,1992,0.056103499999999966,0.008415524999999995
92,92,1993,0.05958799999999996,0.008938199999999993
93,93,1994,0.0651508125000001,0.009772621875000014
94,94,1995,0.07012049999999981,0.01051807499999997
95,95,1996,0.072438,0.0108657
96,96,1997,0.0787452500000001,0.011811787500000014
97,97,1998,0.08434049999999993,0.012651074999999989
98,98,1999,0.08888062500000005,0.013332093750000006
99,99,2000,0.09516437499999997,0.014274656249999995
100,100,2001,0.09667387500000002,0.014501081250000002
101,101,2002,0.10325687500000004,0.015488531250000005
102,102,2003,0.10569249999999997,0.015853874999999993
103,103,2004,0.10849937500000006,0.01627490625000001
104,104,2005,0.11282650000000015,0.01692397500000002
105,105,2006,0.113448875,0.01701733125
106,106,2007,0.12510624999999995,0.018765937499999993
107,107,2008,0.13025749999999992,0.019538624999999987
108,108,2009,0.11385524999999985,0.017078287499999976
109,109,2010,0.1185577499999999,0.017783662499999985
