,year,Solidwood_recycling_pg/yr
0,1900,0
1,1901,0
2,1902,0
3,1903,0
4,1904,0
5,1905,0
6,1906,0
7,1907,0
8,1908,0
9,1909,0
10,1910,0
11,1911,0
12,1912,0
13,1913,0
14,1914,0
15,1915,0
16,1916,0
17,1917,0
18,1918,0
19,1919,0
20,1920,0
21,1921,0
22,1922,0
23,1923,0
24,1924,0
25,1925,0
26,1926,0
27,1927,0
28,1928,0
29,1929,0
30,1930,0
31,1931,0
32,1932,0
33,1933,0
34,1934,0
35,1935,0
36,1936,0
37,1937,0
38,1938,0
39,1939,0
40,1940,0
41,1941,0
42,1942,0
43,1943,0
44,1944,0
45,1945,0
46,1946,0
47,1947,0
48,1948,0
49,1949,0
50,1950,0
51,1951,0
52,1952,0
53,1953,0
54,1954,0
55,1955,0
56,1956,0
57,1957,0
58,1958,0
59,1959,0
60,1960,0
61,1961,0
62,1962,0
63,1963,0
64,1964,0
65,1965,0
66,1966,0
67,1967,0
68,1968,0
69,1969,0
70,1970,0
71,1971,0
72,1972,0
73,1973,0
74,1974,0
75,1975,0
76,1976,0
77,1977,0
78,1978,0
79,1979,0
80,1980,0
81,1981,0
82,1982,0
83,1983,0
84,1984,0
85,1985,0
86,1986,0
87,1987,0
88,1988,0
89,1989,0
90,1990,0
91,1991,0
92,1992,0
93,1993,0
94,1994,0
95,1995,0
96,1996,0
97,1997,0
98,1998,0
99,1999,0
100,2000,0
101,2001,0
102,2002,0
103,2003,0
104,2004,0
105,2005,0
106,2006,0
107,2007,0
108,2008,0
109,2009,0
110,2010,0
