year.decimal,Greenland Mass Gt,Greenland Mass Gt (1-sigma uncertainty)
2002.29,0,134.28
2002.35,65.4,70.59
2002.62,-224.79,53.36
2002.71,-250.03,64.95
2002.79,-214.32,39.05
2002.87,-216.66,35.79
2002.96,-200.21,36.71
2003.04,-153.85,41.4
2003.12,-162.85,29.73
2003.2,-96.26,25.92
2003.29,-50.65,25.76
2003.36,-43.29,28.2
2003.54,-220.37,21.24
2003.62,-356.41,22
2003.71,-399.43,22.31
2003.79,-395.7,22.74
2003.87,-399.11,22.48
2003.96,-357.99,22.31
2004.02,-382.7,25.92
2004.13,-389.98,22.51
2004.21,-367.56,21.05
2004.29,-304.98,21.09
2004.37,-321.49,21.34
2004.46,-341.04,21.21
2004.54,-438.49,19.09
2004.62,-562.42,19.86
2004.71,-605.03,20.83
2004.79,-623.42,18.79
2004.87,-580.64,20.53
2004.96,-556.48,20.55
2005.04,-570.84,19.55
2005.12,-547.99,20.46
2005.2,-502.62,20.51
2005.29,-494.98,20.33
2005.37,-458.47,20.55
2005.46,-506.21,20.9
2005.54,-635.12,20.08
2005.62,-825.72,19.86
2005.71,-890.33,19.72
2005.79,-881.84,19.5
2005.87,-879.2,18.99
2005.96,-829.88,23.51
2006.04,-852.94,20.4
2006.12,-805.07,20.53
2006.2,-782.14,20.26
2006.29,-809.88,20.65
2006.37,-796.84,20.41
2006.45,-808.69,22.18
2006.54,-896.03,22.05
2006.62,-1023.02,20.53
2006.71,-1082.66,21.77
2006.79,-1071.45,21.4
2006.87,-1098.48,20.86
2006.96,-1107.23,21.41
2007.04,-1075.11,22.08
2007.12,-1031.91,21.49
2007.2,-1041.56,20.81
2007.29,-1027.78,21.33
2007.37,-1017.11,20.97
2007.45,-1035.42,21.23
2007.54,-1165.84,21.02
2007.62,-1363.13,22.52
2007.71,-1426.2,22.09
2007.79,-1453.61,22.8
2007.87,-1429.17,23.63
2007.96,-1369.55,22.4
2008.04,-1329.94,22.49
2008.12,-1348.8,24.1
2008.21,-1295.42,22.49
2008.29,-1313.42,24.36
2008.37,-1326.41,23.25
2008.46,-1329.84,22.23
2008.54,-1478.37,23.06
2008.62,-1638.25,22.5
2008.71,-1702.47,22.33
2008.79,-1692.23,22.18
2008.87,-1619.13,23.7
2008.96,-1545.66,23.08
2009.04,-1526.82,22.94
2009.12,-1572.66,23.44
2009.2,-1571.88,22.93
2009.29,-1551.29,20.98
2009.37,-1536.46,20.79
2009.46,-1542.47,20.45
2009.54,-1651.98,21.89
2009.62,-1860.92,20.85
2009.71,-1914.55,19.96
2009.79,-1888.14,20.57
2009.87,-1872.58,20.47
2009.96,-1848.55,20.22
2010.04,-1850.76,19.95
2010.12,-1831.12,19.78
2010.2,-1820.59,20.95
2010.29,-1843.32,19.08
2010.37,-1809.77,19.39
2010.45,-1916.44,23.42
2010.54,-2092.4,20.32
2010.62,-2286.36,19.47
2010.71,-2386.54,20.23
2010.79,-2349.25,21.78
2010.87,-2368.72,22.91
2010.95,-2349.34,23.48
2011.13,-2326.98,26.47
2011.2,-2311.46,24.5
2011.29,-2306.79,23.66
2011.37,-2326.73,22.91
2011.54,-2518.55,24.27
2011.62,-2710.84,22.74
2011.71,-2768.09,21.63
2011.79,-2794.16,20.78
2011.83,-2791.36,21.22
2012,-2730.65,20.43
2012.04,-2740.93,19.47
2012.12,-2723.08,20.9
2012.21,-2675.68,19.2
2012.26,-2664.21,23.08
2012.46,-2693.63,21.13
2012.54,-2926.71,20.1
2012.62,-3234.51,20.02
2012.7,-3336.98,22.37
2012.88,-3269.69,22.92
2012.96,-3256.64,20.87
2013.04,-3254.45,20.39
2013.12,-3244.63,22.08
2013.3,-3243.43,22.79
2013.37,-3206.67,20.22
2013.46,-3188.58,20.76
2013.54,-3300.12,20.22
2013.79,-3362.86,20.13
2013.87,-3363.96,19.5
2013.96,-3351.2,19.17
2014.02,-3337.19,22.93
2014.2,-3284.63,17.07
2014.29,-3271.86,17.46
2014.37,-3270.59,17.76
2014.45,-3311.43,19.27
2014.62,-3595.53,18.08
2014.71,-3634.07,17.47
2014.79,-3617.23,16.66
2014.88,-3610.68,16.71
2015.06,-3526.41,19.55
2015.12,-3530.84,33.53
2015.2,-3485.63,15.05
2015.29,-3477.37,15.84
2015.32,-3474.23,16.95
2015.53,-3660.8,18.02
2015.62,-3795.25,17.47
2015.7,-3832.33,19.26
2015.98,-3773.89,20.01
2016.04,-3721.23,18.43
2016.12,-3742.13,17.34
2016.21,-3741.63,17.48
2016.38,-3708.74,18.72
2016.46,-3705.9,17.74
2016.54,-3878.71,18.46
2016.64,-4126.34,21.23
2016.91,-4003.89,41.3
2016.98,-4072.24,41.14
2017.06,-4022.86,41.13
2017.25,-4011.01,40.96
2017.31,-3977.27,40.29
2017.36,-3967.4,39.48
2017.44,-3999.4,39.07
2018.45,-4049.41,19.95
2018.52,-4073.22,18.77
2018.83,-4212.94,18.44
2018.87,-4178.67,16.78
2018.96,-4189.94,16.18
2019.04,-4194.4,15.93
2019.12,-4219.96,16.17
2019.2,-4240.92,15.93
2019.29,-4225.21,15.82
2019.37,-4206.73,15.82
2019.45,-4262.56,16.68
2019.54,-4465.13,17.4
2019.62,-4694.48,18.4
2019.71,-4787.03,19.6
2019.79,-4771.82,20.07
2019.87,-4729.46,20.99
2019.96,-4734.27,22.07
2020.04,-4771.96,23.31
2020.12,-4726.21,29.76
2020.21,-4761.11,36
2020.29,-4752.09,42.75
2020.37,-4724.64,50.39
