year.decimal,Greenland Mass Gt,Greenland Mass Gt (1-sigma uncertainty)
2002.29,0,134.28
2002.35,66.92,70.59
2002.62,-217.69,53.36
2002.71,-243.87,64.95
2002.79,-207.28,39.05
2002.87,-208.72,35.79
2002.96,-193.36,36.71
2003.04,-146.13,41.4
2003.12,-156.22,29.73
2003.2,-91.15,25.92
2003.29,-45.21,25.76
2003.36,-37.99,28.2
2003.54,-214.03,21.24
2003.62,-350.13,22
2003.71,-392.54,22.31
2003.79,-389.55,22.74
2003.87,-392.6,22.48
2003.96,-352.42,22.31
2004.02,-376.3,25.92
2004.13,-383.5,22.51
2004.21,-361.59,21.05
2004.29,-299.08,21.09
2004.37,-316.51,21.34
2004.46,-336.13,21.21
2004.54,-432.87,19.09
2004.62,-557.36,19.86
2004.71,-598.78,20.83
2004.79,-617.26,18.79
2004.87,-575.31,20.53
2004.96,-550.36,20.55
2005.04,-564.75,19.55
2005.12,-543.38,20.46
2005.2,-497.03,20.51
2005.29,-489.52,20.33
2005.37,-452.68,20.55
2005.46,-499.91,20.9
2005.54,-629.29,20.08
2005.62,-819.46,19.86
2005.71,-884.68,19.72
2005.79,-875.7,19.5
2005.87,-873.35,18.99
2005.96,-824.55,23.51
2006.04,-847.29,20.4
2006.12,-798.58,20.53
2006.2,-777.2,20.26
2006.29,-803.86,20.65
2006.37,-791.15,20.41
2006.45,-803.13,22.18
2006.54,-889.41,22.05
2006.62,-1016.92,20.53
2006.71,-1077.46,21.77
2006.79,-1063.99,21.4
2006.87,-1091.74,20.86
2006.96,-1100.33,21.41
2007.04,-1067.81,22.08
2007.12,-1025.89,21.49
2007.2,-1036.36,20.81
2007.29,-1021.89,21.33
2007.37,-1009.71,20.97
2007.45,-1028.88,21.23
2007.54,-1159.03,21.02
2007.62,-1356.26,22.52
2007.71,-1420.29,22.09
2007.79,-1447.56,22.8
2007.87,-1422.5,23.63
2007.96,-1362.48,22.4
2008.04,-1323.37,22.49
2008.12,-1341.52,24.1
2008.21,-1285.98,22.49
2008.29,-1305.64,24.36
2008.37,-1319.48,23.25
2008.46,-1323.17,22.23
2008.54,-1471.6,23.06
2008.62,-1632.43,22.5
2008.71,-1696.49,22.33
2008.79,-1684.33,22.18
2008.87,-1611.06,23.7
2008.96,-1538.24,23.08
2009.04,-1518.99,22.94
2009.12,-1565.13,23.44
2009.2,-1565.55,22.93
2009.29,-1545.13,20.98
2009.37,-1527.92,20.79
2009.46,-1535.09,20.45
2009.54,-1645.34,21.89
2009.62,-1855.22,20.85
2009.71,-1908.35,19.96
2009.79,-1883.22,20.57
2009.87,-1865.82,20.47
2009.96,-1841.72,20.22
2010.04,-1843.86,19.95
2010.12,-1824.44,19.78
2010.2,-1813.51,20.95
2010.29,-1835.91,19.08
2010.37,-1803.32,19.39
2010.45,-1909.58,23.42
2010.54,-2086.15,20.32
2010.62,-2281.2,19.47
2010.71,-2378.34,20.23
2010.79,-2343.02,21.78
2010.87,-2359.5,22.91
2010.95,-2342.78,23.48
2011.13,-2320.99,26.47
2011.2,-2304.18,24.5
2011.29,-2301.78,23.66
2011.37,-2320.89,22.91
2011.54,-2511.19,24.27
2011.62,-2705.64,22.74
2011.71,-2762.4,21.63
2011.79,-2785.76,20.78
2011.83,-2785.05,21.22
2012,-2724.32,20.43
2012.04,-2734.31,19.47
2012.12,-2716.3,20.9
2012.21,-2669.98,19.2
2012.26,-2659.51,23.08
2012.46,-2687.63,21.13
2012.54,-2919.59,20.1
2012.62,-3229.67,20.02
2012.7,-3332.13,22.37
2012.88,-3264.91,22.92
2012.96,-3250.79,20.87
2013.04,-3247.77,20.39
2013.12,-3238.64,22.08
2013.3,-3237.59,22.79
2013.37,-3200.24,20.22
2013.46,-3182.65,20.76
2013.54,-3294.5,20.22
2013.79,-3357.52,20.13
2013.87,-3358.02,19.5
2013.96,-3346.67,19.17
2014.02,-3331.63,22.93
2014.2,-3278.35,17.07
2014.29,-3265.97,17.46
2014.37,-3266.9,17.76
2014.45,-3306.08,19.27
2014.62,-3589.02,18.08
2014.71,-3627.2,17.47
2014.79,-3611.58,16.66
2014.88,-3606.8,16.71
2015.06,-3520.47,19.55
2015.12,-3526.68,33.53
2015.2,-3480.56,15.05
2015.29,-3472.03,15.84
2015.32,-3468.75,16.95
2015.53,-3654.83,18.02
2015.62,-3789.43,17.47
2015.7,-3827.43,19.26
2015.98,-3769.1,20.01
2016.04,-3714.24,18.43
2016.12,-3736.56,17.34
2016.21,-3736.19,17.48
2016.38,-3704.09,18.72
2016.46,-3701.64,17.74
2016.54,-3874.21,18.46
2016.64,-4126.23,21.23
2016.91,-3998.08,41.3
2016.98,-4067.53,41.14
2017.06,-4013.69,41.13
2017.25,-4006.7,40.96
2017.31,-3971.5,40.29
2017.36,-3965.63,39.48
2017.44,-3994.86,39.07
2018.45,-4043.41,19.95
2018.52,-4068.06,18.77
2018.83,-4207.64,18.44
2018.87,-4173.44,16.78
2018.96,-4184.62,16.18
2019.04,-4189.23,15.93
2019.12,-4214.87,16.17
2019.2,-4235.76,15.93
2019.29,-4220.14,15.82
2019.37,-4201.77,15.82
2019.45,-4257.52,15.84
2019.54,-4459.91,15.73
2019.62,-4689.4,15.83
2019.71,-4781.99,16.03
2019.79,-4766.28,15.75
2019.87,-4723.85,16.57
2019.96,-4728.22,17.54
2020.04,-4765.93,18.62
2020.12,-4720.27,19.7
2020.21,-4755.26,20.32
2020.29,-4745.47,21
2020.37,-4718.06,21.86
2020.46,-4755.02,23.07
2020.54,-4908.77,28.87
2020.62,-4989.83,35.51
2020.71,-4994.06,43.23
2020.79,-4926,50.62
