year.decimal,Greenland Mass Gt,Greenland Mass Gt (1-sigma uncertainty)
2002.29,0,134.28
2002.35,68.1,70.59
2002.62,-218.04,53.36
2002.71,-241.47,64.95
2002.79,-207.25,39.05
2002.87,-208.52,35.79
2002.96,-193.12,36.71
2003.04,-146.12,41.4
2003.12,-156.14,29.73
2003.2,-91.09,25.92
2003.29,-46.01,25.76
2003.36,-38.84,28.2
2003.54,-214.66,21.24
2003.62,-350.24,22
2003.71,-392.31,22.31
2003.79,-389.94,22.74
2003.87,-392.7,22.48
2003.96,-352.37,22.31
2004.02,-376.06,25.92
2004.13,-383.1,22.51
2004.21,-362.22,21.05
2004.29,-299.04,21.09
2004.37,-316.66,21.34
2004.46,-335.98,21.21
2004.54,-432.74,19.09
2004.62,-556.17,19.86
2004.71,-597.62,20.83
2004.79,-616.86,18.79
2004.87,-574.68,20.53
2004.96,-549.97,20.55
2005.04,-564.68,19.55
2005.12,-543.06,20.46
2005.2,-497.88,20.51
2005.29,-489.89,20.33
2005.37,-453.26,20.55
2005.46,-500.89,20.9
2005.54,-628.82,20.08
2005.62,-818.11,19.86
2005.71,-884.42,19.72
2005.79,-874.34,19.5
2005.87,-873.21,18.99
2005.96,-822.47,23.51
2006.04,-847.03,20.4
2006.12,-798.68,20.53
2006.2,-776.96,20.26
2006.29,-802.44,20.65
2006.37,-791.4,20.41
2006.45,-803.65,22.18
2006.54,-889.22,22.05
2006.62,-1016.51,20.53
2006.71,-1077.04,21.77
2006.79,-1063.41,21.4
2006.87,-1091.26,20.86
2006.96,-1099.72,21.41
2007.04,-1067.96,22.08
2007.12,-1026.05,21.49
2007.2,-1034.16,20.81
2007.29,-1021.42,21.33
2007.37,-1009.91,20.97
2007.45,-1029.17,21.23
2007.54,-1159.24,21.02
2007.62,-1355.04,22.52
2007.71,-1418.82,22.09
2007.79,-1446.28,22.8
2007.87,-1422.19,23.63
2007.96,-1362.94,22.4
2008.04,-1323.53,22.49
2008.12,-1341.96,24.1
2008.21,-1287.12,22.49
2008.29,-1305.96,24.36
2008.37,-1319.03,23.25
2008.46,-1323.51,22.23
2008.54,-1471.27,23.06
2008.62,-1631.53,22.5
2008.71,-1696.14,22.33
2008.79,-1683.97,22.18
2008.87,-1610.49,23.7
2008.96,-1538.37,23.08
2009.04,-1519.4,22.94
2009.12,-1565.27,23.44
2009.2,-1565.14,22.93
2009.29,-1545.88,20.98
2009.37,-1528.3,20.79
2009.46,-1535.26,20.45
2009.54,-1645.42,21.89
2009.62,-1854.99,20.85
2009.71,-1907.75,19.96
2009.79,-1883.23,20.57
2009.87,-1865.65,20.47
2009.96,-1841.87,20.22
2010.04,-1844.38,19.95
2010.12,-1825.48,19.78
2010.2,-1813.52,20.95
2010.29,-1837.24,19.08
2010.37,-1803.97,19.39
2010.45,-1910.56,23.42
2010.54,-2086.88,20.32
2010.62,-2281,19.47
2010.71,-2378.53,20.23
2010.79,-2342.91,21.78
2010.87,-2360.17,22.91
2010.95,-2342.55,23.48
2011.13,-2321.15,26.47
2011.2,-2305.64,24.5
2011.29,-2301.96,23.66
2011.37,-2322.45,22.91
2011.54,-2511.85,24.27
2011.62,-2705.26,22.74
2011.71,-2760.98,21.63
2011.79,-2786.14,20.78
2011.83,-2785.51,21.22
2012,-2724.77,20.43
2012.04,-2735.05,19.47
2012.12,-2717.25,20.9
2012.21,-2670.88,19.2
2012.26,-2660.41,23.08
2012.46,-2689.12,21.13
2012.54,-2920.27,20.1
2012.62,-3229.77,20.02
2012.7,-3330.6,22.37
2012.88,-3265.04,22.92
2012.96,-3249.31,20.87
2013.04,-3248.01,20.39
2013.12,-3239.42,22.08
2013.3,-3237.19,22.79
2013.37,-3201.02,20.22
2013.46,-3182.38,20.76
2013.54,-3294.31,20.22
2013.79,-3356.56,20.13
2013.87,-3357.82,19.5
2013.96,-3346.17,19.17
