Region,Period,Emission Units,Emissions
Africa,2008-2017,Tg C yr-1,348.879
Europe and Russia,2008-2017,Tg C yr-1,1595.6514
Asia,2008-2017,Tg C yr-1,4827.289800000001
South America,2008-2017,Tg C yr-1,300.27340000000004
North America,2008-2017,Tg C yr-1,1691.7557000000002
Central America,2008-2017,Tg C yr-1,146.1959
Oceania,2008-2017,Tg C yr-1,124.01290000000002
Africa,2017,Tg C yr-1,373.944
Europe and Russia,2017,Tg C yr-1,1532.711
Asia,2017,Tg C yr-1,5316.139000000001
South America,2017,Tg C yr-1,307.18399999999997
North America,2017,Tg C yr-1,1625.538
Central America,2017,Tg C yr-1,150.08
Oceania,2017,Tg C yr-1,128.402
Africa,2018,Tg C yr-1,382.3229999999999
Europe and Russia,2018,Tg C yr-1,1531.1370000000002
Asia,2018,Tg C yr-1,5480.210999999999
South America,2018,Tg C yr-1,303.748
North America,2018,Tg C yr-1,1664.8179999999998
Central America,2018,Tg C yr-1,146.8
Oceania,2018,Tg C yr-1,129.09699999999998
Africa,2008-2017,Tg CO2 yr-1,1279.2230000000002
Europe and Russia,2008-2017,Tg CO2 yr-1,5850.721799999999
Asia,2008-2017,Tg CO2 yr-1,17700.062600000005
South America,2008-2017,Tg CO2 yr-1,1101.0024666666668
North America,2008-2017,Tg CO2 yr-1,6203.104233333334
Central America,2008-2017,Tg CO2 yr-1,536.0516333333334
Oceania,2008-2017,Tg CO2 yr-1,454.7139666666667
Africa,2017,Tg CO2 yr-1,1371.128
Europe and Russia,2017,Tg CO2 yr-1,5619.940333333333
Asia,2017,Tg CO2 yr-1,19492.50966666667
South America,2017,Tg CO2 yr-1,1126.341333333333
North America,2017,Tg CO2 yr-1,5960.3060000000005
Central America,2017,Tg CO2 yr-1,550.2933333333334
Oceania,2017,Tg CO2 yr-1,470.80733333333325
Africa,2018,Tg CO2 yr-1,1401.8509999999997
Europe and Russia,2018,Tg CO2 yr-1,5614.169000000001
Asia,2018,Tg CO2 yr-1,20094.107
South America,2018,Tg CO2 yr-1,1113.7426666666668
North America,2018,Tg CO2 yr-1,6104.332666666665
Central America,2018,Tg CO2 yr-1,538.2666666666668
Oceania,2018,Tg CO2 yr-1,473.3556666666666
