    YEAR      WO    WOse      NH    NHse      SH    SHse
1955.500  -0.133   0.040  -0.143   0.028  -0.126   0.048
1956.500  -0.123   0.014  -0.172   0.030  -0.089   0.008
1957.500  -0.090   0.019  -0.108   0.033  -0.078   0.012
1958.500  -0.027   0.021   0.058   0.012  -0.086   0.030
1959.500  -0.071   0.021  -0.039   0.015  -0.093   0.026
1960.500  -0.047   0.013   0.029   0.031  -0.099   0.020
1961.500  -0.055   0.012  -0.033   0.010  -0.070   0.018
1962.500  -0.070   0.019  -0.060   0.020  -0.076   0.023
1963.500  -0.019   0.009  -0.020   0.033  -0.017   0.025
1964.500  -0.143   0.035  -0.126   0.037  -0.155   0.036
1965.500  -0.115   0.023  -0.139   0.036  -0.097   0.017
1966.500  -0.094   0.008  -0.097   0.015  -0.091   0.017
1967.500  -0.162   0.015  -0.136   0.034  -0.180   0.025
1968.500  -0.137   0.033  -0.149   0.023  -0.129   0.045
1969.500  -0.069   0.010  -0.094   0.011  -0.052   0.019
1970.500  -0.143   0.017  -0.196   0.008  -0.106   0.025
1971.500  -0.259   0.009  -0.319   0.010  -0.218   0.020
1972.500  -0.134   0.021  -0.237   0.034  -0.063   0.017
1973.500  -0.090   0.014  -0.152   0.007  -0.047   0.021
1974.500  -0.143   0.019  -0.230   0.018  -0.083   0.022
1975.500  -0.156   0.014  -0.242   0.016  -0.096   0.020
1976.500  -0.139   0.033  -0.242   0.041  -0.067   0.034
1977.500   0.027   0.007  -0.017   0.032   0.058   0.020
1978.500   0.020   0.012   0.003   0.025   0.032   0.022
1979.500   0.032   0.012   0.009   0.008   0.048   0.015
1980.500   0.076   0.022   0.071   0.009   0.080   0.034
1981.500   0.027   0.012   0.027   0.013   0.027   0.016
1982.500  -0.002   0.021  -0.025   0.008   0.014   0.034
1983.500   0.064   0.030   0.065   0.028   0.063   0.042
1984.500  -0.036   0.022  -0.096   0.033   0.004   0.023
1985.500  -0.042   0.022  -0.110   0.017   0.006   0.034
1986.500  -0.011   0.014  -0.053   0.030   0.017   0.015
1987.500   0.132   0.016   0.100   0.038   0.154   0.008
1988.500   0.058   0.022   0.031   0.007   0.076   0.032
1989.500   0.042   0.011   0.032   0.027   0.049   0.008
1990.500   0.133   0.012   0.176   0.017   0.103   0.019
1991.500   0.140   0.009   0.177   0.022   0.113   0.007
1992.500   0.135   0.031   0.209   0.023   0.084   0.039
1993.500   0.128   0.007   0.166   0.007   0.101   0.009
1994.500   0.078   0.017   0.115   0.021   0.053   0.016
1995.500   0.115   0.022   0.152   0.005   0.088   0.038
1996.500   0.093   0.010   0.154   0.014   0.051   0.009
1997.500   0.138   0.036   0.181   0.052   0.109   0.029
1998.500   0.215   0.040   0.317   0.041   0.144   0.045
1999.500   0.043   0.007   0.089   0.024   0.011   0.019
2000.500   0.075   0.022   0.115   0.012   0.047   0.032
2001.500   0.140   0.027   0.218   0.029   0.086   0.030
2002.500   0.206   0.008   0.262   0.009   0.167   0.012
2003.500   0.227   0.027   0.300   0.034   0.177   0.023
2004.500   0.259   0.014   0.383   0.011   0.173   0.018
2005.500   0.247   0.010   0.371   0.010   0.162   0.011
2006.500   0.237   0.023   0.337   0.031   0.168   0.019
2007.500   0.190   0.030   0.282   0.031   0.126   0.032
2008.500   0.149   0.029   0.234   0.018   0.090   0.039
2009.500   0.255   0.029   0.342   0.033   0.195   0.027
2010.500   0.267   0.046   0.352   0.052   0.208   0.042
2011.500   0.197   0.015   0.254   0.010   0.158   0.026
2012.500   0.215   0.029   0.272   0.028   0.176   0.034
2013.500   0.261   0.011   0.333   0.012   0.212   0.011
2014.500   0.299   0.017   0.390   0.019   0.236   0.022
2015.500   0.436   0.035   0.565   0.032   0.346   0.038
2016.500   0.444   0.028   0.583   0.035   0.347   0.028
2017.500   0.405   0.018   0.531   0.019   0.318   0.023
2018.500   0.383   0.014   0.495   0.016   0.306   0.024
2019.500   0.456   0.008   0.604   0.007   0.353   0.018
