    YEAR      WO    WOse      NH    NHse      SH    SHse
1955.500  -0.013   0.006  -0.017   0.009  -0.011   0.005
1956.500  -0.011   0.003  -0.022   0.005  -0.005   0.004
1957.500  -0.024   0.003  -0.031   0.004  -0.019   0.002
1958.500  -0.010   0.003  -0.010   0.001  -0.011   0.005
1959.500  -0.013   0.004  -0.012   0.006  -0.014   0.003
1960.500  -0.011   0.003  -0.004   0.006  -0.015   0.004
1961.500  -0.013   0.003  -0.021   0.008  -0.007   0.003
1962.500  -0.008   0.004  -0.015   0.006  -0.003   0.004
1963.500  -0.015   0.003  -0.030   0.007  -0.006   0.005
1964.500  -0.015   0.003  -0.018   0.003  -0.013   0.004
1965.500  -0.014   0.003  -0.016   0.005  -0.013   0.003
1966.500  -0.017   0.002  -0.017   0.004  -0.016   0.001
1967.500  -0.021   0.002  -0.028   0.001  -0.017   0.004
1968.500  -0.028   0.004  -0.044   0.004  -0.017   0.005
1969.500  -0.022   0.002  -0.046   0.003  -0.006   0.002
1970.500  -0.025   0.003  -0.030   0.005  -0.021   0.002
1971.500  -0.016   0.003  -0.030   0.006  -0.007   0.002
1972.500  -0.025   0.004  -0.049   0.003  -0.009   0.005
1973.500  -0.016   0.006  -0.019   0.010  -0.014   0.005
1974.500  -0.012   0.004  -0.026   0.003  -0.002   0.007
1975.500  -0.005   0.003  -0.009   0.005  -0.002   0.003
1976.500  -0.009   0.003  -0.021   0.010  -0.000   0.008
1977.500   0.001   0.004   0.004   0.003  -0.001   0.006
1978.500   0.002   0.002   0.010   0.004  -0.004   0.005
1979.500  -0.004   0.002  -0.009   0.003  -0.000   0.002
1980.500   0.006   0.003   0.009   0.005   0.004   0.006
1981.500  -0.001   0.002   0.008   0.003  -0.007   0.004
1982.500  -0.012   0.003  -0.024   0.002  -0.003   0.005
1983.500  -0.010   0.009   0.001   0.006  -0.018   0.012
1984.500  -0.002   0.005   0.002   0.006  -0.005   0.007
1985.500   0.003   0.005   0.007   0.005  -0.000   0.007
1986.500  -0.003   0.004  -0.007   0.004   0.000   0.006
1987.500  -0.004   0.002  -0.003   0.002  -0.005   0.003
1988.500   0.004   0.002   0.005   0.005   0.004   0.002
1989.500   0.003   0.003   0.003   0.003   0.003   0.004
1990.500   0.001   0.004   0.001   0.006   0.002   0.005
1991.500   0.008   0.001   0.007   0.003   0.008   0.003
1992.500   0.000   0.002   0.016   0.003  -0.010   0.002
1993.500   0.004   0.002   0.009   0.003   0.001   0.003
1994.500   0.007   0.003   0.008   0.004   0.007   0.005
1995.500   0.010   0.004   0.010   0.004   0.009   0.006
1996.500   0.019   0.006   0.032   0.005   0.011   0.006
1997.500   0.009   0.001   0.001   0.007   0.015   0.005
1998.500   0.012   0.002   0.026   0.003   0.004   0.003
1999.500   0.015   0.002   0.034   0.003   0.003   0.003
2000.500   0.018   0.004   0.033   0.001   0.008   0.006
2001.500   0.013   0.005   0.029   0.007   0.002   0.005
2002.500   0.027   0.003   0.043   0.004   0.017   0.003
2003.500   0.041   0.005   0.055   0.004   0.032   0.006
2004.500   0.049   0.003   0.070   0.003   0.034   0.006
2005.500   0.039   0.003   0.057   0.001   0.026   0.005
2006.500   0.048   0.001   0.063   0.003   0.038   0.002
2007.500   0.047   0.002   0.065   0.003   0.035   0.003
2008.500   0.050   0.002   0.067   0.004   0.039   0.001
2009.500   0.051   0.002   0.062   0.001   0.044   0.004
2010.500   0.055   0.002   0.065   0.001   0.048   0.004
2011.500   0.058   0.002   0.059   0.002   0.058   0.002
2012.500   0.061   0.002   0.067   0.002   0.058   0.003
2013.500   0.071   0.004   0.082   0.001   0.064   0.006
2014.500   0.076   0.002   0.074   0.003   0.078   0.003
2015.500   0.085   0.001   0.080   0.003   0.088   0.002
2016.500   0.079   0.003   0.094   0.004   0.069   0.007
2017.500   0.089   0.002   0.105   0.003   0.079   0.004
2018.500   0.091   0.003   0.099   0.004   0.086   0.003
2019.500   0.096   0.001   0.109   0.002   0.088   0.003
