    YEAR      WO    WOse      NH    NHse      SH    SHse
1955.500  -0.034   0.018  -0.038   0.025  -0.031   0.014
1956.500  -0.028   0.008  -0.049   0.010  -0.013   0.009
1957.500  -0.049   0.004  -0.059   0.005  -0.042   0.005
1958.500  -0.016   0.007  -0.005   0.004  -0.024   0.012
1959.500  -0.023   0.009  -0.015   0.014  -0.029   0.007
1960.500  -0.015   0.005   0.008   0.018  -0.031   0.010
1961.500  -0.022   0.004  -0.034   0.016  -0.015   0.005
1962.500  -0.011   0.010  -0.012   0.015  -0.011   0.008
1963.500  -0.024   0.007  -0.050   0.010  -0.006   0.013
1964.500  -0.033   0.010  -0.033   0.010  -0.033   0.012
1965.500  -0.032   0.003  -0.031   0.010  -0.034   0.006
1966.500  -0.042   0.005  -0.037   0.013  -0.045   0.005
1967.500  -0.046   0.004  -0.058   0.003  -0.038   0.008
1968.500  -0.061   0.009  -0.090   0.008  -0.041   0.016
1969.500  -0.047   0.006  -0.106   0.009  -0.008   0.008
1970.500  -0.056   0.009  -0.072   0.017  -0.045   0.006
1971.500  -0.040   0.005  -0.070   0.010  -0.020   0.006
1972.500  -0.055   0.012  -0.114   0.012  -0.016   0.014
1973.500  -0.037   0.013  -0.051   0.025  -0.028   0.012
1974.500  -0.029   0.008  -0.061   0.004  -0.008   0.015
1975.500  -0.016   0.005  -0.032   0.009  -0.006   0.004
1976.500  -0.027   0.007  -0.068   0.022  -0.001   0.019
1977.500   0.000   0.008  -0.004   0.007   0.003   0.012
1978.500   0.001   0.005   0.004   0.015  -0.001   0.011
1979.500  -0.010   0.005  -0.031   0.009   0.004   0.005
1980.500   0.012   0.004   0.016   0.012   0.008   0.012
1981.500   0.001   0.006   0.015   0.008  -0.008   0.008
1982.500  -0.024   0.010  -0.060   0.008  -0.000   0.015
1983.500  -0.029   0.020  -0.009   0.015  -0.043   0.030
1984.500  -0.005   0.013   0.004   0.012  -0.010   0.018
1985.500   0.001   0.013  -0.003   0.012   0.004   0.017
1986.500  -0.011   0.012  -0.030   0.007   0.002   0.018
1987.500  -0.009   0.006  -0.016   0.006  -0.005   0.008
1988.500   0.012   0.004   0.006   0.011   0.015   0.006
1989.500   0.010   0.006   0.003   0.006   0.014   0.006
1990.500   0.002   0.010  -0.011   0.008   0.010   0.012
1991.500   0.028   0.003   0.026   0.009   0.029   0.006
1992.500   0.006   0.004   0.044   0.006  -0.019   0.007
1993.500   0.007   0.005   0.029   0.008  -0.007   0.008
1994.500   0.016   0.008   0.019   0.008   0.014   0.009
1995.500   0.023   0.009   0.027   0.008   0.020   0.014
1996.500   0.044   0.012   0.074   0.008   0.023   0.014
1997.500   0.019   0.003   0.004   0.017   0.028   0.012
1998.500   0.030   0.006   0.077   0.011  -0.001   0.008
1999.500   0.041   0.003   0.097   0.008   0.004   0.003
2000.500   0.043   0.010   0.093   0.003   0.010   0.017
2001.500   0.034   0.013   0.082   0.014   0.001   0.015
2002.500   0.068   0.007   0.107   0.008   0.042   0.006
2003.500   0.091   0.010   0.131   0.010   0.065   0.012
2004.500   0.105   0.006   0.159   0.006   0.068   0.013
2005.500   0.087   0.005   0.135   0.004   0.054   0.009
2006.500   0.102   0.001   0.148   0.006   0.071   0.005
2007.500   0.096   0.004   0.144   0.007   0.064   0.005
2008.500   0.103   0.004   0.157   0.010   0.067   0.003
2009.500   0.105   0.003   0.138   0.004   0.083   0.007
2010.500   0.110   0.004   0.143   0.003   0.087   0.008
2011.500   0.115   0.005   0.125   0.006   0.108   0.005
2012.500   0.116   0.004   0.133   0.005   0.104   0.005
2013.500   0.133   0.006   0.164   0.003   0.112   0.011
2014.500   0.140   0.005   0.138   0.009   0.142   0.005
2015.500   0.160   0.003   0.148   0.007   0.168   0.004
2016.500   0.148   0.006   0.183   0.009   0.124   0.014
2017.500   0.168   0.004   0.207   0.005   0.141   0.008
2018.500   0.177   0.006   0.194   0.011   0.165   0.007
2019.500   0.187   0.002   0.216   0.006   0.168   0.005
