year,quantity,units,value
1925,coal production,Gt,1.372
1926,coal production,Gt,1.262
1927,coal production,Gt,1.473
1928,coal production,Gt,1.463
1929,coal production,Gt,1.555
1930,coal production,Gt,1.412
1931,coal production,Gt,1.26
1932,coal production,Gt,1.128
1933,coal production,Gt,1.168
1934,coal production,Gt,1.28
1935,coal production,Gt,1.321
1936,coal production,Gt,1.443
1937,coal production,Gt,1.534
1938,coal production,Gt,1.443
1939,coal production,Gt,1.575
1940,coal production,Gt,1.687
1941,coal production,Gt,1.773
1942,coal production,Gt,1.784
1943,coal production,Gt,1.798
1944,coal production,Gt,1.727
1945,coal production,Gt,1.345
1946,coal production,Gt,1.468
1947,coal production,Gt,1.648
1948,coal production,Gt,1.695
1949,coal production,Gt,1.697
1950,coal production,Gt,1.821
1951,coal production,Gt,1.933
1952,coal production,Gt,1.93
1953,coal production,Gt,1.961
1954,coal production,Gt,1.971
1955,coal production,Gt,2.134
1956,coal production,Gt,2.256
1957,coal production,Gt,2.337
1958,coal production,Gt,2.439
1959,coal production,Gt,2.52
1960,coal production,Gt,2.632
1961,coal production,Gt,2.479
1962,coal production,Gt,2.55
1963,coal production,Gt,2.652
1964,coal production,Gt,2.753
1965,coal production,Gt,2.804
1966,coal production,Gt,2.835
1967,coal production,Gt,2.73
1968,coal production,Gt,2.745
1969,coal production,Gt,2.871
1970,coal production,Gt,2.944
1971,coal production,Gt,2.95
1972,coal production,Gt,3.041
1973,coal production,Gt,3.065
1974,coal production,Gt,3.107
1975,coal production,Gt,3.253
1976,coal production,Gt,3.349
1977,coal production,Gt,3.51
1978,coal production,Gt,3.558
1979,coal production,Gt,3.719
1980,coal production,Gt,3.806
1981,coal production,Gt,3.844
1982,coal production,Gt,3.996
1983,coal production,Gt,4.018
1984,coal production,Gt,4.231
1985,coal production,Gt,4.456
1986,coal production,Gt,4.567
1987,coal production,Gt,4.669
1988,coal production,Gt,4.783
1989,coal production,Gt,4.865
1990,coal production,Gt,4.711
1991,coal production,Gt,4.383
1992,coal production,Gt,4.509
1993,coal production,Gt,4.404
1994,coal production,Gt,4.516
1995,coal production,Gt,4.63
1996,coal production,Gt,4.699
1997,coal production,Gt,4.766
1998,coal production,Gt,4.602
1999,coal production,Gt,4.323
2000,coal production,Gt,4.31
2001,coal production,Gt,4.638
2002,coal production,Gt,4.815
2003,coal production,Gt,5.21
2004,coal production,Gt,5.711
2005,coal production,Gt,6.046
2006,coal production,Gt,6.345
2007,coal production,Gt,6.572
2008,coal production,Gt,6.815
2009,coal production,Gt,6.849
2010,coal production,Gt,7.153
2011,coal production,Gt,7.931
2012,coal production,Gt,8.201
2013,coal production,Gt,8.226
2014,coal production,Gt,8.165
2015,coal production,Gt,7.86
1925,coal waste/overburden,Gt,0.589
1926,coal waste/overburden,Gt,0.603
1927,coal waste/overburden,Gt,0.67
1928,coal waste/overburden,Gt,0.684
1929,coal waste/overburden,Gt,0.752
1930,coal waste/overburden,Gt,0.709
1931,coal waste/overburden,Gt,0.656
1932,coal waste/overburden,Gt,0.623
1933,coal waste/overburden,Gt,0.684
1934,coal waste/overburden,Gt,0.795
1935,coal waste/overburden,Gt,0.87
1936,coal waste/overburden,Gt,1.009
1937,coal waste/overburden,Gt,1.137
1938,coal waste/overburden,Gt,1.134
1939,coal waste/overburden,Gt,1.311
1940,coal waste/overburden,Gt,1.539
1941,coal waste/overburden,Gt,1.71
1942,coal waste/overburden,Gt,1.818
1943,coal waste/overburden,Gt,1.975
1944,coal waste/overburden,Gt,2.037
1945,coal waste/overburden,Gt,1.718
1946,coal waste/overburden,Gt,2.025
1947,coal waste/overburden,Gt,2.421
1948,coal waste/overburden,Gt,2.646
1949,coal waste/overburden,Gt,2.841
1950,coal waste/overburden,Gt,3.226
1951,coal waste/overburden,Gt,3.617
1952,coal waste/overburden,Gt,3.853
1953,coal waste/overburden,Gt,4.166
1954,coal waste/overburden,Gt,4.402
1955,coal waste/overburden,Gt,5.002
1956,coal waste/overburden,Gt,5.602
1957,coal waste/overburden,Gt,6.076
1958,coal waste/overburden,Gt,6.629
1959,coal waste/overburden,Gt,7.23
1960,coal waste/overburden,Gt,7.958
1961,coal waste/overburden,Gt,7.892
1962,coal waste/overburden,Gt,8.536
1963,coal waste/overburden,Gt,9.322
