,region,year,consumption_exajoules
0,,1965,
1,Canada,1965,0.00128
2,Mexico,1965,0.0
3,US,1965,0.038491568421052634
4,Total North America,1965,0.03977156842105264
5,,1965,
6,Argentina,1965,0.0
7,Brazil,1965,0.0
8,Chile,1965,0.0
9,Colombia,1965,0.0
10,Ecuador,1965,0.0
11,Peru,1965,0.0
12,Trinidad & Tobago,1965,0.0
13,Venezuela,1965,0.0
14,Central America,1965,0.0
15,Other Caribbean,1965,0.0
16,Other South America,1965,0.0
17,Total S. & Cent. America,1965,0.0
18,,1965,
19,Austria,1965,0.0
20,Belgium,1965,0.0
21,Bulgaria,1965,0.0
22,Croatia,1965,
23,Cyprus,1965,0.0
24,Czech Republic,1965,0.0
25,Denmark,1965,0.0
26,Estonia,1965,
27,Finland,1965,0.0
28,France,1965,0.008970000000000002
29,Germany,1965,0.0011700000000000002
30,Greece,1965,0.0
31,Hungary,1965,0.0
32,Iceland,1965,0.0
33,Ireland,1965,0.0
34,Italy,1965,0.0351
35,Latvia,1965,
36,Lithuania,1965,
37,Luxembourg,1965,0.0
38,Netherlands,1965,0.0
39,North Macedonia,1965,
40,Norway,1965,0.0
41,Poland,1965,0.0
42,Portugal,1965,0.0
43,Romania,1965,0.0
44,Slovakia,1965,0.0
45,Slovenia,1965,
46,Spain,1965,0.0
47,Sweden,1965,0.00018
48,Switzerland,1965,0.0
49,Turkey,1965,0.0
50,Ukraine,1965,
51,United Kingdom,1965,0.15134999999999998
52,Other Europe,1965,0.0
53,Total Europe,1965,0.19677
54,,1965,
55,Azerbaijan,1965,
56,Belarus,1965,
57,Kazakhstan,1965,
58,Russian Federation,1965,
59,Turkmenistan,1965,
60,USSR,1965,0.018605674000000003
61,Uzbekistan,1965,
62,Other CIS,1965,
63,Total CIS,1965,0.018605674000000003
64,,1965,
65,Iran,1965,0.0
66,Iraq,1965,0.0
67,Israel,1965,0.0
68,Kuwait,1965,0.0
69,Oman,1965,0.0
70,Qatar,1965,0.0
71,Saudi Arabia,1965,0.0
72,United Arab Emirates,1965,0.0
73,Other Middle East,1965,0.0
74,Total Middle East,1965,0.0
75,,1965,
76,Algeria,1965,0.0
77,Egypt,1965,0.0
78,Morocco,1965,0.0
79,South Africa,1965,0.0
80,Eastern Africa,1965,0.0
81,Middle Africa,1965,0.0
82,Western Africa,1965,0.0
83,Other Northern Africa,1965,0.0
84,Other Southern Africa,1965,0.0
85,Total Africa,1965,0.0
86,,1965,
87,Australia,1965,0.0
88,Bangladesh,1965,0.0
89,China,1965,0.0
90,China Hong Kong SAR,1965,0.0
91,India,1965,0.0
92,Indonesia,1965,0.0
93,Japan,1965,0.00025
94,Malaysia,1965,0.0
95,New Zealand,1965,0.0
96,Pakistan,1965,0.0
97,Philippines,1965,0.0
98,Singapore,1965,0.0
99,South Korea,1965,0.0
100,Sri Lanka,1965,0.0
101,Taiwan,1965,0.0
102,Thailand,1965,0.0
103,Vietnam,1965,0.0
104,Other Asia Pacific,1965,0.0
105,Total Asia Pacific,1965,0.00025
106,,1965,
107,Total World,1965,0.2553972424210526
108,,1966,
109,Canada,1966,0.0017200000000000002
110,Mexico,1966,0.0
111,US,1966,0.0581043052631579
112,Total North America,1966,0.0598243052631579
113,,1966,
114,Argentina,1966,0.0
115,Brazil,1966,0.0
116,Chile,1966,0.0
117,Colombia,1966,0.0
118,Ecuador,1966,0.0
119,Peru,1966,0.0
120,Trinidad & Tobago,1966,0.0
121,Venezuela,1966,0.0
122,Central America,1966,0.0
123,Other Caribbean,1966,0.00012
124,Other South America,1966,0.0
125,Total S. & Cent. America,1966,0.00012
126,,1966,
127,Austria,1966,0.0
128,Belgium,1966,6e-05
129,Bulgaria,1966,0.0
130,Croatia,1966,
131,Cyprus,1966,0.0
132,Czech Republic,1966,0.0
133,Denmark,1966,0.0
134,Estonia,1966,
135,Finland,1966,0.0
136,France,1966,0.013949999999999999
137,Germany,1966,0.00265
138,Greece,1966,0.0
139,Hungary,1966,0.0
140,Iceland,1966,0.0
141,Ireland,1966,0.0
142,Italy,1966,0.038630000000000005
143,Latvia,1966,
144,Lithuania,1966,
145,Luxembourg,1966,0.0
146,Netherlands,1966,0.0
147,North Macedonia,1966,
148,Norway,1966,0.0
149,Poland,1966,0.0
150,Portugal,1966,0.0
151,Romania,1966,0.0
152,Slovakia,1966,0.0
153,Slovenia,1966,
154,Spain,1966,0.0
155,Sweden,1966,0.00045
156,Switzerland,1966,0.0
157,Turkey,1966,0.0
158,Ukraine,1966,
159,United Kingdom,1966,0.20217
160,Other Europe,1966,0.0
161,Total Europe,1966,0.25791
162,,1966,
163,Azerbaijan,1966,
164,Belarus,1966,
165,Kazakhstan,1966,
166,Russian Federation,1966,
167,Turkmenistan,1966,
168,USSR,1966,0.020638598000000005
169,Uzbekistan,1966,
170,Other CIS,1966,
171,Total CIS,1966,0.020638598000000005
172,,1966,
173,Iran,1966,0.0
174,Iraq,1966,0.0
175,Israel,1966,0.0
176,Kuwait,1966,0.0
177,Oman,1966,0.0
178,Qatar,1966,0.0
179,Saudi Arabia,1966,0.0
180,United Arab Emirates,1966,0.0
181,Other Middle East,1966,0.0
182,Total Middle East,1966,0.0
183,,1966,
184,Algeria,1966,0.0
185,Egypt,1966,0.0
186,Morocco,1966,0.0
187,South Africa,1966,0.0
188,Eastern Africa,1966,0.0
189,Middle Africa,1966,0.0
190,Western Africa,1966,0.0
191,Other Northern Africa,1966,0.0
192,Other Southern Africa,1966,0.0
193,Total Africa,1966,0.0
194,,1966,
