,year,consumption_EJ_yr
0,1965,9.446158510781387
1,1966,10.071241591431932
2,1967,10.29296434875853
3,1968,10.850409227838814
4,1969,11.486977496585107
5,1970,12.04514241978033
6,1971,12.59340964317391
7,1972,13.193803149941118
8,1973,13.398405516847294
9,1974,14.698256106340196
10,1975,14.877172811708569
11,1976,14.860864867480135
12,1977,15.381821212157226
13,1978,16.65142198311735
14,1979,17.509691705539407
15,1980,17.920658920345602
16,1981,18.321352124793588
17,1982,18.752329356522182
18,1983,19.62114050955481
19,1984,20.370449031701824
20,1985,20.808164982290574
21,1986,21.212840572081173
22,1987,21.55062646690996
23,1988,22.244544085857104
24,1989,22.280120636707693
25,1990,23.16880893130517
26,1991,23.750922319667115
27,1992,23.835966164706573
28,1993,25.22799073277281
29,1994,25.48255493134299
30,1995,26.864166610460547
31,1996,27.24547836219275
32,1997,27.856542214141733
33,1998,28.184047875505584
34,1999,28.51752138914053
35,2000,29.15931904062985
36,2001,28.425468674019513
37,2002,29.07614654420744
38,2003,29.141067462971872
39,2004,31.357809178204107
40,2005,32.61238269406431
41,2006,34.160458267685435
42,2007,35.391079427640406
43,2008,38.113881696033026
44,2009,38.95817971810549
45,2010,41.94980873409625
46,2011,43.783046662155904
47,2012,46.447402392487824
48,2013,49.513745459301546
49,2014,51.7045519184741
50,2015,53.45885471832136
51,2016,56.387316819214504
52,2017,59.62935564891343
53,2018,63.14900918368
54,2019,66.61488887718124
