year,consumption_EJ_yr
1965,155.88
1966,164.20
1967,170.38
1968,180.69
1969,192.82
1970,205.08
1971,213.45
1972,224.89
1973,238.05
1974,239.50
1975,240.67
1976,253.52
1977,262.84
1978,273.48
1979,282.87
1980,280.56
1981,279.38
1982,277.85
1983,282.35
1984,295.83
1985,303.47
1986,310.26
1987,321.08
1988,333.22
1989,339.68
1990,343.90
1991,346.37
1992,348.55
1993,351.29
1994,355.77
1995,363.78
1996,374.19
1997,377.99
1998,380.42
1999,387.05
2000,396.88
2001,400.76
2002,409.53
2003,424.09
2004,444.97
2005,459.23
2006,472.29
2007,486.91
2008,492.53
2009,485.02
2010,508.68
2011,520.90
2012,528.18
2013,537.56
2014,543.52
2015,548.14
2016,555.91
2017,566.66
2018,582.38
2019,587.43
2020,564.01
2021,595.15
